o_zone_id,d_zone_id,volume
1,3,11
1,4,3
1,6,1
1,7,4
1,8,3
1,9,5
1,10,9
1,15,2
1,17,1
1,21,1
1,22,6
1,23,4
1,24,2
1,25,12
1,26,5
1,30,4
1,31,2
1,32,27
1,33,3
1,34,3
1,35,15
1,36,6
1,37,4
1,38,10
1,39,11
1,40,23
1,42,10
1,43,11
1,44,10
1,46,2
1,47,3
1,48,5
1,49,9
1,51,2
1,52,4
1,53,3
1,54,3
1,56,4
1,57,10
1,58,10
1,60,10
1,61,7
1,64,6
1,65,10
1,66,3
1,67,34
1,68,5
1,71,1
1,72,6
1,73,1
1,74,4
1,75,12
1,76,4
1,77,7
1,78,15
1,79,30
1,80,1
1,81,2
1,82,6
1,83,3
1,84,3
1,85,1
1,86,2
1,87,52
1,88,6
1,89,1
1,90,6
1,91,3
1,92,1
1,95,1
1,96,62
1,97,11
1,98,2
1,99,6
1,102,2
1,103,2
1,104,6
1,105,3
1,107,3
1,108,2
1,111,6
1,112,8
1,115,7
1,116,1
1,120,3
1,121,10
1,122,1
1,123,30
1,124,1
1,125,6
1,126,1
1,129,5
1,130,2
1,131,2
1,136,1
1,139,9
1,140,1
2,3,2
2,4,1
2,9,1
2,10,1
2,12,1
2,20,18
2,21,16
2,22,9
2,23,7
2,24,3
2,25,22
2,26,10
2,28,3
2,30,9
2,31,11
2,32,23
2,33,6
2,34,2
2,35,2
2,36,7
2,37,3
2,38,20
2,39,14
2,40,7
2,42,9
2,44,11
2,45,2
2,48,8
2,49,2
2,56,1
2,57,10
2,58,16
2,60,5
2,61,1
2,64,1
2,66,1
2,67,25
2,68,11
2,79,2
2,80,4
2,84,3
2,87,7
2,91,1
2,96,14
2,97,5
2,104,1
2,105,1
2,111,1
2,116,1
2,117,1
2,120,9
2,121,1
2,122,1
2,123,11
2,129,1
2,131,1
3,2,2
3,4,7
3,7,1
3,8,1
3,10,3
3,14,4
3,20,1
3,21,5
3,22,2
3,23,1
3,24,1
3,25,67
3,26,46
3,28,10
3,29,3
3,30,13
3,31,4
3,32,94
3,33,10
3,34,8
3,35,2
3,36,17
3,38,42
3,39,22
3,40,22
3,41,1
3,42,21
3,43,14
3,44,2
3,47,2
3,48,4
3,49,2
3,57,9
3,58,26
3,59,1
3,60,27
3,61,7
3,63,1
3,65,3
3,66,2
3,67,88
3,68,7
3,73,1
3,76,1
3,79,1
3,80,2
3,81,2
3,86,14
3,87,10
3,90,6
3,93,3
3,95,3
3,96,49
3,97,13
3,99,6
3,100,1
3,102,1
3,104,1
3,105,2
3,108,2
3,116,9
3,120,21
3,121,5
3,123,2
3,129,1
3,138,2
3,139,1
4,2,1
4,3,20
4,5,1
4,7,4
4,8,3
4,10,6
4,12,4
4,14,2
4,15,3
4,17,4
4,20,2
4,21,2
4,22,18
4,23,5
4,24,2
4,25,57
4,26,24
4,27,4
4,28,1
4,30,20
4,31,9
4,32,53
4,33,26
4,34,8
4,35,10
4,36,33
4,38,43
4,39,40
4,40,24
4,42,20
4,43,13
4,44,4
4,45,1
4,46,1
4,47,6
4,48,14
4,50,1
4,57,27
4,58,24
4,59,2
4,60,38
4,61,11
4,63,5
4,64,9
4,65,11
4,66,7
4,67,124
4,68,22
4,70,1
4,72,1
4,74,1
4,75,1
4,76,1
4,77,1
4,78,1
4,79,9
4,80,1
4,81,1
4,82,2
4,85,2
4,86,7
4,87,59
4,88,1
4,90,5
4,93,1
4,95,5
4,96,52
4,97,27
4,99,7
4,100,2
4,104,2
4,105,4
4,108,8
4,109,2
4,112,1
4,114,1
4,115,3
4,116,6
4,120,30
4,121,4
4,123,1
4,125,1
4,128,1
4,131,3
4,136,1
4,138,1
4,139,1
5,3,1
5,4,5
5,7,1
5,8,1
5,12,1
5,13,2
5,15,1
5,20,6
5,23,1
5,25,20
5,26,10
5,28,7
5,30,4
5,31,2
5,32,31
5,33,2
5,34,2
5,36,9
5,38,23
5,39,31
5,40,2
5,42,13
5,43,7
5,46,2
5,47,4
5,48,9
5,49,2
5,57,13
5,58,16
5,59,2
5,60,7
5,61,9
5,62,1
5,63,1
5,64,3
5,65,3
5,66,2
5,67,39
5,68,8
5,75,1
5,78,1
5,80,2
5,86,1
5,87,16
5,90,5
5,93,2
5,96,14
5,97,5
5,99,3
5,102,1
5,114,1
5,115,2
5,116,2
5,120,11
5,121,1
5,123,2
5,128,1
5,130,1
5,139,3
6,4,9
6,7,4
6,13,3
6,15,3
6,21,2
6,22,1
6,23,2
6,24,1
6,25,31
6,26,18
6,27,3
6,28,1
6,30,5
6,31,4
6,32,27
6,33,5
6,34,3
6,35,2
6,36,10
6,38,38
6,39,23
6,40,3
6,42,4
6,43,3
6,46,1
6,48,8
6,49,3
6,57,11
6,58,12
6,59,3
6,60,13
6,61,12
6,62,4
6,63,8
6,64,14
6,65,3
6,66,3
6,67,60
6,68,12
6,70,1
6,72,1
6,74,1
6,75,2
6,76,2
6,79,4
6,81,1
6,83,1
6,86,1
6,87,30
6,90,2
6,91,1
6,95,2
6,96,33
6,97,14
6,98,3
6,99,9
6,100,2
6,105,1
6,108,3
6,114,1
6,115,5
6,116,21
6,120,20
6,121,5
6,123,4
6,125,1
6,129,1
6,131,1
6,139,1
7,3,12
7,4,12
7,5,3
7,6,1
7,8,2
7,10,8
7,11,1
7,12,6
7,13,5
7,14,3
7,15,1
7,18,4
7,20,1
7,21,3
7,22,12
7,23,1
7,25,31
7,26,15
7,28,1
7,30,3
7,31,3
7,32,17
7,33,7
7,35,2
7,36,6
7,37,2
7,38,32
7,39,17
7,40,11
7,41,1
7,42,9
7,43,8
7,44,8
7,46,3
7,47,7
7,48,17
7,49,3
7,50,1
7,56,1
7,57,16
7,58,14
7,59,5
7,60,26
7,61,25
7,62,2
7,63,11
7,64,15
7,65,11
7,66,3
7,67,92
7,68,14
7,79,4
7,80,2
7,84,1
7,85,1
7,87,40
7,89,2
7,90,1
7,91,2
7,93,1
7,95,3
7,96,56
7,97,31
7,98,1
7,99,2
7,100,1
7,104,1
7,105,1
7,108,2
7,109,1
7,111,2
7,114,2
7,115,4
7,116,15
7,117,5
7,118,1
7,120,18
7,121,2
7,122,2
7,123,2
7,129,1
7,131,1
7,135,1
8,3,10
8,4,6
8,7,8
8,9,9
8,10,11
8,11,1
8,12,6
8,13,2
8,14,2
8,15,3
8,18,5
8,19,2
8,20,2
8,21,1
8,22,4
8,24,1
8,25,34
8,26,21
8,30,2
8,31,3
8,32,28
8,33,7
8,34,3
8,35,4
8,36,6
8,38,33
8,39,29
8,40,37
8,42,16
8,43,18
8,44,2
8,45,2
8,47,3
8,48,5
8,49,3
8,51,1
8,52,1
8,56,5
8,57,29
8,58,17
8,59,6
8,60,22
8,61,30
8,62,7
8,63,8
8,64,13
8,65,8
8,66,3
8,67,114
8,68,27
8,70,1
8,74,3
8,75,1
8,78,6
8,79,7
8,80,6
8,81,3
8,82,1
8,83,1
8,85,1
8,86,3
8,87,71
8,88,6
8,89,4
8,90,2
8,91,1
8,95,1
8,96,67
8,97,23
8,98,2
8,99,6
8,104,2
8,105,1
8,107,2
8,108,4
8,111,2
8,114,1
8,115,11
8,116,24
8,117,10
8,120,26
8,121,3
8,122,1
8,123,8
8,125,3
8,128,1
8,129,2
8,139,2
9,3,3
9,4,9
9,7,10
9,8,4
9,10,3
9,12,15
9,13,8
9,14,2
9,15,1
9,17,1
9,18,1
9,19,3
9,20,3
9,21,2
9,22,10
9,23,4
9,25,25
9,26,9
9,30,3
9,31,3
9,32,36
9,33,6
9,34,5
9,35,6
9,36,11
9,38,19
9,39,7
9,40,20
9,41,1
9,42,9
9,43,5
9,44,3
9,46,3
9,47,10
9,48,6
9,49,1
9,54,1
9,56,2
9,57,10
9,58,9
9,59,6
9,60,14
9,61,14
9,62,1
9,63,1
9,64,9
9,65,5
9,67,83
9,68,17
9,71,3
9,73,1
9,75,5
9,78,3
9,79,7
9,81,2
9,82,1
9,83,1
9,85,1
9,86,7
9,87,42
9,89,1
9,90,6
9,94,2
9,95,6
9,96,39
9,97,13
9,99,8
9,100,1
9,102,3
9,105,1
9,108,1
9,115,2
9,116,12
9,117,2
9,118,3
9,120,17
9,121,3
9,123,1
9,124,1
9,125,1
9,128,1
9,130,1
9,139,2
9,140,1
10,1,1
10,2,2
10,3,15
10,4,9
10,6,2
10,7,12
10,8,6
10,9,2
10,11,2
10,12,5
10,13,2
10,14,3
10,15,6
10,18,13
10,19,4
10,20,4
10,21,4
10,22,12
10,23,6
10,24,4
10,25,34
10,26,47
10,27,3
10,28,3
10,30,6
10,31,2
10,32,42
10,33,11
10,34,2
10,35,6
10,36,10
10,38,76
10,39,64
10,40,26
10,41,3
10,42,7
10,43,9
10,44,8
10,45,1
10,46,4
10,47,5
10,48,27
10,49,10
10,50,1
10,51,2
10,53,2
10,56,1
10,57,44
10,58,40
10,59,5
10,60,37
10,61,41
10,62,2
10,63,12
10,64,10
10,65,24
10,66,9
10,67,205
10,68,34
10,69,2
10,70,1
10,74,1
10,77,3
10,78,4
10,79,12
10,80,20
10,81,2
10,83,4
10,84,3
10,85,1
10,86,13
10,87,94
10,88,3
10,89,7
10,90,11
10,91,6
10,93,2
10,94,3
10,95,13
10,96,110
10,97,43
10,98,4
10,99,5
10,100,1
10,104,1
10,105,1
10,107,1
10,108,13
10,109,2
10,110,1
10,111,4
10,114,17
10,115,13
10,116,36
10,117,13
10,118,6
10,120,28
10,121,1
10,123,18
10,125,5
10,126,3
10,128,1
10,129,2
10,130,1
10,131,1
10,135,1
10,136,1
10,139,2
10,140,1
