link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
21100,1,211,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7537764 30.3355157)"
21102,1,273,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,153.1365258532221,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7554367 30.3323963)"
21104,1,648,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7553773 30.3356061)"
21230,1,1166,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7635276 30.3290149)"
21106,1,1167,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7601919 30.3273851)"
21232,1,1168,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7646557 30.3295309)"
21108,1,1363,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7537045 30.3354767)"
21110,1,1364,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7539481 30.3352852)"
21112,1,1365,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7560037 30.3366976)"
21114,1,1366,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7560412 30.3364398)"
21116,1,1367,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7540984 30.3356828)"
21118,1,1371,1,0.0,0.0,20,12.42742384,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-97.76646550888888 30.32796859999999, -97.7562779 30.33686)"
