link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,11000,1,25526.20883812795,15.86129024204205,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.5506 18.9009, 23.6731 19.0991)"
2,1,11007,1,23858.374829177705,14.824943659623019,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.5506 18.9009, 23.6675 19.0848)"
3,1,11704,1,28042.51375165126,17.424853512403384,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.5506 18.9009, 23.514 18.6511)"
4,1,11708,1,30075.57297682706,18.68814108692201,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.5506 18.9009, 23.5208 18.6319)"
5,1,11717,1,28654.60408908968,17.8051897604544,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.5506 18.9009, 23.7538 18.7294)"
6,2,10892,1,16878.06930797628,10.487572115262331,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.6215 18.364, 23.4891 18.2789)"
7,2,10895,1,16442.77876373125,10.217094438547015,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.6215 18.364, 23.7271 18.2553)"
8,2,11707,1,13545.047091810877,8.416522979489033,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.6215 18.364, 23.5351 18.4541)"
9,2,11711,1,14604.634451557413,9.07492167693428,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.6215 18.364, 23.4972 18.3063)"
10,2,11714,1,16069.824129432816,9.985350596786768,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.6215 18.364, 23.7619 18.42)"
11,3,3336,1,20550.73540794867,12.769666700603148,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.5554 19.0699, 24.4877 19.2433)"
12,3,3361,1,21681.307670967562,13.472173481655563,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.5554 19.0699, 24.497 18.8829)"
13,3,10256,1,6276.59410789318,3.900104457661638,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.5554 19.0699, 24.5629 19.1259)"
14,3,11293,1,17241.990639634434,10.713702909040002,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.5554 19.0699, 24.6001 19.2191)"
15,3,12313,1,10688.099770782821,6.6412938041574945,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.5554 19.0699, 24.574 19.1644)"
16,4,12363,1,28595.31333746531,17.76834810385954,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.4589 18.717, 25.4222 18.4622)"
17,4,12685,1,29948.468914244324,18.609162087715664,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.4589 18.717, 25.3812 18.9761)"
18,4,12690,1,31557.65151194986,19.6090642822212,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.4589 18.717, 25.3762 18.9898)"
19,4,12799,1,33515.1891560078,20.825424805204495,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.4589 18.717, 25.3775 19.0084)"
20,4,12800,1,33987.756248873346,21.119065112949002,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.4589 18.717, 25.38 19.0134)"
21,5,11696,1,17201.289249145222,10.688412174646267,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.8744 18.4044, 24.0359 18.3833)"
22,5,11697,1,17229.65127245587,10.706035562687731,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.8744 18.4044, 24.0341 18.3721)"
23,5,11698,1,13919.506790258756,8.649202027078651,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.8744 18.4044, 24.003 18.3765)"
24,5,11714,1,11995.160563342357,7.453465745797879,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.8744 18.4044, 23.7619 18.42)"
25,5,11725,1,5387.196912576514,3.3474572884390583,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.8744 18.4044, 23.9241 18.3933)"
26,6,11016,1,11191.35631695954,6.954003701492252,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.9589 18.712, 24.0477 18.7673)"
27,6,11017,1,24156.36227014261,15.010104931302655,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.9589 18.712, 24.1739 18.7878)"
28,6,11695,1,9251.391789810303,5.748562634253982,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.9589 18.712, 23.9061 18.7785)"
29,6,11717,1,21686.021162139696,13.475102316564367,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.9589 18.712, 23.7538 18.7294)"
30,6,11724,1,8002.254627857621,4.972382857480471,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (23.9589 18.712, 23.9154 18.653)"
31,7,3365,1,13301.870459573529,8.265419650026427,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1801 18.3274, 24.1894 18.2081)"
32,7,10957,1,14055.947048839023,8.73398228394188,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1801 18.3274, 24.1596 18.2025)"
33,7,11375,1,18171.5915625115,11.29133157848031,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1801 18.3274, 24.3516 18.3417)"
34,7,11744,1,3921.843357986894,2.436926540064184,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1801 18.3274, 24.2112 18.3467)"
35,7,12515,1,11858.917313799535,7.368807904979393,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1801 18.3274, 24.2478 18.2423)"
36,8,3361,1,40046.54326732998,24.883830183385726,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1994 18.6586, 24.497 18.8829)"
37,8,3362,1,15427.934878735481,9.586498116454871,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1994 18.6586, 24.2205 18.7959)"
38,8,11016,1,20033.593788323124,12.44832899718091,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1994 18.6586, 24.0477 18.7673)"
39,8,11017,1,14615.23440342959,9.08150819803745,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1994 18.6586, 24.1739 18.7878)"
40,8,11724,1,29926.61335729603,18.595581640483697,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.1994 18.6586, 23.9154 18.653)"
41,9,3352,1,25146.41146974478,15.625294511877405,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.1849 18.5001, 25.0034 18.3535)"
42,9,3353,1,23985.478828904805,14.903922619772583,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.1849 18.5001, 24.9605 18.5355)"
43,9,3357,1,20705.9082244668,12.866086858256677,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.1849 18.5001, 25.0537 18.3616)"
44,9,3358,1,20257.57795382782,12.587506651066786,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.1849 18.5001, 25.0463 18.374)"
45,9,3359,1,20329.397809756443,12.63213355149095,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (25.1849 18.5001, 24.9941 18.474)"
46,10,3353,1,14570.034819902703,9.053422409125918,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (24.8381 18.4747, 24.9605 18.5355)"
