link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,303,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.21106 2.13814, 1.19552 2.19345)"
2,1,304,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.21106 2.13814, 1.25207 2.21954)"
3,1,306,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.21106 2.13814, 1.11288 2.12509)"
4,1,307,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.21106 2.13814, 1.27879 2.22514)"
5,2,253,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.753725 1.33595, 0.815862 1.36764)"
6,2,255,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.753725 1.33595, 0.68786 1.41797)"
7,2,256,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.753725 1.33595, 0.786037 1.27319)"
8,2,272,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.753725 1.33595, 0.802814 1.32849)"
9,3,258,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.981148 1.35335, 0.918389 1.33098)"
10,3,259,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.981148 1.35335, 0.981769 1.30613)"
11,3,260,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.981148 1.35335, 1.01657 1.29246)"
12,3,261,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.981148 1.35335, 1.0613 1.28873)"
13,4,226,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.24834 1.39995, 1.26636 1.45588)"
14,4,231,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.24834 1.39995, 1.25269 1.5205)"
15,4,232,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.24834 1.39995, 1.24834 1.36143)"
16,4,263,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.24834 1.39995, 1.21913 1.29432)"
17,5,254,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.805299 1.55467, 0.845067 1.46644)"
18,5,255,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.805299 1.55467, 0.68786 1.41797)"
19,5,352,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.805299 1.55467, 0.749997 1.57767)"
20,5,353,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.805299 1.55467, 0.792872 1.5932)"
21,6,196,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.32477 1.06006, 1.42294 0.927709)"
22,6,223,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.32477 1.06006, 1.32974 1.03645)"
23,6,264,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.32477 1.06006, 1.24461 1.13028)"
24,6,295,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.32477 1.06006, 1.31793 1.04701)"
25,7,50,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.59506 0.886699, 1.54784 0.901612)"
26,7,51,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.59506 0.886699, 1.50434 0.836368)"
27,7,55,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.59506 0.886699, 1.55219 0.875514)"
28,7,59,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.59506 0.886699, 1.60563 0.944487)"
29,8,359,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.58201 1.43724, 1.57642 1.45028)"
30,8,360,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.58201 1.43724, 1.53106 1.33968)"
31,8,361,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.58201 1.43724, 1.57829 1.4565)"
32,8,364,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.58201 1.43724, 1.56772 1.51801)"
33,9,158,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.75289 1.29246, 1.8287 1.19552)"
34,9,168,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.75289 1.29246, 1.79825 1.18558)"
35,9,176,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.75289 1.29246, 1.8113 1.20671)"
36,9,362,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.75289 1.29246, 1.76035 1.2415)"
37,10,140,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.05198 0.338027, 1.05074 0.401407)"
38,10,142,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.05198 0.338027, 1.12966 0.283967)"
39,10,144,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.05198 0.338027, 1.05696 0.337405)"
40,10,146,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.05198 0.338027, 1.17253 0.34859)"
41,11,63,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.25393 0.728249, 1.37696 0.620751)"
42,11,275,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.25393 0.728249, 1.28997 0.710229)"
43,11,279,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.25393 0.728249, 1.2297 0.790386)"
44,11,283,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.25393 0.728249, 1.16507 0.76056)"
45,12,112,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.99771 0.223694, 2.00641 0.195111)"
46,12,114,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.99771 0.223694, 1.99212 0.201325)"
47,12,120,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.99771 0.223694, 1.97845 0.224937)"
48,12,121,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.99771 0.223694, 1.9623 0.213131)"
49,13,166,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.56462 0.576634, 1.64726 0.690966)"
50,13,201,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.56462 0.576634, 1.61743 0.544323)"
51,13,203,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.56462 0.576634, 1.5031 0.486535)"
52,13,398,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.56462 0.576634, 1.47327 0.520089)"
53,14,128,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.8461 0.507662, 1.85542 0.523817)"
54,14,129,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.8461 0.507662, 1.82684 0.425019)"
55,14,130,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.8461 0.507662, 1.76656 0.441175)"
56,14,133,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.8461 0.507662, 1.86971 0.407621)"
57,15,165,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.90016 0.933302, 1.82559 0.981769)"
58,15,175,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.90016 0.933302, 1.86288 0.904097)"
