node_id,zone_id,x_coord,y_coord,geometry
1,1,1.21106,2.13814,POINT (1.21106 2.13814)
2,2,0.753725,1.33595,POINT (0.753725 1.33595)
3,3,0.981148,1.35335,POINT (0.981148 1.35335)
4,4,1.24834,1.39995,POINT (1.24834 1.39995)
5,5,0.805299,1.55467,POINT (0.805299 1.55467)
6,6,1.32477,1.06006,POINT (1.32477 1.06006)
7,7,1.59506,0.886699,POINT (1.59506 0.886699)
8,8,1.58201,1.43724,POINT (1.58201 1.43724)
9,9,1.75289,1.29246,POINT (1.75289 1.29246)
10,10,1.05198,0.338027,POINT (1.05198 0.338027)
11,11,1.25393,0.728249,POINT (1.25393 0.728249)
12,12,1.99771,0.223694,POINT (1.99771 0.223694)
13,13,1.56462,0.576634,POINT (1.56462 0.576634)
14,14,1.8461,0.507662,POINT (1.8461 0.507662)
15,15,1.90016,0.933302,POINT (1.90016 0.933302)
16,16,0.367853,1.13711,POINT (0.367853 1.13711)
17,17,0.380901,1.61246,POINT (0.380901 1.61246)
18,18,0.241714,1.38318,POINT (0.241714 1.38318)
19,19,0.920253,1.76283,POINT (0.920253 1.76283)
20,20,1.221,1.83678,POINT (1.221 1.83678)
21,21,0.945729,2.14187,POINT (0.945729 2.14187)
22,22,1.11226,1.62178,POINT (1.11226 1.62178)
23,23,1.33968,1.54908,POINT (1.33968 1.54908)
24,24,0.372824,0.9507,POINT (0.372824 0.9507)
25,25,0.421291,0.275268,POINT (0.421291 0.275268)
26,26,0.328706,0.557993,POINT (0.328706 0.557993)
27,27,0.957535,0.617645,POINT (0.957535 0.617645)
28,28,1.55157,0.270297,POINT (1.55157 0.270297)
29,29,2.02692,1.23964,POINT (2.02692 1.23964)
30,30,2.19717,1.12593,POINT (2.19717 1.12593)
31,31,0.0236122,1.90326,POINT (0.0236122 1.90326)
32,32,0.628829,1.68143,POINT (0.628829 1.68143)
33,33,0.196354,2.20898,POINT (0.196354 2.20898)
34,34,0.928952,1.00725,POINT (0.928952 1.00725)
35,35,2.06544,0.783551,POINT (2.06544 0.783551)
36,36,0.444282,2.08533,POINT (0.444282 2.08533)
37,,0.933923,2.27795,POINT (0.933923 2.27795)
38,,0.933302,2.2792,POINT (0.933302 2.2792)
39,,0.0,1.54535,POINT (0.0 1.54535)
40,,0.026719,2.20525,POINT (0.026719 2.20525)
41,,2.0729,0.0223694,POINT (2.0729 0.0223694)
42,,1.95857,0.0646228,POINT (1.95857 0.0646228)
43,,1.33098,0.196975,POINT (1.33098 0.196975)
44,,1.94862,1.42294,POINT (1.94862 1.42294)
45,,1.77029,1.51366,POINT (1.77029 1.51366)
46,,1.93433,1.39871,POINT (1.93433 1.39871)
47,,1.78396,1.53417,POINT (1.78396 1.53417)
48,,1.96851,1.41052,POINT (1.96851 1.41052)
49,,1.9536,1.38815,POINT (1.9536 1.38815)
50,,1.54784,0.901612,POINT (1.54784 0.901612)
51,,1.50434,0.836368,POINT (1.50434 0.836368)
52,,1.4857,0.77423,POINT (1.4857 0.77423)
53,,1.5932,0.956293,POINT (1.5932 0.956293)
54,,1.51677,0.822698,POINT (1.51677 0.822698)
55,,1.55219,0.875514,POINT (1.55219 0.875514)
56,,1.6137,0.976798,POINT (1.6137 0.976798)
57,,1.46768,0.774852,POINT (1.46768 0.774852)
58,,1.48757,0.809027,POINT (1.48757 0.809027)
59,,1.60563,0.944487,POINT (1.60563 0.944487)
60,,1.62613,0.966235,POINT (1.62613 0.966235)
61,,1.65534,0.986119,POINT (1.65534 0.986119)
62,,1.68268,1.02154,POINT (1.68268 1.02154)
