link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,183,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.405135 1.94117, 0.692831 1.93744)"
2,1,294,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.405135 1.94117, 0.526924 1.91631)"
3,1,296,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.405135 1.94117, 0.433097 1.9014)"
4,1,297,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.405135 1.94117, 0.347347 1.88711)"
5,2,187,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.807785 1.75973, 0.961264 1.81627)"
6,2,242,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.807785 1.75973, 0.848174 1.6454)"
7,2,243,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.807785 1.75973, 0.779823 1.68951)"
8,2,245,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.807785 1.75973, 0.819591 1.75289)"
9,3,200,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.223694 2.35562, 0.23985 2.30094)"
10,3,235,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.223694 2.35562, 0.21748 2.38296)"
11,3,318,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.223694 2.35562, 0.270297 2.40347)"
12,3,320,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.223694 2.35562, 0.218102 2.4072)"
13,4,67,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.759939 2.32891, 0.731977 2.36992)"
14,4,153,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.759939 2.32891, 0.710229 2.34755)"
15,4,156,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.759939 2.32891, 0.730113 2.34692)"
16,4,304,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.759939 2.32891, 0.725142 2.29659)"
17,5,169,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.09859 2.0263, 1.06503 1.97534)"
18,5,170,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.09859 2.0263, 0.989847 2.02692)"
19,5,181,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.09859 2.0263, 0.98239 2.01511)"
20,5,184,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.09859 2.0263, 1.0582 1.96416)"
21,6,173,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.89767 1.04763, 1.9915 0.989847)"
22,6,177,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.89767 1.04763, 1.98591 0.999789)"
23,6,331,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.89767 1.04763, 1.92253 1.00787)"
24,6,333,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.89767 1.04763, 1.87655 1.04204)"
25,7,278,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.2792 1.60873, 2.28665 1.64229)"
26,7,280,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.2792 1.60873, 2.42646 1.57394)"
27,7,281,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.2792 1.60873, 2.37861 1.60438)"
28,7,340,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.2792 1.60873, 2.42211 1.56337)"
29,8,145,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.37364 1.00538, 2.22824 1.24834)"
30,8,325,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.37364 1.00538, 2.4973 0.811513)"
31,8,327,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.37364 1.00538, 2.36184 1.01097)"
32,8,328,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.37364 1.00538, 2.28603 1.15327)"
33,9,237,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.596518 0.809649, 0.657412 0.90534)"
34,9,288,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.596518 0.809649, 0.567935 0.707744)"
35,9,289,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.596518 0.809649, 0.579741 0.731977)"
36,9,290,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.596518 0.809649, 0.597139 0.758696)"
37,10,295,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.670461 1.09672, 0.65182 1.2676)"
38,10,298,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.670461 1.09672, 0.661762 0.988604)"
39,10,299,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.670461 1.09672, 0.676675 0.989225)"
40,10,301,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.670461 1.09672, 0.658655 1.13401)"
41,11,236,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.593411 1.25952, 0.625722 1.44221)"
42,11,295,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.593411 1.25952, 0.65182 1.2676)"
43,11,300,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.593411 1.25952, 0.631936 1.26201)"
44,11,310,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.593411 1.25952, 0.539973 1.30302)"
45,12,71,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.994196 0.528788, 1.14954 0.600867)"
46,12,93,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.994196 0.528788, 1.03086 0.4797)"
47,12,96,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.994196 0.528788, 1.06255 0.485913)"
48,12,135,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.994196 0.528788, 1.04763 0.632557)"
49,13,73,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.27506 0.807785, 1.32849 0.865572)"
50,13,75,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.27506 0.807785, 1.28127 0.831397)"
51,13,77,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.27506 0.807785, 1.20484 0.713957)"
52,13,78,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.27506 0.807785, 1.21727 0.703394)"
53,14,122,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.0495 1.66839, 1.24461 1.62054)"
54,14,123,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.0495 1.66839, 1.28189 1.59506)"
55,14,186,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.0495 1.66839, 1.07808 1.73549)"
56,14,187,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.0495 1.66839, 0.961264 1.81627)"
57,15,122,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.34651 1.49627, 1.24461 1.62054)"
58,15,123,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.34651 1.49627, 1.28189 1.59506)"
59,15,124,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.34651 1.49627, 1.19241 1.48135)"
60,15,125,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.34651 1.49627, 1.2241 1.56027)"
61,16,100,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.55902 1.37758, 1.68454 1.41424)"
62,16,102,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.55902 1.37758, 1.62862 1.30053)"
63,16,104,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.55902 1.37758, 1.64353 1.35894)"
64,16,106,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.55902 1.37758, 1.57394 1.26263)"
65,17,219,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.57704 1.99212, 1.54038 2.08533)"
66,17,220,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.57704 1.99212, 1.55778 2.07476)"
67,17,224,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.57704 1.99212, 1.55219 2.10645)"
68,17,225,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.57704 1.99212, 1.65223 2.01635)"
69,18,49,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.84672 1.77091, 1.8753 1.66031)"
70,18,50,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.84672 1.77091, 1.85915 1.67025)"
71,18,57,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.84672 1.77091, 1.91693 1.75538)"
