link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,817,1,6386.754888908436,3.9685553636325683,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (1.21106 2.65326, 1.19552 2.70856)"
2,1,818,1,10132.834349466217,6.296267009746988,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (1.21106 2.65326, 1.25207 2.73466)"
3,1,821,1,11001.605887382453,6.836097957785461,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (1.21106 2.65326, 1.11288 2.64021)"
4,1,822,1,12253.90867389953,7.614244767357756,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (1.21106 2.65326, 1.27879 2.74025)"
5,2,751,1,7752.749756882579,4.8173473329952525,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (0.753725 1.85107, 0.815862 1.88276)"
6,2,753,1,11694.397426963133,7.266579732662541,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (0.753725 1.85107, 0.68786 1.93309)"
7,2,754,1,7848.380340558566,4.876769570481419,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (0.753725 1.85107, 0.786037 1.78831)"
8,2,781,1,5518.3212203006915,3.428934358370942,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (0.753725 1.85107, 0.802814 1.84361)"
9,3,756,1,7405.1014319497,4.601328141939988,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (0.981148 1.86847, 0.918389 1.8461)"
10,3,757,1,5252.197277605734,3.2635721958105397,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (0.981148 1.86847, 0.981769 1.82124)"
11,3,758,1,7832.93180673866,4.867170272744517,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (0.981148 1.86847, 1.01657 1.80757)"
12,3,759,1,11444.719190118112,7.111436483352252,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (0.981148 1.86847, 1.0613 1.80385)"
13,4,719,1,6532.551211678282,4.059149223705545,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (1.24834 1.91507, 1.26636 1.97099)"
14,4,724,1,13413.281176936776,8.334647232366546,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (1.24834 1.91507, 1.25269 2.03562)"
15,4,725,1,4283.234625055868,2.6614852206841735,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (1.24834 1.91507, 1.24834 1.87655)"
16,4,761,1,12185.895413118966,7.5719831813780605,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (1.24834 1.91507, 1.21913 1.80944)"
17,5,752,1,10760.12851305434,6.686050500860192,1,999999,,,0,0,,0,4,1,0,-1,0.0,"LINESTRING (0.805299 2.06979, 0.845067 1.98156)"
