link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,170,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.23715 2.56378, 1.25579 2.65823)"
2,1,269,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.23715 2.56378, 1.37634 2.41528)"
3,1,329,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.23715 2.56378, 1.24461 2.61971)"
4,1,348,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.23715 2.56378, 1.13152 2.36681)"
5,2,204,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.556129 1.89829, 0.605838 1.88711)"
6,2,209,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.556129 1.89829, 0.44366 1.91383)"
7,2,219,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.556129 1.89829, 0.581605 1.77216)"
8,2,221,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.556129 1.89829, 0.688481 1.88027)"
9,3,155,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.861844 1.82124, 0.992954 1.74233)"
10,3,161,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.861844 1.82124, 0.929574 1.73612)"
11,3,195,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.861844 1.82124, 0.892913 1.84051)"
12,3,346,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (0.861844 1.82124, 0.871165 1.70194)"
13,4,298,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.21292 2.11888, 1.22348 2.00828)"
14,4,299,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.21292 2.11888, 1.22348 2.02381)"
15,4,303,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.21292 2.11888, 1.22348 2.17729)"
16,4,312,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.21292 2.11888, 1.21106 2.17791)"
17,5,264,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.19366 1.24585, 1.12717 1.17377)"
18,5,270,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.19366 1.24585, 1.18123 1.24026)"
19,5,272,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.19366 1.24585, 1.1862 1.2471)"
20,5,273,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.19366 1.24585, 1.20795 1.22162)"
21,6,68,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.49129 1.66963, 1.6746 1.6659)"
22,6,69,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.49129 1.66963, 1.60811 1.67833)"
23,6,70,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.49129 1.66963, 1.55219 1.70194)"
24,6,71,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.49129 1.66963, 1.48881 1.70691)"
25,7,86,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.28852 1.39871, 2.32891 1.51491)"
26,7,87,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.28852 1.39871, 2.37613 1.47452)"
27,7,88,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.28852 1.39871, 2.32269 1.40182)"
28,7,89,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (2.28852 1.39871, 2.38856 1.37386)"
29,8,99,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.7473 0.553643, 1.69759 0.385872)"
30,8,117,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.7473 0.553643, 1.68951 0.400785)"
31,8,121,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.7473 0.553643, 1.61743 0.535002)"
32,8,134,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.7473 0.553643, 1.75662 0.508904)"
33,9,83,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.6659 0.290802, 1.65844 0.25787)"
34,9,84,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.6659 0.290802, 1.65223 0.282103)"
35,9,95,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.6659 0.290802, 1.66279 0.303851)"
36,9,97,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (1.6659 0.290802, 1.64726 0.28956)"
