o_zone_id,d_zone_id,volume
1,7,3
1,8,1
1,9,1
1,10,8
1,12,4
1,13,1
1,14,13
1,15,2
1,16,8
1,22,6
1,24,1
1,25,1
1,26,2
1,31,1
1,34,12
1,35,1
1,36,11
1,37,42
1,39,2
1,40,1
1,41,39
1,42,3
1,43,5
1,44,20
1,45,32
1,46,2
1,47,10
1,48,208
1,49,233
1,51,4
1,56,4
1,57,22
1,58,39
1,60,3
1,61,3
1,62,6
1,66,5
1,67,1
1,75,3
1,79,1
1,83,6
1,84,1
1,90,2
1,93,1
1,98,71
1,102,19
1,103,12
1,107,2
1,108,1
1,113,2
1,114,2
1,115,1
1,117,6
1,118,1
1,121,1
1,122,21
1,124,1
1,125,2
1,126,10
1,127,1
1,128,81
1,129,1
1,131,1
1,138,1
1,145,1
1,146,4
1,158,1
1,163,1
1,165,1
1,166,21
1,168,4
1,170,14
1,175,1
1,181,1
2,4,2
2,7,2
2,9,1
2,10,1
2,15,2
2,16,2
2,18,1
2,19,1
2,21,1
2,22,1
2,24,1
2,31,1
2,34,4
2,35,1
2,36,3
2,37,5
2,41,6
2,42,3
2,43,4
2,44,2
2,45,5
2,47,2
2,48,10
2,49,11
2,53,1
2,55,2
2,56,1
2,57,6
2,58,7
2,60,1
2,63,2
2,66,1
2,73,1
2,76,1
2,81,1
2,83,3
2,89,1
2,92,1
2,94,1
2,95,1
2,97,2
2,98,5
2,102,1
2,109,1
2,111,2
2,114,1
2,116,2
2,117,1
2,122,1
2,128,7
2,135,1
2,141,1
2,157,3
2,168,3
2,173,1
2,175,1
2,180,5
2,187,2
3,4,8
3,7,1
3,8,1
3,9,7
3,10,7
3,14,2
3,15,2
3,16,1
3,18,4
3,19,1
3,25,4
3,26,2
3,31,2
3,34,7
3,36,9
3,37,12
3,38,1
3,39,1
3,40,2
3,41,23
3,42,5
3,43,14
3,44,21
3,45,15
3,47,1
3,48,54
3,49,77
3,50,1
3,51,19
3,53,2
3,56,2
3,57,51
3,58,53
3,59,8
3,60,1
3,61,6
3,63,4
3,64,6
3,66,4
3,69,20
3,70,1
3,71,12
3,73,1
3,74,1
3,75,8
3,76,3
3,77,2
3,79,8
3,80,6
3,81,4
3,83,8
3,85,1
3,87,3
3,90,5
3,95,1
3,97,1
3,98,7
3,99,1
3,101,1
3,102,14
3,103,6
3,104,1
3,108,9
3,109,1
3,111,25
3,112,3
3,114,3
3,115,1
3,116,1
3,117,4
3,118,2
3,121,1
3,122,10
3,126,12
3,127,3
3,128,18
3,131,1
3,134,1
3,141,1
3,143,1
3,145,1
3,146,1
3,148,1
3,151,1
3,157,1
3,160,1
3,162,1
3,166,3
3,168,10
3,171,1
3,173,5
3,175,10
3,176,9
3,177,4
3,179,13
3,180,5
3,181,1
3,183,3
3,184,2
3,188,2
3,191,1
4,2,1
4,3,21
4,5,7
4,6,1
4,7,2
4,8,1
4,9,2
4,10,5
4,12,2
4,14,1
4,15,8
4,16,25
4,17,1
4,18,3
4,19,4
4,21,1
4,24,3
4,25,5
4,26,3
4,28,1
4,31,3
4,33,3
4,34,2
4,35,4
4,36,16
4,37,11
4,39,3
4,41,16
4,42,4
4,43,20
4,44,24
4,45,13
4,48,53
4,49,74
4,50,2
4,51,15
4,53,6
4,54,7
4,55,1
4,56,6
4,57,53
4,58,91
4,59,8
4,60,1
4,61,12
4,62,1
4,63,3
4,64,1
4,66,5
4,68,3
4,69,4
4,70,3
4,71,7
4,73,4
4,75,11
4,76,2
4,78,2
4,79,9
4,80,3
4,81,2
4,82,1
4,83,13
4,86,1
4,87,1
4,90,4
4,91,1
4,95,2
4,97,4
4,98,17
4,100,2
4,102,13
4,103,8
4,105,2
4,106,1
4,107,1
4,108,9
4,111,16
4,112,4
4,114,7
4,115,1
4,116,2
4,117,10
4,118,4
4,121,2
4,122,31
4,124,1
4,126,11
4,128,23
4,129,4
4,133,1
4,134,2
4,140,3
4,141,2
4,143,1
4,146,12
4,148,8
4,149,1
4,150,1
4,157,1
4,158,3
4,159,1
4,160,2
4,163,2
4,166,4
4,168,12
