link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
18217,1,414,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.0529452 42.3655893)"
18219,1,415,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.0528554 42.3658516)"
18221,1,417,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.0528019 42.3660739)"
18223,1,524,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.052759 42.366251)"
18207,1,4358,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.0512334 42.366037)"
18237,1,4359,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.051296 42.366175)"
18209,1,4360,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.051104 42.3653419)"
18097,1,4361,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.0510646 42.3648267)"
18099,1,4832,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.0534 42.367525)"
18225,1,5002,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.052714 42.366496)"
18239,1,5003,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.0514037 42.3664035)"
18211,1,5005,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.05190713023254 42.36662020697675, -71.0525283 42.3671955)"
703,2,1599,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.10593050692636 42.28680433506494, -71.109198 42.286142)"
705,2,1600,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.10593050692636 42.28680433506494, -71.107265 42.2873002)"
707,2,1989,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.10593050692636 42.28680433506494, -71.107947 42.288616)"
709,2,1990,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.10593050692636 42.28680433506494, -71.1067741 42.2877486)"
5601,2,2447,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.10593050692636 42.28680433506494, -71.102694 42.284538)"
5603,2,2449,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.10593050692636 42.28680433506494, -71.105401 42.286718)"
711,2,4708,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.10593050692636 42.28680433506494, -71.1066654 42.2876665)"
418,3,3270,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.17683810934581 42.2637696056075, -71.168304 42.263703)"
420,3,4666,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.17683810934581 42.2637696056075, -71.1681922 42.2646425)"
992,4,1485,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.15268398395062 42.249565932098754, -71.1449258 42.2535609)"
994,4,3965,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.15268398395062 42.249565932098754, -71.1452621 42.2534053)"
802,5,3928,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.14570979743591 42.23453934358975, -71.138406 42.234443)"
804,5,3929,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.14570979743591 42.23453934358975, -71.137426 42.235334)"
806,5,5468,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.14570979743591 42.23453934358975, -71.1435733 42.2408128)"
14036,6,1438,1,0.0,0.0,5,3.10685596,0.0,0,0,0.25,2,1,1,99999,0.0,0,"LINESTRING (-71.1197223097561 42.34635110731707, -71.115804 42.3510348)"
