o_zone_id,d_zone_id,volume
1,20,15.4242
1,23,17.3565
1,24,22.8285
1,25,8.29179
1,26,13.16358
1,27,3.78081
1,29,0.23769
1,31,1.12214
1,32,2.95146
1,33,3.29175
1,34,45.12006
1,38,0.00171
1,39,5.274
1,40,0.05471
1,41,0.06971
1,43,0.002
1,44,0.015
1,48,0.03171
1,51,0.01368
1,52,0.029
1,59,0.00342
1,61,0.00742
1,63,0.0171
1,65,0.00684
1,68,0.099
1,71,0.09
1,72,0.00171
1,93,0.065
1,102,0.00171
1,109,0.02
1,111,0.00342
1,112,0.0342
1,114,0.00571
1,116,0.07142
1,119,0.00171
1,120,0.02
1,121,0.004
1,123,0.02
1,124,0.00855
1,127,0.025
1,130,0.00771
1,131,0.00342
1,135,0.00684
1,136,0.013
1,142,0.00713
1,145,1.276
1,150,0.01197
1,154,0.01826
1,155,0.00171
1,156,0.07813
1,157,0.008
1,158,0.00684
1,159,0.223
1,161,0.00471
1,162,0.05042
1,163,2.25761
1,164,0.159
1,165,0.005
1,169,0.03862
1,170,0.0342
1,175,0.01026
1,180,0.282
1,184,0.00855
1,186,0.008
1,190,0.00513
1,193,0.00171
1,198,0.00513
1,199,0.05078
1,202,0.00171
1,203,0.42583
1,209,0.001
1,212,0.03
1,213,0.05588
1,216,0.23598
1,217,0.008
1,222,0.006
1,223,0.44355
1,224,20.508
1,225,0.02223
1,226,0.872
1,231,0.07826
1,232,0.006
1,241,0.001
1,248,0.073
1,251,0.05359
1,252,0.578
1,255,0.036
1,259,0.001
1,261,0.477
1,263,0.025
1,264,0.07868
1,266,0.031
1,267,0.004
1,268,0.022
1,270,0.063
1,272,0.00342
1,274,0.009
1,276,0.00171
1,277,0.03871
1,281,0.027
1,283,0.069
1,284,0.298
1,286,0.438
1,288,0.05897
1,292,0.001
1,295,0.008
1,296,0.00342
1,301,0.00513
1,304,0.00342
1,309,0.00513
1,311,0.006
1,312,0.171
1,315,0.00342
1,317,0.22914
1,323,0.00171
1,324,0.001
1,331,0.00342
1,332,0.00855
1,333,0.152
1,336,0.00171
1,340,0.02565
1,341,1.87587
1,343,0.071
1,348,0.002
1,349,0.001
1,350,0.01484
1,354,0.20349
1,357,0.00513
1,361,0.01026
1,364,0.00342
1,365,0.00684
1,366,0.00342
1,367,0.01197
1,371,0.00884
1,377,0.0181
1,381,0.061
1,385,0.02223
1,394,0.03762
1,395,0.01539
1,396,0.00171
1,404,0.00513
1,408,0.00171
1,410,0.00171
1,411,0.00171
1,412,0.36765
1,413,0.03442
1,416,0.065
1,417,0.43326
1,418,0.01539
1,420,0.01197
1,423,0.00513
1,427,0.01026
1,428,0.001
1,430,0.00513
1,431,0.01539
1,442,0.00855
1,445,0.44759
1,446,0.00684
1,449,0.972
1,450,0.02
1,452,0.001
1,455,0.00171
1,459,0.508
1,462,0.26847
1,463,0.612
1,465,0.03762
1,468,0.023
1,469,0.169
1,470,0.627
1,471,0.049
1,477,0.09063
1,478,0.002
1,481,0.078
1,482,0.342
1,486,0.074
1,487,0.36765
1,489,0.51489
1,494,0.11115
1,495,0.398
1,499,0.00471
1,501,0.00513
1,502,3.25684
1,504,0.07
1,507,0.00171
1,517,0.01026
1,519,0.0171
1,521,9.134
1,523,0.01539
1,524,0.01197
1,536,0.18981
1,538,0.2565
1,541,11.25081
1,543,0.01368
1,545,0.14193
1,560,0.22059
1,561,0.298
1,565,0.01197
1,572,0.10602
1,573,0.578
1,574,0.001
1,578,0.19494
1,586,0.342
1,591,0.13167
1,593,0.168
1,597,0.214
1,598,4.623
1,599,0.02565
1,604,0.01881
1,606,0.06156
1,609,0.41895
1,611,0.001
1,614,0.111
1,618,0.0171
1,620,10.125
1,623,0.05643
1,624,0.171
1,625,0.342
1,628,2.83428
1,635,0.552
1,640,0.064
1,643,0.11657
1,644,0.063
1,645,0.001
1,649,0.001
1,650,0.001
1,654,0.001
1,659,0.002
1,660,0.001
1,662,0.61418
1,663,0.21033
1,664,0.4788
1,665,0.061
1,667,0.07524
1,668,0.0171
1,670,0.02052
1,672,2.25
1,685,0.032
1,688,0.10773
1,689,0.025
1,691,0.01881
1,692,0.061
1,694,0.001
1,695,0.004
1,696,0.82351
1,699,0.001
1,701,0.65437
1,702,1.37109
1,703,0.001
1,704,0.007
1,707,0.0221
1,708,0.021
1,709,0.012
1,711,0.002
1,712,0.8037
1,713,0.001
1,714,0.06
1,715,0.001
1,716,0.002
1,717,0.003
1,719,0.001
1,720,0.001
1,722,0.006
1,723,0.003
1,724,3.87928
1,726,0.001
1,727,0.076
1,728,0.002
1,730,0.002
1,731,0.002
1,732,0.16834
1,733,0.009
1,734,1.62963
1,735,0.001
1,736,1.012
1,738,0.17784
1,740,0.852
1,742,0.376
1,744,0.13
1,747,2.512
1,748,0.06327
1,750,0.871
1,757,0.871
1,758,0.241
1,759,0.00855
1,764,0.04617
1,765,0.08379
1,766,0.871
1,767,0.815
1,772,0.40356
1,777,1.95857
1,778,2.303
1,779,5.63608
1,780,0.871
