link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,6595,1,21784,13.53594586,1,999999,5940,3690.94374,0,9,,1,3,1,0,-1,0.220040404,"LINESTRING (-86.83828903338143 3.2589249891909926, -86.69474713454792 3.1246765117526203)"
2,2,5983,1,2579,1.602515809,1,999999,5940,3690.94374,0,9,,1,3,1,0,-1,0.026050505,"LINESTRING (-87.52414785821587 2.8895432654018465, -87.54623450134336 2.8967113413916574)"
3,3,6196,1,11426,7.099785046,1,999999,5940,3690.94374,0,0,,1,3,1,0,-1,0.115414141,"LINESTRING (-87.29062814799906 2.8063500402383443, -87.37895362353679 2.753459061795636)"
4,3,6236,1,6142,3.816460682,1,999999,5940,3690.94374,0,9,,1,3,1,0,-1,0.062040404,"LINESTRING (-87.29062814799906 2.8063500402383443, -87.33962380925378 2.832052685558546)"
5,4,5352,1,8233,5.115747443,1,999999,5940,3690.94374,0,9,,1,3,1,0,-1,0.083161616,"LINESTRING (-87.6623188667865 3.2383170861540957, -87.68384891361904 3.3095864470720575)"
6,4,6066,1,19021,11.81909779,1,999999,5940,3690.94374,0,9,,1,3,1,0,-1,0.192131313,"LINESTRING (-87.6623188667865 3.2383170861540957, -87.49182938540939 3.2226445068583005)"
7,5,6147,1,13044,8.105163324,1,999999,5940,3690.94374,0,9,,1,3,1,0,-1,0.131757576,"LINESTRING (-87.30092788386135 3.26958234554028, -87.41828531330461 3.266056829725427)"
8,6,6223,1,6054,3.761780034,1,999999,5940,3690.94374,0,9,,1,3,1,0,-1,0.061151515,"LINESTRING (-87.39912065811492 2.202501620259761, -87.3579154091123 2.16670636277646)"
9,7,6331,1,9339,5.802983769,1,999999,5940,3690.94374,0,0,,1,3,1,0,-1,0.094333333,"LINESTRING (-87.17226834981707 2.4541659057708283, -87.16605698160664 2.5384226502444465)"
10,8,6400,1,56952,35.38832119,1,999999,5940,3690.94374,0,0,,1,3,1,0,-1,0.575272727,"LINESTRING (-86.54162140481968 2.0159308988994042, -87.0369343225826 2.1469350987709346)"
11,9,6638,1,22948,14.25922171,1,999999,5940,3690.94374,0,9,,1,3,1,0,-1,0.23179798,"LINESTRING (-86.28991960310145 2.614440007389945, -86.3838425608686 2.4295816280479063)"
12,10,6577,1,3942,2.449444482,1,999999,5940,3690.94374,0,9,,1,3,1,0,-1,0.039818182,"LINESTRING (-86.75487935588204 1.5808322497923841, -86.7570551093081 1.5452362978255703)"
