link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
42542,1,6411,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6202471 41.8918028)"
42544,1,6412,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6202626 41.8925884)"
29804,1,6415,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6226707 41.8917508)"
42546,1,6416,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6202067 41.8909982)"
42548,1,6477,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6177145 41.8926319)"
42558,1,6767,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6176875 41.8918326)"
42433,1,6770,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6203968 41.8895639)"
29806,1,10619,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6226501 41.8909533)"
29808,1,10620,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6218106 41.8909656)"
42435,1,10990,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6185497 41.8895044)"
42562,1,10991,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6186057 41.8910288)"
42437,1,10992,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6176255 41.8895112)"
29810,1,10993,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.621783 41.8900895)"
42560,1,10994,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6176655 41.8910468)"
42439,1,10995,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6195685 41.8895267)"
42441,1,10996,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6187628 41.8895195)"
42550,1,10997,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6196247 41.8910093)"
29812,1,12300,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6216423 41.8909556)"
29814,1,12301,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6216414 41.8909804)"
29816,1,12303,1,0.0,0.0,15,9.32056788,0.0,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-87.61932494038459 41.89128314423078, -87.6219808 41.8909391)"
