link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,547,1,1403.34528073841,0.8720004975570174,1,49500,,,0,3,,0.15,4,1,4989.13,13.11981322,0.0,"LINESTRING (-87.67559107263199 42.01165237596879, -87.66368557298236 42.020654602195)"
2,2,548,1,1403.4330943220853,0.8720550625238206,1,49500,,,0,3,,0.15,4,1,6719.41,13.11981322,0.0,"LINESTRING (-87.69940207193123 42.00355037236519, -87.6874965722816 42.012552598591405)"
3,3,549,1,1403.715994091257,0.8722308487275885,1,49500,,,0,3,,0.15,4,1,10095.53,13.11981322,0.0,"LINESTRING (-87.66487612294732 41.97744391630916, -87.65297062329769 41.98644614253538)"
4,4,550,1,1403.8622885103487,0.872321752091136,1,49500,,,0,3,,0.15,4,1,9444.62,13.11981322,0.0,"LINESTRING (-87.68987767221154 41.96394057696984, -87.67797217256191 41.972942803196055)"
5,5,551,1,1404.2035543510071,0.8725338053804711,1,49500,,,0,3,,0.15,4,1,17223.82,13.11981322,0.0,"LINESTRING (-87.65297062329769 41.93243278517809, -87.64106512364806 41.9414350114043)"
6,6,552,1,1403.5794322973677,0.8721459929519977,1,49500,,,0,3,,0.15,4,1,6446.03,13.11981322,0.0,"LINESTRING (-87.74345242063487 41.99004703302587, -87.73154692098524 41.99904925925208)"
7,7,553,1,1403.9012965453526,0.8723459906205977,1,49500,,,0,3,,0.15,4,1,9884.28,13.11981322,0.0,"LINESTRING (-87.72559417116042 41.96033968647936, -87.7136886715108 41.96934191270557)"
8,8,554,1,1403.6086971909838,0.8721641773590316,1,49500,,,0,3,,0.15,4,1,9252.3,13.11981322,0.0,"LINESTRING (-87.79940826898812 41.987346365158004, -87.78750276933849 41.99634859138422)"
9,9,555,1,1404.0280615692043,0.87242475895038,1,49500,,,0,3,,0.15,4,1,6699.45,13.11981322,0.0,"LINESTRING (-87.8220287183224 41.94863679238527, -87.81012321867277 41.95763901861149)"
10,10,556,1,1404.1353110270898,0.8724914008395305,1,49500,,,0,3,,0.15,4,1,13823.65,13.11981322,0.0,"LINESTRING (-87.76369177003923 41.93873434353644, -87.7517862703896 41.947736569762654)"
11,11,557,1,1404.593421593721,0.8727760582560062,1,49500,,,0,3,,0.15,4,1,10551.06,13.11981322,0.0,"LINESTRING (-87.7613106701093 41.896423880273225, -87.74940517045968 41.90542610649944)"
12,12,558,1,1404.5349517842142,0.8727397267104616,1,49500,,,0,3,,0.15,4,1,6985.78,13.11981322,0.0,"LINESTRING (-87.72559417116042 41.90182521600896, -87.7136886715108 41.910827442235174)"
13,13,559,1,1404.856490784751,0.8729395222791648,1,49500,,,0,3,,0.15,4,1,9401.48,13.11981322,0.0,"LINESTRING (-87.71964142133561 41.87211786946244, -87.70773592168598 41.88112009568866)"
14,14,560,1,1404.2327999803922,0.8725519778172371,1,49500,,,0,3,,0.15,4,1,14763.69,13.11981322,0.0,"LINESTRING (-87.7136886715108 41.92973211731022, -87.70178317186117 41.93873434353644)"
15,15,561,1,1404.5154610410743,0.8727276156940575,1,49500,,,0,3,,0.15,4,1,8934.72,13.11981322,0.0,"LINESTRING (-87.68035327249183 41.903625661254196, -87.6684477728422 41.91262788748041)"
