o_zone_id,d_zone_id,volume
1,2,10.279
1,3,0.658
1,4,0.736
1,5,1.779
1,9,0.006
1,14,28.126
1,15,1.112
1,17,0.025
1,19,0.332
1,20,0.282
1,21,0.112
1,22,0.004
1,23,0.028
1,24,1.577
1,25,0.106
1,26,1.588
1,27,0.355
1,28,0.252
1,29,0.336
1,31,0.008
1,32,0.085
1,34,0.159
1,35,0.007
1,37,0.001
1,38,0.69
1,39,1.228
1,41,0.011
1,43,0.001
1,47,0.001
1,48,0.024
1,50,3.781
1,51,3.052
1,52,1.707
1,53,1.149
1,54,0.845
1,55,1.647
1,56,0.805
1,57,2.293
1,58,17.693
1,59,6.546
1,60,1.921
1,61,1.099
1,62,4.141
1,63,0.28
1,64,2.371
1,65,1.367
1,66,1.743
1,67,3.315
1,68,2.927
1,69,2.731
1,70,15.427
1,71,7.235
1,72,4.312
1,73,5.43
1,74,1.803
1,75,4.775
1,76,5.772
1,77,1.335
1,78,7.386
1,79,1.184
1,80,6.981
1,81,7.396
1,82,2.012
1,83,20.14
1,84,2.155
1,85,0.516
1,86,2.032
1,87,1.289
1,88,23.485
1,89,3.596
1,90,7.65
1,91,0.071
1,92,0.163
1,93,0.1
1,94,0.052
1,95,0.105
1,96,0.054
1,97,0.482
1,98,0.044
1,99,0.377
1,102,0.023
1,103,0.513
1,104,0.49
1,105,0.133
1,106,0.42
1,107,2.011
1,108,0.222
1,109,0.045
1,110,0.006
1,111,0.273
1,112,1.079
1,113,0.185
1,114,0.049
1,115,0.034
1,116,0.31
1,117,0.068
1,118,0.03
1,119,0.024
1,120,0.02
1,121,0.039
1,122,0.033
1,123,0.028
1,124,0.095
1,125,0.047
1,126,0.33
1,127,0.007
1,128,0.203
1,129,0.142
1,130,0.118
1,131,0.011
1,132,0.022
1,133,0.446
1,134,0.01
1,135,0.326
1,136,0.055
1,137,2.173
1,138,4.137
1,139,2.496
1,140,1.97
1,141,0.314
1,143,0.001
1,144,0.482
1,145,0.612
1,146,0.01
1,147,0.132
1,148,1.02
1,149,0.016
1,150,1.089
1,151,0.27
1,153,0.044
1,154,0.126
1,156,1.861
1,157,0.013
1,159,1.382
1,160,0.62
1,161,0.035
1,162,1.635
1,163,0.093
1,164,2.537
1,165,2.702
1,166,5.911
1,167,0.069
1,168,0.089
1,169,0.113
1,170,0.138
1,171,0.064
1,174,0.021
1,176,0.13
1,177,0.129
1,178,0.008
1,180,0.035
1,181,0.53
1,182,0.237
1,183,0.005
1,184,0.215
1,185,1.2
1,186,0.196
1,187,0.161
1,188,0.015
1,189,0.116
1,190,0.111
1,191,0.004
1,193,0.107
1,198,0.415
1,199,3.414
1,200,0.43
1,201,0.489
1,202,0.509
1,203,1.264
1,204,0.609
1,205,1.18
1,206,0.741
1,207,3.479
1,208,0.895
1,209,2.547
1,210,0.593
1,211,0.463
1,212,2.846
1,213,0.514
1,214,0.532
1,215,0.589
1,216,1.954
1,217,0.839
1,218,1.53
1,219,0.04
1,220,0.94
1,221,0.492
1,222,0.59
1,223,2.344
1,224,1.284
1,225,5.138
1,226,1.404
1,227,7.085
1,228,9.608
1,229,1.993
1,230,0.757
1,231,0.522
1,232,0.239
1,233,2.394
1,234,0.255
1,235,5.886
1,236,1.368
1,237,5.283
1,238,0.283
1,239,0.423
1,240,0.087
1,241,0.524
1,242,0.078
1,243,0.176
1,244,0.131
1,245,0.1
1,246,3.183
1,247,0.661
1,248,0.917
1,249,0.515
1,250,4.185
1,251,1.25
1,252,0.558
1,253,0.56
1,254,1.229
1,255,9.521
1,256,6.26
1,257,4.781
1,258,0.171
1,259,5.549
1,260,0.448
1,261,1.098
1,262,0.41
1,263,0.341
1,264,0.367
1,265,13.744
1,266,2.707
1,267,0.411
1,268,0.444
1,269,1.401
1,270,0.983
1,271,0.473
1,272,10.107
1,273,3.562
1,274,0.719
1,275,0.715
1,276,0.651
1,277,0.431
1,278,1.109
1,279,4.069
1,280,5.159
1,281,4.787
1,282,0.068
1,283,14.05
1,284,0.328
1,285,0.077
1,286,0.142
1,287,0.049
1,288,1.371
1,289,0.128
1,290,0.197
1,291,0.151
1,292,0.169
1,293,0.163
1,294,0.079
1,295,0.043
1,296,0.455
1,297,0.128
1,298,0.63
1,299,0.928
1,300,0.025
1,301,0.092
1,302,0.372
1,303,0.306
1,304,0.575
1,305,0.095
1,306,0.045
1,307,0.872
1,308,0.178
1,309,0.081
1,310,0.215
1,311,0.11
1,312,0.237
1,313,0.05
1,314,0.191
1,315,0.001
1,316,0.156
1,317,0.401
1,318,0.269
1,320,0.091
1,321,0.122
1,322,0.068
1,323,0.299
1,324,0.053
1,325,0.231
1,326,0.025
1,327,0.09
1,328,0.435
1,329,0.216
1,330,0.286
1,331,0.065
1,332,0.073
1,333,0.019
1,334,0.005
1,335,0.151
1,336,0.434
1,337,0.01
1,338,0.026
1,339,0.447
1,340,0.313
1,341,0.009
1,343,0.521
1,345,0.091
1,346,0.16
1,347,0.16
1,348,0.365
1,349,0.684
1,350,0.152
1,351,0.72
1,352,2.424
1,353,0.181
1,354,0.476
1,355,0.018
1,358,0.222
1,359,0.357
1,360,0.163
1,361,0.319
1,362,0.071
1,363,0.019
1,364,0.016
1,365,0.037
1,366,0.001
1,368,0.2
1,369,0.053
1,370,0.047
1,373,0.011
1,375,0.22
1,377,0.003
1,378,0.001
1,380,0.002
1,381,0.102
1,382,1.765
1,383,0.244
1,385,0.03
1,386,0.002
1,387,0.059
1,388,0.001
1,389,0.015
1,390,0.146
1,392,0.032
1,394,0.004
1,395,0.176
1,397,0.209
1,398,0.11
1,399,0.069
1,401,0.005
1,402,0.007
1,406,0.123
1,407,0.097
1,408,0.152
1,409,0.002
1,410,0.505
1,411,0.225
1,412,0.096
1,414,0.384
1,415,0.796
1,416,0.228
1,417,0.252
1,418,0.156
1,419,0.121
1,420,1.632
1,421,0.958
1,422,0.235
1,423,3.914
1,424,25.99
1,425,2.14
1,426,2.774
1,427,7.454
1,428,1.105
1,429,0.491
1,430,6.233
1,431,5.534
1,432,17.791
1,433,0.554
1,434,1.273
1,435,0.106
1,436,0.037
1,437,0.313
1,438,0.86
1,439,1.349
1,440,2.85
1,442,0.032
1,443,0.619
1,444,0.242
1,445,0.145
1,446,0.303
1,447,2.888
1,448,2.211
1,449,1.632
1,450,0.285
1,451,9.878
1,452,0.885
1,453,1.124
1,454,0.553
1,455,0.735
1,456,0.213
1,457,2.969
1,458,3.912
1,459,11.313
1,460,1.509
1,461,13.608
1,462,6.504
1,464,3.23
1,465,2.788
1,466,0.908
1,467,0.371
1,468,0.122
1,469,0.133
1,470,0.511
1,471,0.265
1,472,0.082
1,473,0.166
1,474,0.114
1,475,0.523
1,476,0.705
1,477,0.105
1,478,0.097
1,479,0.146
1,480,0.016
1,481,0.079
1,482,0.65
1,484,0.263
1,485,1.117
1,486,0.355
1,487,0.279
1,488,0.205
1,489,1.019
1,490,0.196
1,491,0.211
1,492,0.175
1,493,1.794
1,494,3.956
1,495,0.906
1,496,2.881
1,497,0.391
1,498,0.095
1,499,3.692
1,500,2.733
1,501,0.713
1,502,0.842
1,503,0.793
1,504,0.488
1,505,0.047
1,506,0.474
1,507,0.213
1,508,2.286
1,509,0.109
1,510,0.686
1,511,0.568
1,512,0.414
1,513,0.365
1,514,0.144
1,515,0.046
1,516,0.24
1,517,0.3
1,518,0.392
1,519,0.154
1,520,1.015
1,521,0.499
1,522,0.132
1,523,0.204
1,524,1.046
1,525,0.328
1,526,0.504
1,527,0.093
1,528,0.082
1,529,0.048
1,530,2.238
1,531,0.081
1,532,0.028
1,533,0.949
1,534,0.053
1,535,0.258
1,536,0.142
1,537,0.171
1,538,0.127
1,539,0.238
1,540,0.176
1,541,1.55
1,542,0.51
1,543,0.089
1,544,0.214
1,545,0.465
1,546,3.494
1,547,0.386
1,548,0.252
1,549,4.646
1,550,0.2
1,551,0.725
1,552,0.086
1,553,0.116
1,554,1.036
1,555,7.777
1,556,1.106
1,557,5.527
1,558,1.012
1,559,4.192
1,560,4.976
1,561,12.196
1,562,0.316
1,563,0.104
1,564,0.227
1,565,0.381
1,566,0.141
1,567,0.093
1,568,0.372
1,569,0.238
1,570,0.463
1,571,0.426
1,572,0.47
1,573,2.06
1,574,0.799
1,575,0.006
1,576,0.016
1,577,0.137
1,578,0.496
1,579,0.065
1,580,2.146
1,581,0.175
1,582,1.281
1,583,0.127
1,584,0.015
1,585,0.022
1,586,0.087
1,587,0.22
1,588,0.732
1,589,0.057
1,590,1.042
1,591,0.267
1,592,0.103
1,593,0.071
1,594,0.435
1,595,0.112
1,596,0.002
1,597,0.091
1,598,0.052
1,599,0.147
1,600,0.166
1,601,0.886
1,602,0.603
1,603,0.194
1,604,0.361
1,605,0.08
1,606,0.013
1,607,0.111
1,608,9.462
1,609,0.168
1,610,2.038
1,611,0.408
1,612,0.043
1,614,0.384
1,615,0.005
1,616,0.098
1,617,0.094
1,618,0.296
1,619,0.065
1,620,0.385
1,621,0.159
1,622,0.112
1,623,0.055
1,624,0.17
1,625,0.005
1,627,1.301
1,628,0.09
1,629,0.103
1,630,0.056
1,631,0.049
1,632,0.021
1,633,0.076
1,634,0.069
1,635,5.36
1,636,3.292
1,637,0.09
1,638,0.144
1,639,0.275
1,640,0.147
1,641,0.397
1,642,2.184
1,643,0.892
1,644,1.185
1,645,0.476
1,646,0.055
1,647,0.426
1,648,0.647
1,649,0.09
1,650,0.334
1,651,0.378
1,652,0.758
1,653,0.784
1,654,0.107
1,655,0.204
1,656,0.123
1,657,0.972
1,658,6.528
1,659,0.98
1,660,0.053
1,661,0.117
1,662,0.334
1,663,0.065
1,664,0.532
1,665,0.332
1,666,1.021
1,667,0.38
1,668,0.441
1,669,1.074
1,670,1.28
1,671,0.082
1,672,0.365
1,673,0.189
1,674,0.302
1,675,0.154
1,676,0.125
1,677,0.435
1,679,0.244
1,680,0.075
1,681,0.065
1,682,14.747
1,683,6.326
1,684,0.411
1,685,0.72
1,686,0.974
1,687,0.264
1,688,0.367
1,689,0.33
1,690,0.331
1,691,0.285
1,692,1.2
1,693,1.277
1,694,1.434
1,695,1.366
1,696,0.751
1,697,1.0
1,698,0.949
1,699,9.816
1,700,0.227
1,701,3.409
1,702,0.471
1,703,0.096
1,704,1.283
1,705,0.23
1,706,0.108
1,707,0.585
1,708,0.404
1,709,0.105
1,710,0.049
1,711,0.875
1,712,0.03
1,713,1.391
1,714,0.275
1,715,1.003
1,716,0.016
1,717,1.294
1,718,0.617
1,719,0.227
1,720,0.048
1,721,0.026
1,722,0.485
1,723,0.874
1,724,0.347
1,725,0.729
1,726,0.217
1,727,0.085
1,728,0.313
1,729,0.047
1,731,0.151
1,732,0.011
1,733,0.28
1,734,0.203
1,735,0.193
1,736,0.246
1,737,0.024
1,738,0.051
1,739,0.569
1,741,0.103
1,743,0.078
1,744,0.011
1,745,0.12
1,746,0.288
1,747,0.803
1,748,0.132
1,749,0.458
1,750,0.016
1,751,0.139
1,752,0.249
1,753,0.039
1,754,0.133
1,756,0.383
1,757,0.677
1,758,2.513
1,759,0.13
1,760,0.125
1,761,0.042
1,762,0.136
1,763,0.054
1,764,0.02
1,765,0.347
1,766,0.005
1,767,0.252
1,768,0.042
1,769,0.005
1,770,0.417
1,771,0.08
1,772,0.013
1,773,0.053
1,774,0.02
1,775,0.011
1,776,0.09
1,778,0.098
1,779,0.071
1,780,0.11
1,781,0.095
1,782,0.022
1,783,0.009
1,784,0.274
1,785,0.283
1,786,0.02
1,787,0.029
1,788,0.949
1,789,1.088
1,790,0.05
1,791,0.001
1,792,0.356
1,793,0.222
1,794,0.04
1,795,0.132
1,796,0.373
1,797,0.505
1,798,0.293
1,799,0.056
1,800,0.072
1,801,0.027
1,802,0.256
1,803,0.208
1,804,0.006
1,805,0.045
1,810,0.111
1,811,0.036
1,812,0.053
1,813,0.059
1,814,0.299
1,815,0.371
1,816,0.089
1,817,0.004
1,818,0.004
1,819,0.133
1,820,0.086
1,821,0.443
1,824,0.006
1,825,0.5
1,826,0.609
1,827,0.015
1,828,0.143
1,829,0.056
1,830,0.555
1,831,0.006
1,832,0.267
1,833,0.13
1,834,4.222
1,836,0.193
1,837,0.015
1,838,0.045
1,840,0.808
1,841,0.911
1,842,0.259
1,843,0.312
1,844,0.07
1,845,4.782
1,846,0.002
1,847,0.059
1,848,0.001
1,849,0.114
1,850,0.089
1,861,0.003
1,862,0.002
1,864,0.309
1,865,1.403
1,866,0.535
1,867,0.157
1,868,0.034
1,869,0.118
1,870,0.699
1,871,0.009
1,872,0.353
1,873,0.447
1,874,0.205
1,876,0.45
1,877,0.187
1,878,0.241
1,879,1.265
1,880,2.542
1,882,1.965
1,883,0.691
1,884,0.079
1,886,0.316
1,888,0.016
1,889,1.744
1,891,0.2
1,892,7.058
1,893,0.005
1,894,0.698
1,895,0.407
1,896,6.439
1,898,0.126
1,899,0.928
1,900,17.596
1,902,11.43
1,903,0.195
1,904,13.631
1,905,0.169
1,906,6.758
1,907,0.779
1,908,0.008
1,909,0.021
1,911,0.469
1,912,0.05
1,913,0.342
1,914,0.073
1,915,1.584
1,916,0.185
1,917,0.002
1,918,0.007
1,919,0.016
1,921,1.741
1,922,0.774
1,923,0.001
1,924,0.107
1,925,0.08
1,927,1.054
1,928,0.488
1,929,0.101
1,932,0.384
1,933,0.328
1,935,0.048
1,937,0.024
1,938,1.339
1,939,0.076
1,940,0.191
1,942,0.813
1,943,0.895
1,944,0.514
1,945,1.0
1,946,0.628
1,947,0.925
1,948,0.595
1,949,8.625
1,950,0.367
1,951,0.06
1,952,0.236
1,953,0.486
1,954,0.358
1,956,0.002
1,957,0.243
1,958,1.37
1,960,1.311
1,961,1.754
1,962,1.868
1,964,0.498
1,965,2.38
1,966,0.131
1,967,0.222
1,968,0.212
1,970,0.08
1,971,0.066
1,972,0.185
1,973,0.031
1,974,0.083
1,975,1.272
1,976,1.166
1,977,0.133
1,979,0.254
1,980,1.42
1,981,0.048
1,982,0.359
1,983,0.107
1,985,0.316
1,986,0.324
1,987,0.016
1,988,0.166
1,989,0.256
1,990,0.122
1,992,0.33
1,993,0.244
1,994,0.333
1,995,0.068
1,996,4.629
1,997,0.465
1,1000,0.851
1,1001,0.092
1,1002,0.31
1,1003,0.016
1,1004,4.827
1,1006,0.31
1,1007,0.47
1,1008,0.393
1,1009,4.192
1,1010,1.121
1,1011,0.112
1,1012,0.789
1,1013,1.994
1,1014,0.415
1,1015,0.225
1,1016,0.89
1,1017,2.443
1,1019,0.011
1,1020,0.319
1,1021,1.974
1,1022,1.053
1,1023,0.191
1,1024,0.466
1,1025,0.122
1,1026,1.099
1,1027,0.674
1,1028,0.125
1,1029,0.005
1,1030,0.86
1,1031,0.318
1,1032,0.794
1,1033,0.848
1,1034,2.94
1,1035,1.622
1,1036,0.048
1,1037,0.41
1,1038,2.311
1,1039,0.864
1,1041,0.076
1,1042,0.016
1,1043,0.186
1,1044,0.217
1,1045,0.568
1,1046,0.051
1,1047,0.015
1,1048,0.176
1,1049,0.044
1,1050,0.219
1,1051,0.158
1,1052,0.04
1,1053,0.016
1,1054,0.058
1,1055,0.055
1,1056,0.164
1,1057,0.136
1,1058,0.061
1,1059,0.998
1,1060,0.17
1,1062,0.02
1,1063,0.054
1,1064,0.237
1,1065,0.13
1,1067,0.037
1,1068,0.253
3,1,0.392
3,4,0.306
3,5,0.41
3,6,0.059
3,7,0.173
3,8,0.05
3,11,0.014
3,14,9.345
3,15,58.482
3,16,0.028
3,17,1.166
3,19,0.01
3,20,0.005
3,21,0.005
3,22,0.003
3,23,0.002
3,24,0.173
3,25,0.013
3,26,0.071
3,28,0.036
3,29,0.067
3,30,0.014
3,31,0.051
3,32,0.145
3,33,0.004
3,34,0.003
3,35,0.007
3,36,0.003
3,37,0.006
3,38,0.037
3,39,0.155
3,40,0.017
3,41,0.034
3,42,0.009
3,43,0.014
3,44,0.042
3,45,0.007
3,46,0.057
3,47,0.016
3,48,0.019
3,50,0.097
3,51,0.047
3,52,0.026
3,53,0.075
3,54,0.048
3,55,0.145
3,56,0.056
3,58,0.33
3,59,0.016
3,60,0.002
3,61,0.024
3,62,0.037
3,64,0.04
3,65,0.008
3,66,0.003
3,67,0.011
3,68,0.005
3,69,0.038
3,70,0.014
3,71,0.02
3,72,0.121
3,73,0.082
3,74,0.005
3,75,0.124
3,76,0.017
3,77,0.007
3,78,0.17
3,79,0.051
3,80,0.077
3,81,0.399
3,82,0.009
3,83,0.15
3,84,0.02
3,85,0.005
3,86,0.005
3,87,0.008
3,88,0.362
3,89,0.001
3,90,0.223
3,91,0.375
3,92,0.364
3,93,0.166
3,94,0.11
3,95,0.22
3,96,0.274
3,97,0.735
3,98,0.723
3,99,1.408
3,100,0.187
3,101,0.248
3,102,0.109
3,103,1.086
3,104,0.653
3,105,0.198
3,106,0.141
3,107,0.515
3,108,0.129
3,109,0.073
3,110,0.033
3,111,0.153
3,112,0.326
3,113,0.078
3,114,0.116
3,115,0.076
3,116,0.113
3,117,0.108
3,118,0.057
3,119,0.133
3,120,0.087
3,121,0.128
3,122,0.095
3,123,0.066
3,124,0.202
3,125,0.034
3,126,0.104
3,127,0.082
3,128,0.24
3,129,0.056
3,130,0.093
3,131,0.013
3,132,0.017
3,133,0.27
3,134,0.039
3,135,0.163
3,136,0.027
3,137,0.979
3,138,2.138
3,139,1.785
3,140,1.36
3,141,0.314
3,142,0.005
3,143,0.153
3,144,0.541
3,145,0.175
3,146,0.028
3,147,0.026
3,148,1.097
3,149,0.216
3,150,0.96
3,151,0.239
3,152,0.11
3,153,0.153
3,154,0.024
3,155,0.044
3,156,1.748
3,157,0.141
3,158,0.021
3,159,0.965
3,160,0.772
3,161,0.305
3,162,2.251
3,163,0.219
3,164,1.859
3,165,1.469
3,166,0.393
3,167,0.003
3,168,0.01
3,169,0.018
3,170,0.026
3,171,0.011
3,172,0.016
3,173,0.044
3,175,0.007
3,177,0.002
3,179,0.002
3,180,0.048
3,181,0.127
3,182,0.003
3,185,0.179
3,186,0.001
3,187,0.005
3,189,0.049
3,190,0.3
3,191,0.05
3,192,0.042
3,193,0.385
3,194,0.031
3,195,0.111
3,196,0.024
3,197,0.075
3,198,0.009
3,199,0.308
3,200,0.06
3,201,0.002
3,202,0.018
3,203,0.075
3,204,0.003
3,205,0.008
3,206,0.026
3,207,0.168
3,209,0.156
3,210,0.034
