o_zone_id,d_zone_id,volume
1,2,4
1,4,1
1,5,6
1,6,2
1,7,1
1,8,1
1,10,2
1,11,1
1,14,2
1,16,13
1,17,13
1,18,14
1,19,1
1,20,4
1,22,9
1,23,1
1,24,1
1,25,1
1,28,5
1,35,1
1,36,1
1,39,6
1,42,1
1,45,5
1,46,2
1,47,5
1,49,1
1,54,7
1,56,1
1,57,14
1,58,5
1,60,3
1,62,5
1,69,2
1,70,8
1,71,2
1,73,2
1,74,8
1,76,5
1,78,7
1,79,1
1,80,1
1,81,4
1,84,53
1,85,2
1,86,1
1,87,4
1,88,4
1,89,1
1,92,1
1,93,5
1,94,5
1,96,10
1,97,1
1,100,17
1,104,3
1,105,2
1,107,2
1,108,1
1,112,3
1,116,1
1,118,2
1,125,3
1,126,2
1,127,1
1,128,3
1,130,1
1,131,6
1,132,1
1,134,3
1,135,4
1,136,6
1,137,10
1,141,84
1,142,10
1,143,6
1,145,13
1,146,11
1,147,1
1,149,1
1,150,1
1,151,1
1,154,2
1,156,7
1,157,4
1,159,2
1,160,2
1,161,1
1,163,2
1,164,1
1,165,7
1,168,1
1,169,1
1,172,6
2,1,1
2,5,3
2,6,3
2,9,1
2,10,3
2,11,1
2,14,2
2,16,5
2,17,12
2,18,2
2,22,19
2,23,3
2,24,4
2,27,7
2,30,1
2,31,1
2,33,1
2,37,1
2,39,3
2,43,1
2,45,4
2,46,9
2,47,1
2,49,1
2,51,1
2,54,27
2,56,3
2,57,9
2,58,12
2,60,3
2,62,3
2,63,3
2,64,2
2,67,1
2,69,3
2,70,2
2,73,4
2,74,1
2,75,1
2,77,5
2,78,1
2,79,2
2,81,4
2,83,3
2,84,15
2,87,1
2,88,2
2,89,1
2,92,1
2,93,2
2,94,3
2,96,1
2,97,1
2,99,1
2,100,5
2,101,3
2,102,1
2,103,1
2,104,4
2,109,2
2,110,1
2,112,3
2,118,2
2,121,1
2,122,2
2,123,1
2,125,1
2,130,3
2,133,1
2,136,2
2,137,15
2,141,57
2,142,4
2,143,3
2,145,19
2,148,2
2,149,6
2,150,30
2,156,1
2,161,1
2,162,2
2,163,3
2,165,1
2,168,2
2,169,2
2,172,6
2,175,6
3,1,4
3,2,6
3,4,5
3,5,30
3,6,3
3,7,6
3,8,5
3,10,3
3,11,2
3,12,1
3,14,8
3,16,16
3,17,33
3,18,7
3,19,1
3,20,1
3,22,15
3,23,6
3,24,2
3,25,5
3,27,7
3,29,2
3,30,1
3,31,7
3,33,2
3,34,4
3,35,6
3,36,9
3,37,12
3,38,1
3,39,15
3,40,4
3,41,1
3,42,3
3,43,5
3,44,2
3,45,12
3,46,8
3,47,1
3,48,1
3,49,3
3,50,1
3,54,10
3,56,1
3,57,11
3,58,9
3,62,14
3,63,1
3,64,1
3,66,1
3,69,2
3,70,17
3,71,6
3,72,1
3,73,9
3,74,3
3,75,1
3,77,4
3,78,2
3,79,2
3,80,1
3,81,2
3,82,1
3,83,3
3,84,21
3,85,2
3,86,1
3,87,8
3,88,18
3,89,27
3,90,7
3,93,6
3,94,9
3,95,1
3,96,17
3,97,12
3,98,2
3,99,4
3,100,26
