link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,4067,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21835213496622 0.6747939922875696, -91.21832526197161 0.6748120610540788)"
2,1,4073,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21835213496622 0.6747939922875696, -91.21836117568552 0.6748842107116988)"
3,1,4075,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21835213496622 0.6747939922875696, -91.21837899238892 0.6747578782701952)"
4,1,8400,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21835213496622 0.6747939922875696, -91.21838800974497 0.6748210288139326)"
5,2,4059,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21820876041089 0.6748302082019267, -91.21819982091225 0.6748572839240947)"
6,2,4062,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21820876041089 0.6748302082019267, -91.2182445884805 0.6748031089673648)"
7,2,4063,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21820876041089 0.6748302082019267, -91.21819972748398 0.6747490123871283)"
8,2,4340,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21820876041089 0.6748302082019267, -91.21817287783884 0.6747941490399781)"
9,3,3590,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21800253681977 0.6747401621663133, -91.2179487674467 0.6747492318161067)"
10,3,3591,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21800253681977 0.6747401621663133, -91.21797571830659 0.6748213893520901)"
11,3,4053,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21800253681977 0.6747401621663133, -91.21801146075724 0.6746950411783659)"
12,3,4055,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21800253681977 0.6747401621663133, -91.21802048589251 0.6747672143837928)"
13,4,3592,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21824440943533 0.6745955885334526, -91.21820855022636 0.6745865972464612)"
14,4,3593,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21824440943533 0.6745955885334526, -91.2182892237151 0.6745955493568377)"
15,4,4145,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21824440943533 0.6745955885334526, -91.21826228844897 0.6745414370987083)"
16,5,4140,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21803814698154 0.6744604292908594, -91.21799335603295 0.6744875363488199)"
17,5,4141,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21803814698154 0.6744604292908594, -91.21804714874843 0.6745055346069081)"
18,5,4198,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21803814698154 0.6744604292908594, -91.21807402175915 0.674487465846099)"
19,5,4199,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21803814698154 0.6744604292908594, -91.21806501221218 0.6744333379017884)"
20,6,3594,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21818157604763 0.6744873718403893, -91.21818161495898 0.6745324849819092)"
21,6,3595,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21818157604763 0.6744873718403893, -91.21815468747691 0.6744873953420397)"
22,6,3596,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21818157604763 0.6744873718403893, -91.21819947841524 0.6744602882882512)"
23,6,4195,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21818157604763 0.6744873718403893, -91.2182264136768 0.6745144005539823)"
24,7,3604,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.2183250128722 0.6745233370022503, -91.21834289966996 0.6744782082009437)"
25,7,4147,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.2183250128722 0.6745233370022503, -91.21829812430629 0.6745233605059516)"
26,7,4191,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.2183250128722 0.6745233370022503, -91.21836984271239 0.6745413430812879)"
27,8,3605,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21842361205545 0.6745322734462127, -91.21837878221847 0.6745142673684034)"
28,8,4149,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21842361205545 0.6745322734462127, -91.21842364318817 0.6745683639481015)"
29,8,4151,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21842361205545 0.6745322734462127, -91.2184684574573 0.6745683247714063)"
30,8,4189,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21842361205545 0.6745322734462127, -91.21843254377829 0.6744961751098492)"
31,9,3606,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21860283019979 0.6744870036284469, -91.21861176192122 0.6744509053006533)"
32,9,3607,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21860283019979 0.6744870036284469, -91.21856697100887 0.6744780123432561)"
33,9,4186,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21860283019979 0.6744870036284469, -91.21857597277553 0.6745231176271979)"
34,9,4234,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21860283019979 0.6744870036284469, -91.21865659174348 0.6744689113745383)"
35,10,3608,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.2186656479944 0.674577175011679, -91.21866567134668 0.6746042428796004)"
36,10,4181,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.2186656479944 0.674577175011679, -91.21870149939873 0.6745771436681516)"
37,10,4183,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.2186656479944 0.674577175011679, -91.21867457192717 0.6745320540631354)"
38,10,4185,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.2186656479944 0.674577175011679, -91.21862978880459 0.6745681837318815)"
39,11,3609,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21857608174984 0.6746494343588412, -91.21854022255467 0.6746404430806918)"
40,11,3610,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21857608174984 0.6746494343588412, -91.21862089601085 0.6746493951760243)"
41,11,4154,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21857608174984 0.6746494343588412, -91.21858499789637 0.674595290780817)"
42,12,3939,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21862105172548 0.6748298476391738, -91.21863004572569 0.6748659302926546)"
43,12,3955,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21862105172548 0.6748298476391738, -91.21866587377244 0.6748388310680911)"
44,12,3957,1,0,0,1,999999,90,55.92339,0,7,,0.15,4,1,0,-1,0,"LINESTRING (-91.21862105172548 0.6748298476391738, -91.21862102836563 0.674802779769712)"
