link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,1371,1,297.8008952716392,0.18504535727170096,1,900.0,54.64236610488793,33.95318166896032,42.9,2,,0.282,4,1,0,-1,0.327,"LINESTRING (153.2983311 -28.00211673, 153.300768 -28.000522)"
2,2,2012,1,258.44296179815916,0.16058941044040365,1,1600.0,89.63339715543093,55.69559362386727,70.2,2,,0.282,4,1,0,-1,0.173,"LINESTRING (153.5293645 -28.19705754, 153.527896 -28.195127)"
3,3,2402,1,202.58871824510527,0.12588310627033772,1,1100.0,60.77661547353158,37.76482633340379,46.8,2,,0.282,4,1,0,-1,0.2,"LINESTRING (153.54142 -28.18870599, 153.540077 -28.187321)"
4,4,1875,1,156.89951504628766,0.0974930810433393,1,800.0,73.54664767794733,45.699754014293816,58.5,1,,0.282,4,1,0,-1,0.128,"LINESTRING (153.3131564 -27.87377769, 153.313394 -27.875173)"
5,5,1880,1,203.69100217029793,0.12656803544949977,1,800.0,71.47052707729752,44.40971288054744,54.6,1,,0.282,4,1,0,-1,0.171,"LINESTRING (153.314272 -27.87156622, 153.314256 -27.873398)"
6,6,1894,1,250.14241466564025,0.15543167675297964,1,800.0,64.97205575730915,40.37175125797494,50.7,1,,0.282,4,1,0,-1,0.231,"LINESTRING (153.2915332 -27.90617069, 153.292982 -27.904321)"
7,7,1970,1,521.7378965020906,0.32419370456341773,1,800.0,65.21723706276133,40.52409981092507,50.7,1,,0.282,4,1,0,-1,0.48,"LINESTRING (153.2804385 -28.03124497, 153.2822 -28.026818)"
8,8,1977,1,326.44309009814515,0.2028428362547039,1,600.0,44.514966831565246,27.660309455096527,27.0,1,,0.667,4,1,0,-1,0.44,"LINESTRING (153.267388 -28.15488686, 153.26815 -28.152029)"
9,9,3448,1,310.9284958075172,0.19320249034232495,1,600.0,55.19440753979595,34.29620420741055,33.0,1,,0.667,4,1,0,-1,0.338,"LINESTRING (153.3862843 -28.2322303, 153.386166 -28.229436)"
10,10,2012,1,256.9657376654949,0.1596715036384449,1,1600.0,89.1210650862988,55.37724533373857,70.2,2,,0.282,4,1,0,-1,0.173,"LINESTRING (153.529226 -28.1971186, 153.527896 -28.195127)"
11,11,2867,1,298.1683081784083,0.18527365763506057,1,600.0,36.43604580591548,22.640302218467507,33.0,5,,0.667,4,1,0,-1,0.491,"LINESTRING (153.2897927 -28.05185613, 153.289041 -28.049258)"
12,12,3627,1,175.92602878022714,0.10931563795110241,1,400.0,39.09467306227269,24.292296095377445,24.0,1,,0.667,4,1,0,-1,0.27,"LINESTRING (153.3243985 -27.88062793, 153.323734 -27.882097)"
13,13,3499,1,485.73117736960734,0.30182011095828565,1,1800.0,109.15307356620389,67.82455447490568,89.8,4,,0.225,4,1,0,-1,0.267,"LINESTRING (153.3132153 -27.86783878, 153.313794 -27.872177)"
14,14,3499,1,488.63611711447356,0.30362516131735595,1,1800.0,109.80586901448844,68.23018263540169,89.8,4,,0.225,4,1,0,-1,0.267,"LINESTRING (153.3128916 -27.86785561, 153.313794 -27.872177)"
15,15,3441,1,145.18765360320114,0.09021564964718529,1,700.0,53.11743424507359,33.00563323429562,33.0,2,,0.667,4,1,0,-1,0.164,"LINESTRING (153.5195577 -28.18672465, 153.520674 -28.187583)"
16,16,3576,1,357.1563356419963,0.22192720968968419,1,800.0,59.52605594033271,36.98776490570048,46.8,1,,0.282,4,1,0,-1,0.36,"LINESTRING (153.285121 -27.91724932, 153.288371 -27.918688)"
17,17,3839,1,1157.1896187961781,0.719046080254128,1,400.0,29.927317727487367,18.595967343646553,18.0,1,,0.667,4,1,0,-1,2.32,"LINESTRING (153.4851161 -28.16690725, 153.495038 -28.161269)"
18,18,2452,1,265.6613714236667,0.16507473338366457,1,1800.0,23.61434412654815,14.673268624257352,24.0,5,,0.0,4,1,0,-1,0.675,"LINESTRING (153.3790672 -27.86701992, 153.379047 -27.869409)"
19,19,2795,1,439.12510019731127,0.2728603652412239,1,1800.0,23.952278192580614,14.88325105280201,24.0,5,,0.0,4,1,0,-1,1.1,"LINESTRING (153.320391 -27.927462, 153.324859 -27.927354)"
20,20,2166,1,221.20729765905529,0.1374521839133156,1,1800.0,24.131705199169662,14.994741791313253,24.0,5,,0.0,4,1,0,-1,0.55,"LINESTRING (153.319041 -27.925222, 153.321284 -27.925049)"
21,21,3843,1,218.33152876395138,0.13566525952499248,1,1800.0,23.81798495606742,14.79980513013657,24.0,5,,0.0,4,1,0,-1,0.55,"LINESTRING (153.333178 -27.937353, 153.331433 -27.936137)"
22,22,3309,1,279.7488392258848,0.17382830180439487,1,1800.0,23.97847193364727,14.899527083882338,24.0,5,,0.0,4,1,0,-1,0.7,"LINESTRING (153.32565 -27.937333, 153.328086 -27.93603)"
23,23,3350,1,293.94723073832546,0.1826507951945055,1,1800.0,24.326667371447623,15.115885631263781,24.0,5,,0.0,4,1,0,-1,0.725,"LINESTRING (153.32225 -27.935551, 153.324002 -27.937694)"
24,24,3728,1,195.53186773963753,0.12149817175962666,1,1800.0,23.463824128756503,14.579739862709557,24.0,5,,0.0,4,1,0,-1,0.5,"LINESTRING (153.322835 -27.943909, 153.32472 -27.944474)"
25,25,3419,1,354.2684015167218,0.22013272615899798,1,1800.0,24.292690389718064,15.094773320149503,24.0,5,,0.0,4,1,0,-1,0.875,"LINESTRING (153.315823 -27.931312, 153.315695 -27.928128)"
