o_zone_id,d_zone_id,volume
1,2,21
1,4,6
1,5,3
1,7,1
1,10,5
1,11,2
1,12,4
1,19,2
1,24,1
1,25,11
1,26,1
1,27,4
1,28,1
1,30,5
1,31,5
1,32,1
1,33,13
1,34,3
1,36,1
1,37,5
1,38,2
1,39,4
1,40,5
1,41,13
1,42,7
1,43,4
1,44,11
1,45,2
1,46,16
1,47,3
1,48,4
1,49,6
1,50,167
1,51,72
1,52,17
1,53,16
1,54,12
1,55,28
1,56,3
1,57,30
1,60,2
1,63,5
1,69,1
1,70,2
1,71,1
1,73,1
1,74,1
1,77,1
1,78,1
1,79,71
1,80,2
1,81,5
1,82,1
1,87,4
1,88,15
1,89,5
1,90,6
1,91,4
1,97,1
1,98,40
1,99,46
1,101,4
1,102,29
1,103,31
1,104,9
1,105,1
1,107,1
1,108,1
1,109,1
1,110,6
1,111,9
1,113,6
1,114,2
1,115,4
1,116,2
1,117,36
1,118,1
1,119,4
1,121,1
1,122,2
1,126,3
1,127,8
1,128,10
1,129,50
1,130,1
1,131,2
1,132,14
1,133,1
1,134,1
1,135,6
1,137,4
1,139,2
2,1,78
2,3,2
2,4,4
2,5,1
2,6,1
2,7,3
2,10,3
2,11,1
2,12,1
2,13,2
2,14,3
2,16,1
2,21,4
2,25,3
2,26,1
2,27,6
2,29,1
2,30,1
2,31,3
2,33,7
2,34,3
2,35,2
2,37,1
2,38,7
2,40,2
2,41,4
2,42,4
2,43,4
2,44,3
2,46,4
2,48,3
2,49,2
2,50,56
2,51,21
2,52,12
2,53,8
2,54,8
2,55,23
2,56,1
2,57,16
2,58,1
2,63,1
2,64,1
2,69,1
2,71,1
2,73,1
2,74,1
2,75,3
2,76,1
2,77,1
2,78,1
2,79,27
2,82,3
2,85,2
2,86,1
2,87,3
2,88,5
2,90,4
2,91,3
2,93,2
2,97,1
2,98,11
2,99,22
2,101,1
2,102,12
2,103,12
2,104,5
2,107,11
2,108,1
2,109,1
2,110,1
2,111,1
2,113,5
2,114,2
2,115,4
2,116,2
2,117,12
2,118,2
2,120,8
2,121,1
2,122,1
2,125,4
2,126,1
2,127,3
2,128,5
2,129,16
2,130,3
2,131,1
2,132,12
2,133,3
2,135,2
2,137,1
2,138,1
2,139,3
3,1,54
3,2,17
3,4,5
3,5,4
3,6,2
3,7,2
3,10,4
3,12,1
3,17,1
3,20,1
3,23,1
3,27,1
3,28,2
3,29,2
3,30,3
3,33,6
3,34,3
3,36,1
3,37,10
3,38,3
3,39,2
3,40,1
3,41,11
3,42,2
3,43,11
3,44,1
3,46,10
3,47,2
3,48,2
3,49,4
3,50,98
3,51,54
3,52,12
3,53,14
3,54,11
3,55,16
3,56,4
3,57,4
3,58,4
3,59,2
3,60,6
3,61,11
3,63,38
3,64,5
3,65,1
3,66,3
3,67,1
3,68,2
3,69,21
3,70,3
3,71,3
3,73,21
3,74,5
3,75,7
3,77,8
3,78,8
3,79,72
3,80,12
3,81,11
3,82,15
3,84,2
3,85,4
3,86,6
3,87,1
3,88,23
3,89,4
3,90,1
3,91,20
3,93,2
3,94,3
3,95,10
3,96,3
3,97,1
3,98,27
3,99,41
3,101,4
3,102,12
3,103,14
3,104,32
3,105,3
3,107,9
3,108,5
3,109,3
3,110,15
3,111,10
3,112,1
3,113,7
3,114,5
3,115,14
3,116,4
3,117,80
3,118,2
3,119,6
3,120,3
3,122,7
3,123,2
3,124,5
3,125,2
3,126,1
3,128,20
3,129,45
3,130,1
3,131,3
3,132,5
3,133,1
3,134,4
3,135,2
3,137,3
3,138,1
3,139,4
4,1,136
4,2,61
4,3,1
4,5,15
4,6,2
4,7,2
4,9,1
4,10,8
4,11,9
4,12,6
4,13,2
4,14,1
4,17,3
4,21,2
4,23,2
4,24,1
4,25,6
4,28,1
4,29,11
4,30,5
4,31,2
4,32,1
4,33,6
4,34,6
4,35,1
4,37,8
4,38,21
4,39,4
4,40,2
4,41,15
4,42,6
4,43,6
4,44,1
4,45,1
4,46,3
4,47,6
4,48,3
4,49,10
4,50,108
4,51,57
4,52,12
4,53,14
4,54,5
4,55,11
4,56,3
4,57,15
4,58,2
4,62,3
4,63,7
4,69,3
4,72,2
4,73,4
4,77,3
4,79,60
4,81,3
4,82,2
4,85,3
4,87,3
4,88,19
4,89,4
4,90,2
4,91,5
4,94,4
4,95,1
4,98,27
4,99,20
4,100,2
4,101,2
4,102,15
4,103,19
4,104,1
4,106,1
4,107,4
4,109,1
4,110,5
4,111,5
4,112,2
4,113,11
4,114,4
4,115,4
4,116,1
4,117,26
4,118,5
4,119,1
4,121,1
4,122,1
4,124,2
4,126,4
4,127,2
4,128,6
4,129,47
4,130,2
4,131,3
4,132,17
4,134,2
4,135,1
4,136,1
4,139,1
5,1,183
5,2,54
5,4,40
5,6,1
5,7,5
5,8,1
5,10,7
5,11,13
5,12,9
5,13,1
5,14,2
5,15,3
5,17,13
5,18,1
5,19,6
5,20,2
5,21,1
5,23,3
5,24,5
5,25,12
5,27,3
5,28,10
5,29,6
5,30,7
5,31,18
5,32,2
5,33,8
5,34,12
5,35,10
5,36,1
5,37,10
5,38,36
5,40,12
5,41,12
5,42,11
5,43,37
5,44,2
5,46,10
5,47,21
5,48,4
5,49,4
5,50,206
5,51,108
5,52,31
5,53,34
5,54,17
5,55,25
5,56,1
5,57,29
5,61,4
5,62,1
5,63,12
5,64,1
5,68,2
5,69,7
5,70,1
5,73,2
5,75,2
5,76,5
5,77,4
5,79,153
5,80,2
5,81,3
5,82,12
5,83,1
5,85,1
5,86,3
5,88,18
5,89,10
5,90,2
5,91,21
5,94,1
5,95,3
5,96,3
5,97,4
5,98,71
5,99,78
5,100,3
5,101,11
5,102,35
5,103,20
5,104,9
5,105,1
5,107,7
5,108,1
5,109,13
5,110,14
5,111,20
5,112,6
5,113,11
5,114,2
5,115,20
5,116,3
5,117,49
5,118,4
5,119,12
5,120,1
5,121,1
5,122,2
5,124,1
5,125,1
5,126,2
5,127,1
5,128,22
5,129,144
5,130,3
5,131,9
5,132,36
5,133,4
5,134,3
5,135,7
5,138,2
5,139,1
6,1,172
6,2,57
6,4,15
6,5,4
6,7,7
6,8,1
6,10,17
6,11,3
6,12,13
6,13,14
6,15,8
6,16,11
6,17,1
6,18,1
6,19,11
6,20,1
6,21,7
6,23,2
6,25,41
6,26,1
6,27,13
6,29,4
6,30,12
6,31,2
6,33,17
6,34,11
6,37,7
6,38,8
6,39,7
6,40,15
6,41,36
6,42,27
6,43,12
6,44,7
6,46,55
6,47,5
6,48,9
6,49,4
6,50,163
6,51,67
6,52,26
6,53,42
6,54,15
6,55,10
6,56,3
6,57,30
6,58,2
6,59,1
6,60,3
6,61,5
6,63,7
6,64,2
6,69,8
6,70,3
6,72,3
6,73,2
6,75,2
6,77,4
6,78,3
6,79,121
6,80,1
6,82,3
6,83,1
6,85,2
6,86,5
6,88,16
6,90,4
6,91,11
6,92,1
6,94,1
6,98,40
6,99,49
6,101,3
6,102,20
6,103,24
6,104,9
6,105,1
6,106,2
6,107,10
6,108,1
6,109,1
6,110,13
6,111,10
6,112,4
6,113,18
6,114,4
6,115,11
6,116,7
6,117,48
6,118,4
6,119,3
6,121,1
6,124,1
6,126,2
6,127,3
6,128,16
6,129,62
6,130,3
6,131,8
6,132,26
6,134,5
6,135,4
6,138,2
6,139,1
7,1,199
7,2,88
7,3,2
7,4,24
7,5,4
7,6,2
7,8,1
7,10,8
7,11,2
7,12,5
7,13,11
7,14,1
7,15,8
7,16,36
7,17,1
7,18,2
7,19,2
7,21,4
7,25,36
7,26,1
7,27,3
7,28,1
7,29,7
7,30,20
7,33,30
7,34,20
7,36,1
7,37,10
7,38,11
7,39,1
7,40,7
7,41,50
7,42,28
7,43,14
7,44,17
7,45,5
7,46,23
7,47,3
7,48,3
7,49,11
7,50,196
7,51,149
7,52,35
7,53,35
7,54,22
7,55,9
7,56,9
7,57,25
7,58,1
7,63,11
7,64,1
7,68,4
7,69,16
7,70,4
7,71,1
7,72,2
7,73,3
7,74,4
7,75,1
7,76,2
7,77,3
7,79,204
7,81,1
7,82,8
7,85,2
7,86,4
7,88,27
7,89,5
7,90,5
7,91,11
7,94,1
7,95,6
7,96,3
7,97,4
7,98,52
7,99,69
7,100,2
7,101,14
7,102,29
7,103,18
7,104,29
7,105,2
7,106,1
7,107,11
7,108,8
7,109,6
7,110,10
7,111,7
7,112,2
7,113,4
7,114,5
7,115,3
7,116,2
7,117,66
7,118,6
7,119,12
7,121,3
7,122,3
7,124,2
7,125,3
7,126,3
7,127,5
7,128,14
7,129,88
7,130,2
7,131,6
7,132,22
7,133,1
7,134,2
7,135,7
7,137,2
7,138,1
7,139,1
8,1,118
8,2,41
8,4,15
8,5,13
8,7,1
8,10,9
8,11,2
8,12,4
8,14,1
8,17,3
8,19,3
8,23,5
8,24,5
8,25,4
8,27,3
8,28,1
8,29,1
8,30,4
8,31,11
8,32,1
8,33,4
8,34,6
8,35,9
8,36,1
8,37,24
8,38,11
8,41,10
8,42,12
8,43,28
8,44,3
8,45,1
8,46,2
8,47,15
8,49,5
8,50,128
8,51,62
8,52,8
8,53,23
8,54,4
8,55,6
8,56,5
8,57,14
8,58,3
8,63,5
8,69,1
8,72,1
8,73,2
8,76,1
8,77,2
8,79,69
8,81,5
8,82,3
8,84,1
8,85,2
8,86,4
8,87,1
8,88,8
8,90,2
8,91,6
8,95,1
8,97,1
8,98,45
8,99,44
8,102,18
8,103,17
8,104,3
8,105,2
8,107,3
8,108,6
8,109,6
8,110,1
8,111,6
8,112,6
8,113,9
8,114,4
8,115,2
8,116,5
8,117,20
8,118,6
8,119,4
8,120,1
8,121,2
8,122,3
8,125,1
8,127,2
8,128,7
8,129,63
8,131,2
8,132,16
8,133,2
8,135,1
8,139,1
9,1,63
9,2,26
9,3,1
9,4,9
9,5,1
9,6,3
9,10,8
9,11,2
9,12,3
9,17,10
9,18,1
9,24,10
9,25,6
9,29,7
9,30,2
9,31,5
9,32,1
9,33,5
9,34,1
9,35,3
9,37,8
9,38,16
9,39,1
9,40,1
9,41,5
9,42,6
9,43,22
9,44,4
9,45,1
9,46,1
9,47,13
9,48,4
9,49,4
9,50,117
9,51,29
9,52,5
9,53,5
9,54,8
9,55,14
9,57,13
9,59,2
9,60,2
9,63,1
9,64,1
9,69,5
9,71,1
9,72,1
9,73,2
9,75,1
9,77,4
9,79,53
9,81,1
9,82,3
9,85,1
9,86,2
9,88,6
9,89,1
9,90,1
9,91,3
9,95,1
9,98,26
9,99,25
9,101,2
9,102,10
9,103,8
9,104,13
9,107,5
9,109,1
9,110,2
9,111,2
9,114,6
9,115,1
9,116,1
9,117,21
9,118,1
9,119,5
9,121,2
9,124,1
9,126,4
9,128,16
9,129,53
9,130,2
9,131,3
9,132,14
9,133,1
9,135,4
9,137,1
9,139,3
10,1,59
10,2,23
10,4,11
10,5,4
10,6,3
10,7,2
10,9,1
10,12,2
10,13,1
10,14,2
10,17,5
10,24,1
10,25,11
10,27,1
10,28,1
10,30,2
10,33,5
10,34,2
10,36,1
10,38,5
10,39,1
10,40,2
10,41,6
10,42,8
10,44,3
10,46,2
10,47,3
10,49,1
10,50,50
10,51,22
10,52,7
10,53,4
10,54,4
10,55,3
10,56,1
10,57,8
10,59,1
10,61,1
10,63,2
10,77,2
10,79,36
10,80,1
10,81,1
10,85,1
10,88,6
10,90,1
10,91,7
10,98,10
10,99,11
10,100,1
10,102,2
10,103,12
10,104,4
10,106,1
10,108,1
10,110,3
10,111,1
10,112,1
10,113,6
10,114,2
10,117,6
10,118,4
10,120,1
10,124,2
10,125,1
10,127,1
10,128,4
10,129,21
10,131,1
10,132,4
10,135,5
10,138,1
11,1,111
11,2,56
11,3,1
11,4,18
11,5,17
11,6,4
11,7,1
11,8,1
11,10,11
11,12,3
11,13,6
11,14,3
11,15,2
11,16,7
11,17,16
11,18,3
11,19,2
11,21,1
11,22,1
11,24,1
11,25,5
11,26,1
11,27,1
11,28,2
11,29,2
11,30,7
11,31,5
11,33,2
11,34,4
11,35,2
11,36,1
11,37,3
11,38,18
11,39,3
11,40,3
11,41,4
11,42,4
11,43,13
11,44,2
11,46,15
11,47,11
11,48,2
11,49,4
11,50,96
11,51,49
11,52,6
11,53,29
11,54,3
11,55,7
11,56,8
11,57,11
11,61,1
11,63,1
11,64,1
11,68,1
11,69,4
11,70,2
11,72,1
11,75,1
11,77,1
11,79,69
11,81,1
11,85,2
11,86,1
11,88,8
11,89,1
11,91,8
11,95,2
11,98,22
11,99,33
11,100,3
11,101,4
11,102,13
11,103,14
11,104,8
11,107,6
11,110,1
11,111,3
11,113,9
11,114,2
11,115,2
11,116,4
11,117,16
11,118,3
11,119,3
11,120,1
11,121,2
11,126,3
11,127,3
11,128,20
11,129,28
11,130,5
11,131,2
11,132,13
11,133,5
11,134,2
11,137,2
11,139,1
12,1,93
12,2,17
12,4,12
12,5,1
12,6,3
12,8,2
12,10,9
12,11,9
12,14,2
12,15,1
12,17,7
12,19,2
12,23,3
12,24,4
12,25,1
12,26,1
12,27,2
12,28,4
12,29,10
12,30,1
12,31,13
12,33,5
12,34,1
12,37,4
12,38,9
12,41,6
12,42,8
12,43,14
12,44,4
12,47,13
12,48,1
12,49,2
12,50,90
12,51,30
12,52,16
12,53,15
12,54,6
12,55,11
12,56,1
12,57,10
12,59,1
12,63,3
12,69,1
12,71,1
12,72,1
12,73,1
12,74,2
12,77,1
12,78,2
12,79,59
12,80,1
12,85,1
12,86,1
12,87,1
12,88,10
12,89,2
12,91,3
12,94,1
12,95,2
12,98,27
12,99,32
12,101,2
12,102,10
12,103,8
12,104,4
12,108,1
12,110,1
12,111,4
12,112,1
12,113,8
12,114,1
12,115,1
12,116,1
12,117,8
12,118,4
12,121,1
12,126,1
12,128,4
12,129,27
12,130,1
12,131,3
12,132,10
12,138,1
12,139,1
13,1,85
13,2,21
13,3,1
13,4,10
13,5,5
13,6,3
13,7,4
13,10,2
13,11,3
13,12,4
13,14,1
13,15,5
13,16,6
13,17,2
13,18,2
13,19,1
13,21,1
13,24,2
13,25,28
13,26,6
13,27,7
13,28,2
13,29,4
13,30,8
13,31,3
13,32,1
13,33,12
13,34,12
13,37,3
13,38,6
13,39,5
13,40,7
13,41,28
13,42,12
13,43,4
13,44,2
13,46,45
13,47,5
13,48,5
13,49,8
13,50,145
13,51,74
13,52,13
13,53,22
13,54,19
13,55,15
13,57,12
13,58,1
13,60,1
13,61,1
13,63,10
13,64,1
13,65,1
13,67,1
13,69,3
13,70,1
13,71,2
13,73,8
13,75,1
13,76,6
13,78,2
13,79,95
13,80,1
13,82,2
13,85,1
13,88,30
13,89,5
13,90,5
13,91,4
13,92,1
13,94,1
13,95,1
13,97,1
13,98,27
13,99,50
13,100,2
13,101,5
13,102,14
13,103,12
13,104,19
13,105,2
13,107,2
13,108,2
13,109,1
13,110,11
13,111,3
13,112,4
13,113,4
13,114,3
13,115,4
13,116,4
13,117,30
13,119,1
13,121,1
13,122,2
13,124,1
13,125,1
13,127,2
13,128,5
13,129,42
13,130,1
13,131,3
13,132,10
13,133,1
13,135,3
13,136,1
13,137,3
13,139,4
14,1,159
14,2,41
14,4,3
14,5,4
14,6,2
14,7,5
14,10,2
14,11,1
14,12,5
14,13,10
14,15,6
14,16,11
14,17,2
14,19,4
14,20,2
14,24,1
14,25,36
14,26,6
14,27,2
14,28,3
14,29,1
14,30,14
14,31,3
14,32,1
14,33,10
14,34,3
14,37,5
14,38,7
14,39,7
14,40,7
14,41,43
14,42,27
14,43,13
14,44,3
14,46,92
14,47,4
14,48,2
14,49,6
14,50,120
14,51,84
14,52,20
14,53,28
14,54,7
14,55,7
14,56,3
14,57,16
14,59,1
14,60,1
14,61,2
14,63,12
14,67,1
14,69,4
14,70,1
14,71,2
14,72,2
14,73,1
14,74,2
14,75,2
14,77,3
14,78,1
14,79,83
14,81,2
14,82,1
14,84,1
14,85,2
14,86,2
14,88,15
14,90,1
14,91,9
14,95,1
14,98,67
14,99,31
14,101,3
14,102,6
14,103,17
14,104,8
14,106,2
14,107,7
14,109,1
14,110,9
14,111,4
14,112,2
14,113,9
14,114,4
14,115,5
14,116,7
14,117,35
14,118,6
14,119,2
14,121,3
14,123,1
14,124,1
14,125,3
14,126,2
14,127,2
14,128,18
14,129,45
14,130,4
14,131,6
14,132,19
14,134,1
14,135,1
14,138,3
14,139,2
15,1,172
15,2,50
15,3,3
15,4,12
15,5,2
15,6,3
15,7,18
15,10,11
15,11,1
15,12,3
15,13,10
15,16,21
