o_zone_id,d_zone_id,volume
1,2,85
1,3,3
1,4,5
1,7,14
1,8,3
1,9,1
1,11,9
1,12,9
1,13,12
1,14,3
1,15,7
1,16,1
1,17,31
1,19,33
1,20,38
1,21,1
1,22,11
1,24,6
1,25,9
1,26,16
1,27,3
1,28,4
1,29,4
1,30,7
1,31,4
1,33,1
1,34,11
1,35,2
1,36,72
1,37,3
1,38,1
1,39,1
1,42,1
1,45,4
1,46,1
1,47,4
1,49,2
1,51,17
1,53,1
1,54,7
1,55,9
1,56,16
1,58,3
1,59,13
1,60,13
1,61,22
1,62,7
1,63,6
1,64,19
1,65,22
1,66,56
1,67,8
1,68,19
1,69,4
1,70,1
1,71,2
1,73,5
1,74,1
1,75,7
1,77,1
1,78,15
1,79,2
1,80,17
1,81,1
1,85,5
1,86,4
1,87,1
1,88,1
1,89,1
1,90,1
1,91,2
1,94,1
1,98,2
1,99,1
1,100,4
1,101,2
1,103,5
1,105,7
1,106,1
1,107,1
1,108,11
1,109,1
1,110,4
1,111,4
1,112,1
1,113,1
1,118,3
1,119,3
1,120,4
1,122,2
1,123,2
1,125,8
1,126,1
1,128,1
1,130,1
1,131,4
1,132,1
1,134,5
1,136,1
1,138,8
1,139,4
1,140,7
1,141,3
1,142,1
1,143,2
1,144,27
1,146,6
1,147,1
1,148,30
1,149,5
1,150,16
1,152,3
1,153,3
1,154,13
1,157,7
2,1,19
2,8,1
2,11,1
2,12,2
2,17,7
2,18,1
2,19,15
2,20,7
2,25,1
2,27,1
2,32,1
2,34,4
2,36,13
2,45,5
2,46,1
2,50,4
2,51,5
2,54,3
2,56,2
2,57,2
2,60,3
2,61,1
2,65,3
2,66,2
2,67,3
2,68,4
2,70,1
2,78,4
2,80,2
2,82,1
2,87,1
2,88,1
2,93,1
2,96,1
2,100,2
2,105,1
2,108,1
2,111,1
2,115,1
2,118,1
2,122,1
2,125,2
2,128,1
2,131,1
2,134,3
2,137,1
2,144,5
2,146,1
2,148,5
2,149,1
2,150,6
2,154,2
2,157,3
3,1,32
3,2,73
3,4,18
3,5,9
3,6,4
3,7,21
3,8,2
3,9,1
3,10,1
3,11,5
3,12,1
3,14,5
3,15,4
3,16,6
3,17,33
3,19,31
3,20,32
3,21,3
3,22,3
3,25,5
3,26,6
3,27,1
3,29,3
3,30,6
3,32,1
3,33,1
3,34,19
3,35,2
3,36,100
3,38,1
3,39,4
3,42,1
3,44,3
3,45,4
3,46,8
3,47,1
3,48,1
3,49,3
3,50,1
3,51,29
3,52,3
3,54,1
3,55,1
3,56,6
3,57,6
3,58,3
3,59,6
3,60,27
3,61,39
3,62,16
3,63,2
3,64,4
3,65,21
3,66,52
3,68,20
3,69,5
3,70,5
3,71,4
3,73,14
3,74,1
3,75,4
3,76,1
3,77,5
3,78,33
3,79,5
3,80,13
3,81,5
3,83,1
3,84,2
3,85,20
3,86,17
3,87,1
3,88,7
3,89,6
3,91,2
3,92,4
3,93,2
3,94,3
3,95,9
3,96,3
3,97,1
3,98,5
3,100,18
3,101,5
3,102,5
3,104,3
3,105,49
3,106,2
3,108,7
3,109,5
3,110,1
3,111,2
3,114,1
3,115,1
3,116,4
3,118,2
3,119,5
3,120,5
3,122,8
3,123,3
3,124,12
3,125,27
3,126,18
3,127,2
3,128,4
3,129,1
3,132,1
3,133,1
3,134,10
3,135,5
3,136,2
3,138,15
3,139,6
3,140,4
3,141,3
3,142,3
3,144,40
3,145,1
3,146,10
3,147,2
3,148,41
3,149,2
3,150,71
3,151,1
3,152,4
3,154,26
3,157,19
4,1,42
4,2,120
4,3,54
4,5,15
4,6,8
4,7,41
4,8,1
4,9,3
4,10,1
4,11,2
4,13,4
4,14,9
4,15,1
4,17,62
4,19,44
4,20,24
4,21,2
4,22,4
4,24,1
4,25,8
4,26,10
4,27,5
4,28,1
4,29,2
4,30,4
4,31,1
4,33,1
4,34,28
4,35,2
4,36,88
4,38,1
4,39,6
4,40,1
4,42,3
4,43,1
4,44,1
4,45,5
4,46,3
4,47,4
4,48,1
4,49,4
4,50,3
4,51,25
4,52,7
4,53,2
4,54,2
4,55,3
4,56,6
4,57,2
4,59,3
4,60,14
4,61,17
4,62,8
4,63,1
4,64,6
4,65,11
4,66,38
4,67,2
4,68,14
4,69,8
4,70,3
4,73,16
4,74,1
4,75,2
4,77,3
4,78,36
4,80,17
4,81,5
4,82,1
4,83,3
4,84,8
4,85,22
4,86,10
4,88,10
4,89,4
4,91,6
4,92,1
4,93,1
4,94,4
4,95,2
4,96,7
4,97,3
4,98,8
4,99,2
4,100,27
4,101,6
4,102,5
4,103,3
4,104,10
4,105,19
4,106,1
4,107,1
4,108,15
4,109,2
4,111,6
4,114,2
4,115,2
4,116,14
4,118,4
4,119,10
4,120,3
4,121,2
4,122,14
4,123,5
4,124,4
4,125,28
4,126,1
4,128,7
4,129,4
4,131,1
4,132,6
4,133,2
4,134,21
4,136,7
4,138,21
4,139,2
4,140,6
4,141,3
4,142,3
4,143,12
4,144,21
4,145,2
4,146,10
4,147,4
4,148,28
4,149,5
4,150,47
4,151,1
4,152,5
4,153,6
4,154,23
4,155,1
4,156,1
4,157,14
5,1,23
5,2,84
5,3,17
5,4,14
5,6,2
5,7,28
5,11,6
5,12,5
5,14,5
5,17,22
5,19,47
5,20,32
5,21,4
5,24,5
5,25,5
5,26,11
5,27,1
5,28,2
5,29,5
5,30,3
5,31,4
5,32,4
5,33,2
5,34,21
5,35,1
5,36,150
5,38,3
5,39,5
5,40,5
5,42,2
5,44,1
5,45,1
5,46,12
5,47,4
5,49,4
5,50,2
5,51,45
5,52,1
5,54,2
5,55,2
5,56,2
5,58,8
5,59,10
5,60,29
5,61,33
5,62,13
5,63,4
5,64,14
5,65,14
5,66,82
5,67,6
5,68,19
5,69,4
5,71,4
5,73,15
5,75,3
5,76,2
5,77,3
5,78,27
5,79,3
5,80,20
5,81,1
5,83,3
5,84,9
5,85,9
5,86,5
5,87,1
5,88,17
5,89,5
5,91,10
5,92,7
5,93,3
5,95,9
5,96,8
5,98,13
5,100,10
5,101,2
5,102,4
5,103,4
5,104,3
5,105,23
5,106,1
5,108,20
5,109,19
5,111,9
5,112,4
5,113,6
5,114,1
5,115,8
5,116,12
5,117,1
5,119,2
5,120,6
5,122,23
5,123,2
5,124,4
5,125,15
5,126,5
5,127,6
5,128,10
5,129,12
5,131,2
5,132,1
5,133,4
5,134,44
5,135,1
5,136,3
5,137,1
5,138,8
5,140,7
5,141,15
5,142,5
5,143,4
5,144,81
5,145,2
5,146,16
5,147,6
5,148,35
5,149,4
5,150,70
5,151,11
5,152,5
5,153,3
5,154,29
5,155,3
5,156,4
5,157,12
6,1,19
6,2,63
6,3,9
6,4,11
6,5,2
6,7,22
6,8,1
6,9,1
6,10,1
6,11,1
6,12,3
6,13,2
6,14,2
6,15,4
6,16,6
6,17,26
6,19,21
6,20,26
6,21,2
6,22,3
6,23,1
6,24,3
6,25,1
6,26,3
6,27,5
6,28,2
6,30,2
6,31,2
6,33,1
6,34,21
6,35,4
6,36,107
6,38,1
6,39,3
6,40,5
6,44,2
6,45,2
6,46,2
