o_zone_id,d_zone_id,volume
1,14,1
1,15,8
1,17,2
1,18,1
1,19,2
1,22,3
1,23,17
1,24,9
1,25,2
1,27,4
1,32,7
1,33,5
1,34,15
1,35,6
1,36,3
1,38,1
1,41,2
1,42,51
1,43,2
1,44,8
1,45,1
1,46,1
1,48,1
1,50,132
1,51,1
1,53,12
1,54,2
1,56,1
1,57,303
1,58,5
1,61,1
1,62,31
1,66,2
1,67,20
1,69,1
1,70,2
1,71,1
1,72,1
1,73,3
1,74,2
1,75,35
1,76,9
1,77,3
1,81,5
1,82,4
1,83,22
1,84,5
1,86,2
1,89,120
1,90,1
1,92,1
1,93,6
1,94,4
1,95,7
1,96,2
1,98,8
1,99,15
1,100,2
1,102,3
1,103,3
1,104,20
1,106,3
1,116,22
1,118,2
1,119,2
1,121,1
1,122,2
1,124,1
1,128,1
2,1,9
2,3,3
2,6,3
2,8,3
2,9,3
2,12,5
2,13,8
2,14,9
2,15,2
2,17,7
2,22,1
2,25,5
2,26,1
2,27,7
2,28,1
2,30,2
2,31,1
2,32,7
2,33,1
2,35,3
2,36,2
2,37,4
2,39,9
2,41,5
2,42,17
2,43,4
2,44,5
2,45,3
2,46,4
2,48,3
2,49,1
2,50,76
2,51,4
2,53,6
2,54,10
2,55,10
2,56,5
2,57,141
2,58,4
2,59,1
2,62,22
2,66,2
2,67,23
2,70,2
2,71,2
2,72,3
2,73,3
2,75,21
2,76,1
2,80,2
2,81,4
2,82,14
2,83,8
2,84,1
2,85,4
2,86,7
2,87,1
2,89,43
2,90,2
2,91,1
2,92,5
2,93,8
2,94,1
2,96,5
2,97,9
2,98,6
2,99,3
2,100,1
2,103,5
2,104,15
2,105,1
2,106,7
2,107,4
2,109,4
2,114,1
2,116,1
2,117,5
2,118,4
2,119,1
2,120,6
2,122,6
2,123,15
2,124,11
3,1,6
3,2,2
3,4,6
3,5,15
3,7,2
3,8,1
3,10,3
3,11,1
3,12,4
3,14,4
3,15,2
3,17,6
3,18,2
3,20,1
3,21,4
3,22,2
3,23,2
3,24,5
3,25,1
3,26,1
3,28,7
3,29,6
3,30,3
3,31,16
3,32,12
3,34,5
3,35,4
3,36,5
3,37,4
3,38,4
3,39,1
3,42,35
3,43,2
3,44,9
3,45,2
3,46,4
3,47,7
3,48,16
3,49,12
3,50,64
3,51,1
3,54,6
3,57,140
3,58,13
3,59,1
3,61,1
3,62,19
3,65,1
3,67,23
3,68,7
3,69,2
3,70,8
3,71,7
3,72,4
3,75,14
3,76,3
3,77,8
3,80,2
3,81,1
3,82,8
3,83,9
3,84,10
3,86,1
3,87,2
3,89,58
3,90,4
3,91,1
3,92,12
3,93,7
3,95,1
3,97,1
3,98,15
3,99,1
3,101,1
3,103,4
3,104,30
3,105,1
3,106,3
3,108,1
3,109,1
3,112,1
3,115,1
3,116,2
3,117,1
3,119,5
3,120,1
3,122,8
3,123,1
3,124,1
3,125,2
3,126,1
3,127,2
3,129,1
3,130,1
4,2,2
4,3,1
4,5,14
4,7,1
4,8,1
4,10,1
4,12,2
4,14,3
4,15,2
4,16,1
4,17,6
4,20,5
4,21,10
4,23,4
4,26,1
4,27,3
4,28,5
4,29,2
4,30,1
4,31,9
4,32,14
4,33,2
4,34,6
4,36,4
4,37,2
4,38,7
4,39,2
4,42,21
4,43,4
4,44,1
4,45,5
4,46,1
4,48,2
4,49,6
4,50,19
4,51,1
4,53,9
4,54,1
4,55,2
4,56,1
4,57,78
4,58,7
4,59,1
4,60,1
4,62,19
4,67,15
4,68,1
4,70,4
4,71,4
4,72,6
4,75,14
