o_zone_id,d_zone_id,volume
1,3,7
1,4,125
1,5,185
1,6,3
1,7,4
1,8,30
1,10,1
1,11,1
1,12,8
1,13,11
1,16,52
1,18,1
1,20,5
1,21,6
1,22,231
1,23,172
1,24,121
1,25,340
1,26,27
1,27,23
1,28,11
1,29,7
1,30,2
1,31,15
1,32,72
1,33,2
1,35,4
1,36,70
1,38,109
1,39,8
1,42,6
1,43,61
1,45,35
1,46,20
1,49,19
1,50,4
1,51,43
1,52,4
1,53,13
1,54,5
1,56,13
1,57,9
1,59,3
1,60,20
1,61,1
1,62,12
1,63,3
1,64,31
1,65,9
1,68,4
1,69,8
1,70,1
1,71,1
1,72,2
1,74,10
1,75,57
1,76,213
1,77,25
1,79,5
1,80,9
1,81,69
1,82,1
1,83,9
1,85,21
1,86,41
1,87,13
1,88,15
1,89,58
1,90,1
1,91,29
1,92,28
1,93,3
1,94,10
1,96,9
1,97,25
1,98,18
1,99,15
1,100,6
1,101,15
1,105,13
1,106,6
1,107,7
1,109,6
1,110,1
1,111,8
1,112,3
1,113,2
1,114,3
1,115,3
1,116,4
1,117,4
3,1,1
3,4,13
3,5,20
3,8,12
3,13,1
3,16,12
3,20,8
3,21,1
3,22,30
3,23,8
3,24,12
3,25,88
3,26,5
3,27,3
3,32,5
3,36,5
3,38,20
3,39,2
3,43,17
3,45,8
3,50,1
3,51,11
3,53,1
3,60,9
3,61,4
3,62,2
3,64,15
3,65,1
3,66,2
3,69,4
3,72,1
3,75,29
3,76,31
3,77,3
3,79,1
3,80,1
3,81,4
3,82,2
3,85,2
3,86,12
3,88,6
3,89,4
3,91,5
3,92,2
3,93,1
3,94,1
3,95,7
3,97,6
3,98,5
3,99,1
3,101,8
3,102,2
3,105,2
3,107,1
3,108,1
3,111,6
3,112,1
3,114,2
4,5,14
4,11,2
4,13,1
4,18,1
4,21,1
4,22,17
4,23,9
4,24,9
4,25,37
4,28,1
4,32,9
4,36,11
4,38,17
4,39,1
4,40,1
4,43,1
4,45,1
4,46,1
4,49,2
4,53,1
4,55,1
4,60,1
4,61,1
4,64,8
4,65,1
4,67,1
4,68,1
4,69,1
4,71,1
4,74,4
4,75,1
4,76,6
4,81,6
4,85,4
4,86,13
4,87,1
4,89,11
4,91,5
4,92,8
4,93,2
4,94,2
4,95,1
4,97,6
4,99,1
4,101,1
4,112,2
5,1,2
5,4,63
5,6,5
5,7,1
5,8,6
5,10,1
5,12,10
5,13,3
5,16,57
5,20,4
5,21,5
5,22,120
5,23,60
5,24,45
5,25,127
5,26,9
5,27,18
5,28,2
5,29,5
5,30,7
5,31,2
5,32,26
5,33,3
5,36,92
5,37,1
5,38,82
5,39,2
5,40,2
5,42,2
5,43,19
5,45,16
5,46,2
5,48,2
5,49,8
5,50,3
5,51,17
5,52,1
5,53,11
5,54,2
5,55,7
5,56,1
5,57,1
5,58,1
5,59,1
5,60,7
5,61,3
5,62,3
5,64,22
5,65,2
5,66,2
5,67,1
5,68,1
5,69,4
5,72,2
5,74,17
5,75,35
5,76,68
5,77,1
5,79,4
5,80,7
5,81,34
5,83,5
5,85,7
5,86,18
5,87,7
5,88,10
5,89,24
5,90,2
5,91,24
5,92,17
5,93,7
5,94,8
5,95,1
5,96,3
5,97,10
5,98,7
5,99,1
5,100,3
5,101,3
5,103,2
5,104,1
5,105,6
5,106,6
5,112,1
5,114,1
5,115,4
5,117,2
6,3,1
6,4,1
6,5,5
6,8,5
6,17,1
6,22,3
6,23,1
6,24,1
6,25,4
6,26,1
6,32,1
6,36,1
6,38,2
6,42,1
6,50,1
6,57,2
6,61,1
6,66,1
6,77,1
6,81,1
6,85,1
6,86,4
6,89,1
6,90,1
6,91,3
6,92,1
6,99,1
6,107,1
6,112,1
6,117,1
7,1,9
7,4,128
7,5,249
7,6,1
7,8,33
7,11,2
7,12,8
7,13,5
7,16,62
7,20,13
7,21,8
7,22,147
7,23,128
7,24,71
7,25,183
7,26,12
7,27,21
7,28,17
7,29,34
7,30,1
7,31,10
7,32,66
7,33,7
7,35,3
7,36,164
7,37,1
7,38,181
7,39,6
7,42,11
7,43,32
7,45,23
7,46,27
7,47,7
7,48,2
7,49,24
7,50,13
7,51,52
7,52,6
7,53,8
7,54,4
7,55,4
7,56,9
7,57,3
7,59,1
7,60,8
7,61,5
7,62,6
7,63,1
7,64,14
7,66,8
7,68,4
7,69,6
7,70,12
7,74,12
7,75,38
7,76,119
7,77,7
7,79,7
7,80,10
7,81,39
7,83,5
7,85,5
7,86,32
7,87,4
7,88,28
7,89,28
7,91,33
7,92,38
7,93,5
7,94,3
7,95,2
