link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
23794,1,1863,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.786754 30.087514)"
23796,1,1864,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.787007 30.087236)"
23798,1,1865,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.786569 30.087717)"
23800,1,1870,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.786533 30.087756)"
23802,1,1871,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.786345 30.087962)"
23804,1,1875,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.789821 30.084217)"
23806,1,1876,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.789937 30.084089)"
23808,1,1879,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.789472 30.084582)"
23810,1,1886,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.790355 30.083622)"
23812,1,1887,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.790549 30.083392)"
23814,1,1888,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.790153 30.08385)"
24017,1,2971,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.769081 30.093266)"
23816,1,3013,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.787486 30.086713)"
23818,1,3014,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.787288 30.086928)"
23820,1,3017,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.788653 30.085439)"
23822,1,3250,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.8303 30.067174)"
23824,1,3322,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.790798 30.083027)"
23826,1,3323,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.791203 30.082315)"
23828,1,3373,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.791559 30.081113)"
23830,1,3374,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.791426 30.081717)"
23832,1,3375,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.791605 30.080828)"
23834,1,3921,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.791636 30.080623)"
23836,1,3947,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.791697 30.08032)"
23838,1,4093,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.8189708 30.0656608)"
23840,1,4742,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.788981 30.085096)"
23842,1,4746,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.788851 30.085232)"
23844,1,5076,1,0.0,0.0,20,12.42742384,0.0,0,0,0.6,1.8,1,1,99999,0.0,0,"LINESTRING (-89.77173238300655 30.108200812091507, -89.806784 30.065344)"
