link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
20360,1,6662,1,217.83976798362644,0.13535969278314494,5,3.10685596,2.614077215803517,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-74.01002047884614 40.6573345346154, -74.0103806 40.6553946)"
20362,1,8749,1,231.8819765757836,0.14408513836466105,5,3.10685596,2.782583718909403,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-74.01002047884614 40.6573345346154, -74.0104989 40.655281)"
20364,1,16101,1,387.07164569699427,0.24051576776628575,5,3.10685596,4.644859748363931,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-74.01002047884614 40.6573345346154, -74.0138978 40.655473)"
20366,1,16171,1,336.44901208607797,0.2090602433830502,5,3.10685596,4.037388145032935,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-74.01002047884614 40.6573345346154, -74.0135004 40.6558561)"
20368,1,16172,1,242.8013062811891,0.15087011214609042,5,3.10685596,2.913615675374269,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-74.01002047884614 40.6573345346154, -74.0127303 40.6565984)"
44275,2,4554,1,126.68964839297,0.07872149352714157,5,3.10685596,1.5202757807156397,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9308772 40.8464278)"
44277,2,4555,1,149.42615082447094,0.0928493362648483,5,3.10685596,1.793113809893651,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9313766 40.8463704)"
44279,2,4577,1,158.0873324748951,0.09823115840959346,5,3.10685596,1.897047989698741,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9317027 40.8461551)"
44281,2,4578,1,124.44588833370256,0.07732728219872903,5,3.10685596,1.4933506600044304,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9314952 40.8457232)"
44283,2,4579,1,224.43680666015894,0.13945891275936656,5,3.10685596,2.6932416799219068,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9294477 40.8474401)"
44246,2,4586,1,181.34363813450307,0.11268199270166844,5,3.10685596,2.1761236576140366,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9278971 40.8454545)"
44315,2,4587,1,55.49882935467422,0.03448545947697455,5,3.10685596,0.6659859522560906,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9300035 40.845972)"
42940,2,4590,1,245.1696755371094,0.15234175223203889,5,3.10685596,2.9420361064453124,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9272666 40.844827)"
42942,2,4592,1,260.8694013910086,0.16209713385052793,5,3.10685596,3.1304328166921027,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.927006 40.8450365)"
44285,2,4606,1,242.86756904590862,0.15091128602154216,5,3.10685596,2.914410828550903,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9296134 40.847633)"
42944,2,4608,1,62.68979879221774,0.038953731835546096,5,3.10685596,0.7522775855066128,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9307305 40.8452397)"
44317,2,4613,1,44.37549431601622,0.02757372234333095,5,3.10685596,0.5325059317921946,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9305606 40.8453661)"
44319,2,4618,1,35.41441581150604,0.0220055524696497,5,3.10685596,0.4249729897380724,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9298217 40.8457405)"
44287,2,6337,1,166.36036713569374,0.1033717965971726,5,3.10685596,1.9963244056283247,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9316676 40.8463381)"
42946,2,7570,1,178.0393442482781,0.11062879456688961,5,3.10685596,2.136472130979337,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9279511 40.8452848)"
44289,2,8059,1,210.42998118980256,0.13075545328507499,5,3.10685596,2.5251597742776304,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9318387 40.8467995)"
44291,2,21544,1,268.10575063684314,0.16659360398476591,5,3.10685596,3.2172690076421175,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9311538 40.847737)"
44293,2,21609,1,243.92813073393592,0.1515702901400176,5,3.10685596,2.9271375688072307,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.93005280555555 40.84547428333334, -73.9313827 40.8474237)"
22899,3,3905,1,260.9830355929982,0.16216774304559523,5,3.10685596,3.131796427115978,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.994366 40.7029106)"
22901,3,3906,1,267.25233986673436,0.166063317799057,5,3.10685596,3.207028078400812,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9947783 40.7028833)"
22944,3,5039,1,251.9723666690008,0.1565687590372456,5,3.10685596,3.023668400028009,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9908135 40.7001642)"
22946,3,5040,1,248.99832157281432,0.15472076849690827,5,3.10685596,2.9879798588737714,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9909773 40.6998267)"
22948,3,5041,1,253.04923132609852,0.15723789337622787,5,3.10685596,3.036590775913182,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9907808 40.7002464)"
22950,3,5042,1,283.30586953850616,0.17603854346409473,5,3.10685596,3.3996704344620734,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9903879 40.7007489)"
22952,3,5043,1,242.07233664219524,0.15041715028657415,5,3.10685596,2.9048680397063427,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9908805 40.7007775)"
22903,3,5045,1,282.62311164440706,0.1756142963229691,5,3.10685596,3.391477339732884,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9916109 40.7025725)"
19131,3,6001,1,307.0975361256025,0.19082203644077855,5,3.10685596,3.68517043350723,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9901171 40.7008726)"
22905,3,6682,1,119.73270360591306,0.07439863770608639,5,3.10685596,1.4367924432709565,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9951562 40.7007242)"
22954,3,6683,1,295.8029432705697,0.18380388436910144,5,3.10685596,3.549635319246836,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9905108 40.7016457)"
22907,3,6684,1,224.85541911322326,0.13971902712492282,5,3.10685596,2.6982650293586787,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9923996 40.7023581)"
22969,3,7157,1,123.98598084802612,0.07704150822574853,5,3.10685596,1.4878317701763133,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9928295 40.7014849)"
22956,3,7158,1,179.28846806312882,0.11140496605013785,5,3.10685596,2.1514616167575458,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9920171 40.7015529)"
22958,3,7159,1,209.48918703904283,0.13017086944899328,5,3.10685596,2.5138702444685137,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9913099 40.7009921)"
22960,3,7455,1,282.08223090444704,0.17527820777737899,5,3.10685596,3.3849867708533643,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9904115 40.7008431)"
22909,3,7795,1,198.226720407429,0.12317267973668028,5,3.10685596,2.378720644889148,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9928004 40.7022444)"
22911,3,7796,1,195.3419670973253,0.12138017267782154,5,3.10685596,2.3441036051679034,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9925816 40.7021313)"
22913,3,8689,1,76.84150036411076,0.04774721336952463,5,3.10685596,0.922098004369329,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9944981 40.7009993)"
22915,3,8694,1,199.41790941189802,0.12391285210825434,5,3.10685596,2.393014912942776,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.992859 40.7022747)"
22917,3,8695,1,241.45509996503685,0.15003361624332762,5,3.10685596,2.897461199580442,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9925809 40.7025959)"
22919,3,8696,1,207.95095428076024,0.12921505355037485,5,3.10685596,2.495411451369123,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9932446 40.7024429)"
22921,3,8697,1,182.77829387003362,0.11357344866220541,5,3.10685596,2.193339526440403,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9926204 40.7020174)"
22971,3,8698,1,178.05457499245188,0.11063825853607807,5,3.10685596,2.136654899909422,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9923976 40.7018454)"
22973,3,8699,1,151.23559605540225,0.09397367619981004,5,3.10685596,1.8148271526648267,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.992776 40.7017567)"
22923,3,8705,1,234.82617063031685,0.14591458028155446,5,3.10685596,2.817914047563802,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.995024 40.702487)"
22925,3,11770,1,253.22779922836048,0.1573488506023342,5,3.10685596,3.0387335907403252,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9944211 40.7028301)"
22962,3,12810,1,238.52112380946252,0.14821052345027314,5,3.10685596,2.8622534857135498,0,0,0.25,1.5,1,1,99999,0.0,0,"LINESTRING (-73.99374369310345 40.70061143103448, -73.9910914 40.6998644)"
