o_zone_id,d_zone_id,volume
1,5,4
1,6,9
1,11,2
1,14,2
1,18,1
1,19,1
1,21,1
1,23,2
1,27,1
1,29,8
1,30,15
1,31,1
1,33,1
1,41,2
1,42,2
1,43,1
1,45,4
1,48,3
1,49,3
1,51,7
1,52,1
1,54,1
1,55,5
1,56,7
1,57,2
1,58,3
1,59,1
1,60,1
1,61,1
1,66,29
1,67,14
1,69,7
1,71,2
1,72,2
1,73,1
1,74,1
1,76,6
1,77,1
1,80,1
1,81,4
1,85,2
1,88,3
1,89,3
1,93,1
1,94,11
1,95,4
1,96,6
1,99,6
1,101,2
1,102,4
1,103,1
1,104,2
1,109,2
1,115,1
1,119,1
1,120,1
1,130,2
1,131,1
1,132,1
1,133,4
1,135,2
1,137,1
1,141,2
1,144,1
1,150,1
1,151,2
1,154,1
1,157,1
1,161,1
1,167,1
1,168,1
1,169,1
1,170,1
1,175,1
2,1,12
2,3,6
2,4,8
2,5,10
2,6,81
2,7,5
2,8,2
2,10,2
2,11,1
2,13,1
2,14,18
2,15,2
2,18,1
2,19,5
2,21,4
2,23,1
2,26,1
2,27,2
2,28,5
2,29,9
2,30,10
2,31,8
2,32,8
2,33,6
2,34,4
2,36,4
2,39,1
2,41,17
2,42,16
2,43,6
2,45,9
2,46,2
2,47,2
2,48,2
2,49,4
2,51,13
2,52,11
2,54,2
2,55,6
2,56,6
2,57,22
2,58,3
2,59,1
2,66,50
2,67,115
2,68,4
2,69,13
2,70,10
2,71,11
2,72,4
2,73,3
2,74,5
2,76,27
2,77,1
2,79,3
2,80,2
2,81,3
2,82,8
2,83,1
2,85,4
2,86,6
2,89,3
2,92,6
2,93,3
2,94,9
2,95,8
2,96,12
2,97,7
2,99,2
2,101,4
2,103,1
2,106,1
2,107,4
2,108,2
2,109,3
2,110,6
2,113,4
2,114,2
2,115,1
2,116,1
2,118,1
2,119,14
2,120,2
2,121,1
2,123,1
2,124,3
2,126,2
2,127,10
2,128,5
2,129,2
2,130,4
2,132,6
2,133,3
2,136,6
2,137,5
2,138,1
2,139,7
2,140,9
2,141,12
2,142,1
2,144,2
2,151,2
2,154,4
2,157,18
2,159,2
2,160,2
2,164,1
2,166,1
2,167,3
2,168,4
2,170,1
2,171,1
2,172,3
2,173,1
2,174,2
2,175,4
3,1,9
3,2,2
3,4,3
3,5,19
3,6,47
3,7,2
3,9,2
3,13,1
3,14,13
3,15,1
3,18,2
3,19,9
3,20,1
3,21,7
3,24,5
3,27,5
3,28,3
3,29,9
3,30,30
3,31,5
3,32,1
3,33,7
3,34,3
3,36,5
3,38,1
3,39,3
3,41,18
3,42,17
3,44,1
3,45,2
3,46,1
3,49,3
3,50,2
3,51,35
3,52,6
3,53,1
3,54,4
3,55,11
3,56,3
3,57,24
3,58,2
3,59,1
3,63,1
3,65,1
3,66,58
3,67,118
3,68,4
3,69,33
3,70,4
3,71,14
3,72,3
3,73,9
3,74,3
3,76,19
3,78,2
3,79,2
3,80,2
3,82,7
3,84,2
3,85,1
3,86,13
3,87,1
3,88,1
3,89,2
3,92,1
3,94,9
3,95,12
3,96,19
3,97,8
3,98,8
3,99,5
3,101,1
3,102,7
3,104,4
3,105,8
3,106,2
3,109,1
3,110,6
3,113,4
3,115,4
3,116,1
3,118,9
3,119,18
3,120,2
3,121,2
3,124,2
3,126,2
3,127,3
3,128,13
3,130,6
3,132,3
3,133,1
3,136,4
3,137,3
3,139,5
3,140,5
3,141,21
3,142,2
3,144,2
3,150,2
3,151,1
3,152,2
3,154,1
3,155,1
3,156,2
3,157,8
3,159,4
3,160,2
3,161,1
3,162,1
3,163,2
3,164,3
3,167,3
3,168,3
3,171,1
3,174,1
3,175,3
4,1,13
4,2,5
4,3,3
4,5,23
4,6,54
4,7,2
4,8,5
4,9,3
4,11,3
4,13,2
4,14,9
4,20,1
4,23,4
4,24,3
4,25,1
4,26,2
4,27,1
4,28,7
4,29,14
4,30,35
4,31,5
4,32,4
4,33,6
4,36,2
4,37,1
4,38,2
4,39,7
4,40,2
4,41,21
4,42,22
4,44,3
4,45,8
4,46,10
4,48,1
4,51,37
4,52,24
4,54,9
4,55,4
4,56,10
4,57,21
4,59,1
4,60,1
4,62,1
4,64,1
4,66,53
4,67,79
4,68,4
4,69,22
4,70,7
4,71,6
4,72,4
4,73,3
4,74,8
4,76,27
4,78,5
4,79,2
4,80,4
4,81,5
4,82,13
4,84,3
4,85,2
4,86,9
4,87,3
4,88,1
4,89,8
4,90,1
4,91,2
4,92,2
4,93,15
4,94,18
4,95,6
4,96,33
4,97,2
4,98,2
4,99,5
4,101,5
4,102,11
4,103,3
4,104,5
4,105,3
4,106,5
4,107,2
4,108,1
4,109,3
4,110,10
4,112,1
4,113,2
4,115,12
4,116,1
4,118,3
4,119,23
4,120,9
4,121,4
4,126,6
4,127,17
4,128,7
4,129,1
4,130,6
4,131,1
4,133,5
4,134,4
4,136,10
4,137,9
4,139,4
4,140,11
4,141,12
4,142,2
4,143,1
4,144,5
4,148,2
4,150,1
4,151,1
4,152,2
4,154,1
4,155,3
4,157,12
4,159,2
4,160,6
4,164,2
4,166,2
4,167,1
4,168,1
4,170,3
4,172,2
4,175,3
5,1,7
5,2,2
5,3,1
5,4,4
5,6,32
5,8,2
5,13,2
5,14,4
5,20,3
5,21,3
5,24,2
5,27,1
5,29,3
5,30,5
5,31,3
5,32,2
5,33,1
5,36,1
5,39,1
5,40,1
5,41,8
5,42,3
5,43,1
5,45,4
5,46,2
5,47,3
5,48,2
5,49,2
5,51,31
5,52,3
5,54,1
5,55,2
5,57,26
5,59,1
5,66,40
5,67,98
5,68,1
5,69,11
5,70,1
5,71,8
5,72,1
5,73,1
5,74,1
5,76,3
5,77,2
5,79,4
5,80,8
5,81,1
5,82,2
5,85,2
5,86,4
5,89,3
5,90,1
5,91,1
5,93,1
5,94,6
5,95,10
5,96,1
5,97,2
5,98,1
5,99,3
5,101,1
5,102,1
5,108,1
5,109,1
5,110,2
5,117,2
5,119,11
5,120,1
5,124,1
5,126,1
5,128,4
5,129,3
5,130,3
5,131,3
5,132,2
5,134,1
5,136,4
5,137,1
5,139,6
5,140,2
5,141,5
5,142,3
5,143,2
5,144,1
5,145,1
5,148,1
5,158,1
5,160,6
5,161,1
5,164,2
5,165,1
5,167,1
5,169,3
5,174,4
5,175,1
6,1,38
6,2,10
6,3,2
6,4,4
6,5,18
6,7,11
6,8,4
6,11,2
6,13,2
6,14,26
6,19,8
6,21,1
6,23,4
6,24,11
6,26,3
6,27,1
6,28,9
6,29,28
6,30,33
6,31,10
6,32,6
6,33,14
6,36,4
6,38,1
6,39,1
6,40,1
6,41,45
6,42,19
6,43,1
6,44,3
6,45,26
