link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,VDF_fftt,VDF_toll_auto,link_type_name,from_biway,vdf_free_speed_in_mph,is_link
1,,,1,1150,,"LINESTRING (-115.10761487792158 36.105641710504905, -115.1099429 36.1053508)",1,212.0939368,,0,90,1,99999,,,0,0.15,4,1,0.131817239,,55,0.141395958,,,,,,,connector,1,55.9235463,0
2,,,2,288,,"LINESTRING (-115.08667339321894 36.09314451177018, -115.086848 36.093079)",1,17.3235913,,0,90,1,99999,,,0,0.15,4,1,0.010766682,,55,0.011549061,,,,,,,connector,1,55.9235463,0
3,,,3,579,,"LINESTRING (-115.07798663744175 36.10767855602663, -115.0818362 36.1076465)",1,346.6366183,,0,90,1,99999,,,0,0.15,4,1,0.215436059,,55,0.231091079,,,,,,,connector,1,55.9235463,0
4,,,4,1173,,"LINESTRING (-115.10853760803258 36.09722375224839, -115.1099726 36.0984014)",1,183.7777574,,0,90,1,99999,,,0,0.15,4,1,0.114218619,,55,0.122518505,,,,,,,connector,1,55.9235463,0
5,,,5,782,,"LINESTRING (-115.18743226693104 36.12068372560368, -115.1850586 36.1229131)",1,326.8898493,,0,90,1,99999,,,0,0.15,4,1,0.203163362,,55,0.217926566,,,,,,,connector,1,55.9235463,0
6,,,6,202,,"LINESTRING (-115.07883870937636 36.1210700066441, -115.077955 36.122302)",1,158.1676276,,0,90,1,99999,,,0,0.15,4,1,0.09830182,,55,0.105445085,,,,,,,connector,1,55.9235463,0
7,,,7,599,,"LINESTRING (-115.0880350598836 36.12131965046381, -115.0890916 36.1298044)",1,946.2710261,,0,90,1,99999,,,0,0.15,4,1,0.588111265,,55,0.630847351,,,,,,,connector,1,55.9235463,0
8,,,7,601,,"LINESTRING (-115.0880350598836 36.12131965046381, -115.0887889 36.1298009)",1,943.5342534,,0,90,1,99999,,,0,0.15,4,1,0.58641035,,55,0.629022836,,,,,,,connector,1,55.9235463,0
9,,,7,3308,,"LINESTRING (-115.0880350598836 36.12131965046381, -115.0861465 36.1296237)",1,936.9810162,,0,90,1,99999,,,0,0.15,4,1,0.582337487,,55,0.624654011,,,,,,,connector,1,55.9235463,0
10,,,8,760,,"LINESTRING (-115.13460501942818 36.09310389670531, -115.1369394 36.0869675)",1,712.6167032,,0,90,1,99999,,,0,0.15,4,1,0.44289416,,55,0.475077802,,,,,,,connector,1,55.9235463,0
11,,,8,767,,"LINESTRING (-115.13460501942818 36.09310389670531, -115.1415183 36.0874841)",1,881.1910555,,0,90,1,99999,,,0,0.15,4,1,0.547663801,,55,0.587460704,,,,,,,connector,1,55.9235463,0
12,,,8,1035,,"LINESTRING (-115.13460501942818 36.09310389670531, -115.1416771 36.0861289)",1,1002.332015,,0,90,1,99999,,,0,0.15,4,1,0.622953396,,55,0.668221343,,,,,,,connector,1,55.9235463,0
13,,,8,1216,,"LINESTRING (-115.13460501942818 36.09310389670531, -115.1338721 36.0867195)",1,711.4854505,,0,90,1,99999,,,0,0.15,4,1,0.442191082,,55,0.474323634,,,,,,,connector,1,55.9235463,0
14,,,8,2846,,"LINESTRING (-115.13460501942818 36.09310389670531, -115.1419205 36.0865879)",1,978.176561,,0,90,1,99999,,,0,0.15,4,1,0.607940684,,55,0.652117707,,,,,,,connector,1,55.9235463,0
15,,,8,2994,,"LINESTRING (-115.13460501942818 36.09310389670531, -115.1427566 36.0868581)",1,1009.586041,,0,90,1,99999,,,0,0.15,4,1,0.627461803,,55,0.67305736,,,,,,,connector,1,55.9235463,0
16,,,8,3913,,"LINESTRING (-115.13460501942818 36.09310389670531, -115.1412894 36.0871993)",1,889.7551868,,0,90,1,99999,,,0,0.15,4,1,0.552986443,,55,0.593170125,,,,,,,connector,1,55.9235463,0
17,,,9,2676,,"LINESTRING (-115.06873918351047 36.10391833062072, -115.068732 36.1003251)",1,398.7086099,,0,90,1,99999,,,0,0.15,4,1,0.247799012,,55,0.26580574,,,,,,,connector,1,55.9235463,0
18,,,10,3745,,"LINESTRING (-115.14162904753964 36.125949352418246, -115.1357941 36.1298591)",1,681.2461991,,0,90,1,99999,,,0,0.15,4,1,0.423397265,,55,0.454164133,,,,,,,connector,1,55.9235463,0
19,,,11,1118,,"LINESTRING (-115.12798425815942 36.09888713747765, -115.1279715 36.1001355)",1,138.5241264,,0,90,1,99999,,,0,0.15,4,1,0.086093304,,55,0.092349418,,,,,,,connector,1,55.9235463,0
20,,,12,3690,,"LINESTRING (-115.19818119560634 36.1297349873349, -115.1901695 36.1307477)",1,729.876677,,0,90,1,99999,,,0,0.15,4,1,0.453621303,,55,0.486584451,,,,,,,connector,1,55.9235463,0
21,,,12,3714,,"LINESTRING (-115.19818119560634 36.1297349873349, -115.1984232 36.1301028)",1,46.26285473,,0,90,1,99999,,,0,0.15,4,1,0.028752551,,55,0.030841903,,,,,,,connector,1,55.9235463,0
22,,,13,2417,,"LINESTRING (-115.10901678439475 36.03844242372704, -115.1141236 36.0423363)",1,631.2497258,,0,90,1,99999,,,0,0.15,4,1,0.392324255,,55,0.420833151,,,,,,,connector,1,55.9235463,0
23,,,14,1290,,"LINESTRING (-115.14557617760003 36.01691004021723, -115.1453377 36.0205551)",1,405.0243411,,0,90,1,99999,,,0,0.15,4,1,0.251724264,,55,0.270016227,,,,,,,connector,1,55.9235463,0
24,,,15,751,,"LINESTRING (-115.1261520601166 36.00900572307467, -115.1171584 36.0095817)",1,813.3212826,,0,90,1,99999,,,0,0.15,4,1,0.505482463,,55,0.542214188,,,,,,,connector,1,55.9235463,0
25,,,15,3311,,"LINESTRING (-115.1261520601166 36.00900572307467, -115.1187712 36.0115914)",1,724.6172317,,0,90,1,99999,,,0,0.15,4,1,0.450352537,,55,0.483078154,,,,,,,connector,1,55.9235463,0
26,,,15,3601,,"LINESTRING (-115.1261520601166 36.00900572307467, -115.1202971 36.0027277)",1,874.0132221,,0,90,1,99999,,,0,0.15,4,1,0.543202748,,55,0.582675481,,,,,,,connector,1,55.9235463,0
27,,,15,3647,,"LINESTRING (-115.1261520601166 36.00900572307467, -115.1266047 35.9993092)",1,1076.690932,,0,90,1,99999,,,0,0.15,4,1,0.669167764,,55,0.717793955,,,,,,,connector,1,55.9235463,0
28,,,15,3718,,"LINESTRING (-115.1261520601166 36.00900572307467, -115.1204074 36.0026595)",1,874.1281026,,0,90,1,99999,,,0,0.15,4,1,0.543274147,,55,0.582752068,,,,,,,connector,1,55.9235463,0
29,,,15,3999,,"LINESTRING (-115.1261520601166 36.00900572307467, -115.1177112 36.0048936)",1,887.298439,,0,90,1,99999,,,0,0.15,4,1,0.551459564,,55,0.591532293,,,,,,,connector,1,55.9235463,0
30,,,16,2918,,"LINESTRING (-115.21223349600604 36.09698741761981, -115.2080607 36.0972328)",1,376.7580184,,0,90,1,99999,,,0,0.15,4,1,0.23415663,,55,0.251172012,,,,,,,connector,1,55.9235463,0
31,,,16,2983,,"LINESTRING (-115.21223349600604 36.09698741761981, -115.2080612 36.0976717)",1,383.3220164,,0,90,1,99999,,,0,0.15,4,1,0.238236182,,55,0.255548011,,,,,,,connector,1,55.9235463,0
32,,,16,3350,,"LINESTRING (-115.21223349600604 36.09698741761981, -115.2080577 36.0996038)",1,475.0657421,,0,90,1,99999,,,0,0.15,4,1,0.295255278,,55,0.316710495,,,,,,,connector,1,55.9235463,0
33,,,16,3468,,"LINESTRING (-115.21223349600604 36.09698741761981, -115.2079717 36.1020493)",1,680.2631552,,0,90,1,99999,,,0,0.15,4,1,0.422786299,,55,0.45350877,,,,,,,connector,1,55.9235463,0
34,,,16,3488,,"LINESTRING (-115.21223349600604 36.09698741761981, -115.208055 36.0991041)",1,443.5665506,,0,90,1,99999,,,0,0.15,4,1,0.275678403,,55,0.295711034,,,,,,,connector,1,55.9235463,0
