o_zone_id,d_zone_id,volume
1,2,1
1,3,4
1,4,2
1,6,11
1,7,12
1,8,2
1,12,1
1,13,1
1,15,1
1,16,24
1,17,1
1,18,3
1,19,3
1,24,1
1,25,1
1,27,14
1,28,17
1,29,9
1,31,5
1,33,1
1,34,4
1,35,1
1,36,1
1,38,12
1,39,1
1,40,1
1,42,7
1,43,12
1,45,6
1,46,2
1,47,11
1,48,1
1,51,1
1,52,4
1,60,2
1,64,1
1,66,1
1,69,1
1,70,5
1,73,4
1,74,7
1,75,29
1,76,16
1,77,35
1,78,37
1,79,2
1,80,5
1,81,12
1,83,1
1,86,7
1,87,1
1,90,9
1,91,1
1,94,1
1,95,1
1,99,10
1,100,5
1,101,2
1,102,5
1,104,1
1,106,6
1,108,1
2,1,5
2,3,6
2,4,1
2,6,19
2,7,15
2,8,2
2,9,5
2,12,3
2,13,1
2,15,3
2,16,29
2,17,4
2,18,3
2,19,1
2,20,1
2,21,2
2,22,1
2,24,6
2,25,2
2,26,8
2,27,17
2,28,8
2,29,7
2,30,1
2,32,4
2,33,1
2,34,2
2,35,7
2,36,2
2,38,8
2,39,7
2,40,1
2,42,9
2,43,56
2,45,4
2,46,7
2,47,24
2,49,5
2,51,4
2,52,3
2,56,4
2,57,3
2,58,2
2,59,2
2,60,9
2,62,1
2,63,7
2,64,33
2,65,1
2,67,1
2,68,1
2,70,7
2,73,3
2,74,8
2,75,43
2,76,26
2,77,22
2,78,25
2,79,2
2,80,2
2,81,27
2,82,1
2,83,2
2,84,2
2,85,1
2,86,11
2,87,9
2,89,14
2,90,7
2,91,5
2,92,9
2,93,2
2,94,1
2,96,1
2,98,2
2,99,5
2,100,2
2,101,4
2,102,6
2,103,1
2,104,1
2,105,3
2,106,4
2,107,1
2,108,3
3,1,2
3,2,3
3,4,3
3,6,1
3,7,8
3,9,2
3,10,1
3,15,3
3,16,32
3,17,3
3,18,1
3,19,2
3,20,4
3,22,2
3,24,8
3,25,9
3,26,23
3,27,42
3,28,42
3,29,18
3,30,1
3,31,5
3,32,6
3,33,9
3,34,14
3,35,4
3,36,4
3,37,3
3,38,5
3,39,3
3,41,1
3,42,15
3,43,60
3,46,5
3,47,38
3,48,1
3,49,2
3,50,2
3,51,7
3,52,8
3,55,4
3,56,6
3,57,3
3,58,7
3,59,4
3,63,1
3,64,25
3,65,1
3,67,2
3,69,2
3,70,7
3,72,2
3,74,3
3,75,81
3,76,15
3,77,18
3,78,28
3,79,1
3,80,4
3,81,17
3,82,2
3,83,6
3,84,5
3,86,11
3,87,1
3,88,6
3,89,2
3,90,14
3,91,3
3,95,2
3,99,18
3,100,5
3,101,13
3,102,2
3,103,4
3,104,2
3,105,4
3,106,5
3,107,2
4,3,3
4,6,4
4,7,8
4,8,3
4,9,4
4,14,1
4,15,1
4,16,28
4,18,3
