o_zone_id,d_zone_id,volume
101,101,113.000000
101,132,1.000000
101,133,0.333333
101,135,0.333333
101,199,0.666667
101,206,0.333333
101,1011,2.000000
101,1158,0.333333
101,1185,0.333333
101,1544,1.333333
101,1815,4.000000
101,1819,0.333333
101,1830,0.666667
101,1834,1.666667
101,1838,1.000000
101,1850,0.333333
101,1856,0.666667
101,1860,7.333333
101,2710,2.000000
101,2753,1.000000
101,2815,0.333333
101,2817,1.333333
101,2823,2.333333
101,3173,1.333333
101,3313,0.666667
101,3345,0.333333
101,3359,1.000000
103,130,0.333333
103,955,0.333333
103,1957,1.333333
103,2682,0.666667
103,2822,0.333333
103,3289,0.333333
107,107,15.333334
107,170,0.666667
107,182,0.333333
107,190,0.666667
107,195,2.000000
107,196,0.333333
107,256,0.666667
107,341,0.666667
107,520,0.333333
107,1280,1.000000
107,2400,0.333333
107,2792,0.333333
107,2793,0.666667
107,2865,0.333333
107,3322,1.666667
107,3323,2.333333
107,3330,0.666667
107,3363,0.333333
108,107,2.000000
108,108,332.333344
108,149,10.000000
108,150,2.000000
108,151,1.000000
108,153,2.000000
108,166,0.666667
108,170,0.333333
108,171,1.333333
108,178,0.333333
108,181,0.333333
108,182,1.000000
108,185,1.666667
108,192,0.333333
108,195,2.666667
108,218,1.333333
108,224,1.000000
108,226,0.666667
108,241,0.333333
108,255,0.333333
108,267,0.333333
108,301,0.333333
108,319,0.666667
108,332,0.333333
108,336,0.333333
108,343,0.333333
108,437,0.666667
108,533,0.333333
108,538,0.333333
108,540,1.333333
108,617,0.333333
108,712,0.666667
108,729,0.333333
108,771,0.333333
108,842,0.666667
108,948,0.333333
108,1011,0.666667
108,1027,1.333333
108,1280,6.666667
108,1583,0.666667
108,1590,0.333333
108,1623,0.666667
108,1642,7.000000
108,1654,26.666668
108,1659,0.333333
108,1661,1.000000
108,1662,0.666667
108,1667,2.333333
108,1670,0.666667
108,1673,2.333333
108,1680,0.333333
108,1684,0.666667
108,1690,0.333333
108,1691,3.000000
108,1693,0.333333
108,1696,1.333333
108,1706,0.666667
108,1711,0.333333
108,1748,0.666667
