link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,vdf_length_mi,facility_type,link_type,free_speed,vdf_free_speed_mph,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,free_speed_in_mph_raw,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,vdf_fftt,is_link,from_biway,link_type_name,boundary_status
99,,,110,8512,,"LINESTRING (-112.229355 33.468367, -112.2292174 33.4693389)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
132,,,143,51626,,"LINESTRING (-112.211887 33.468601, -112.211991 33.4657695)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
135,,,146,12613,,"LINESTRING (-112.19463 33.468776, -112.1951291 33.4665216)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
301,,,293,58434,,"LINESTRING (-112.177899 33.468864, -112.1777678 33.4660982)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
311,,,303,72561,,"LINESTRING (-112.16001 33.468805, -112.1651462 33.47322)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
315,,,305,35783,,"LINESTRING (-112.147237 33.472762, -112.1482515 33.4732654)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
340,,,327,13533,,"LINESTRING (-112.212625 33.788061, -112.2125729 33.7797938)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
488,,,461,68863,,"LINESTRING (-112.18489 33.885434, -112.1743486 33.8862252)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
489,,,462,68864,,"LINESTRING (-112.183347 33.859167, -112.1857759 33.8704219)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
490,,,463,13564,,"LINESTRING (-112.22013 33.815447, -112.2199363 33.7976373)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,cross_boundary
491,,,464,81890,,"LINESTRING (-112.154837 33.885581, -112.1518677 33.8873945)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
492,,,465,58874,,"LINESTRING (-112.159436 33.851273, -112.1446181 33.8559304)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,cross_boundary
493,,,466,5130,,"LINESTRING (-112.207721 33.834144, -112.2081214 33.8485193)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
496,,,468,68853,,"LINESTRING (-112.155304 33.862767, -112.1536436 33.8645775)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
497,,,468,69506,,"LINESTRING (-112.155304 33.862767, -112.150353 33.8639831)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
503,,,473,25756,,"LINESTRING (-112.106392 33.809346, -112.1150345 33.8070614)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
513,,,483,13542,,"LINESTRING (-112.184227 33.787092, -112.1931326 33.7815503)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
514,,,484,69425,,"LINESTRING (-112.185116 33.752557, -112.1978152 33.743169)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
515,,,485,13572,,"LINESTRING (-112.142161 33.791707, -112.1420801 33.798188)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
516,,,486,75714,,"LINESTRING (-112.145735 33.760883, -112.1446615 33.76867)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
517,,,487,69139,,"LINESTRING (-112.14632 33.745185, -112.1262838 33.7519075)",1,100,0.0621371,,0,120,74.5647284,1,100000,,,0,0.15,4,1,75,,,,,,0,1,connector,inside
