name,node_id,zone_id,node_type,control_type,x_coord,y_coord,Centroid,geometry,old_node_id,osm_node_id,is_boundary,activity_type,poi_id,notes,boundary_status
,110,110.0,,,-112.229355,33.468367,X,POINT (-112.229355 33.468367),,,,,,,inside
,143,143.0,,,-112.211887,33.468601,X,POINT (-112.211887 33.468601),,,,,,,inside
,146,146.0,,,-112.19463,33.468776,X,POINT (-112.19463 33.468776),,,,,,,inside
,293,293.0,,,-112.177899,33.468864,X,POINT (-112.177899 33.468864),,,,,,,inside
,303,303.0,,,-112.16001,33.468805,X,POINT (-112.16001000000001 33.468804999999996),,,,,,,inside
,305,305.0,,,-112.147237,33.472762,X,POINT (-112.14723700000002 33.472762),,,,,,,inside
,327,327.0,,,-112.212625,33.788061,X,POINT (-112.212625 33.788061),,,,,,,inside
,461,461.0,,,-112.18489,33.885434,X,POINT (-112.18489 33.885434000000004),,,,,,,inside
,462,462.0,,,-112.183347,33.859167,X,POINT (-112.183347 33.859167),,,,,,,inside
,463,463.0,,,-112.22013,33.815447,X,POINT (-112.22013000000001 33.815447),,,,,,,inside
,464,464.0,,,-112.154837,33.885581,X,POINT (-112.15483700000001 33.885581),,,,,,,inside
,465,465.0,,,-112.159436,33.851273,X,POINT (-112.15943600000001 33.851273),,,,,,,inside
,466,466.0,,,-112.207721,33.834144,X,POINT (-112.20772099999999 33.834144),,,,,,,inside
,468,468.0,,,-112.155304,33.862767,X,POINT (-112.155304 33.862767),,,,,,,inside
,473,473.0,,,-112.106392,33.809346,X,POINT (-112.106392 33.809346000000005),,,,,,,inside
,483,483.0,,,-112.184227,33.787092,X,POINT (-112.184227 33.787092),,,,,,,inside
,484,484.0,,,-112.185116,33.752557,X,POINT (-112.185116 33.752557),,,,,,,inside
,485,485.0,,,-112.142161,33.791707,X,POINT (-112.14216100000002 33.791707),,,,,,,inside
,486,486.0,,,-112.145735,33.760883,X,POINT (-112.14573500000002 33.760883),,,,,,,inside
,487,487.0,,,-112.14632,33.745185,X,POINT (-112.14631999999999 33.745185),,,,,,,inside
,488,488.0,,,-112.12859,33.790126,X,POINT (-112.12858999999999 33.790126),,,,,,,inside
,489,489.0,,,-112.117186,33.755517,X,POINT (-112.117186 33.755517),,,,,,,inside
,490,490.0,,,-112.229753,33.416907,X,POINT (-112.229753 33.416907),,,,,,,inside
,491,491.0,,,-112.112778,33.791993,X,POINT (-112.112778 33.791993),,,,,,,inside
,492,492.0,,,-112.106272,33.776731,X,POINT (-112.106272 33.776731),,,,,,,inside
,494,494.0,,,-112.035664,33.779842,X,POINT (-112.03566399999998 33.779841999999995),,,,,,,inside
,496,496.0,,,-112.164896,33.881787,X,POINT (-112.164896 33.881787),,,,,,,inside
,497,497.0,,,-112.042283,33.751845,X,POINT (-112.04228300000001 33.751845),,,,,,,inside
,500,500.0,,,-112.007165,33.773024,X,POINT (-112.00716499999999 33.773024),,,,,,,inside
,503,503.0,,,-111.989096,33.762969,X,POINT (-111.98909599999999 33.762969),,,,,,,inside
,504,504.0,,,-111.97048,33.781007,X,POINT (-111.97048000000001 33.781007),,,,,,,inside
,506,506.0,,,-111.974952,33.759981,X,POINT (-111.974952 33.759980999999996),,,,,,,inside
,508,508.0,,,-112.005194,33.749624,X,POINT (-112.00519399999999 33.749624),,,,,,,inside
,509,509.0,,,-112.028314,33.718495,X,POINT (-112.028314 33.718495000000004),,,,,,,inside
,511,511.0,,,-112.018579,33.738282,X,POINT (-112.018579 33.738282),,,,,,,inside
,512,512.0,,,-112.003827,33.721259,X,POINT (-112.003827 33.721259),,,,,,,inside
,513,513.0,,,-111.987386,33.748349,X,POINT (-111.98738600000001 33.748349),,,,,,,inside
,514,514.0,,,-111.989981,33.734999,X,POINT (-111.989981 33.734999),,,,,,,boundary
,515,515.0,,,-111.984429,33.718681,X,POINT (-111.984429 33.718681),,,,,,,inside
,516,516.0,,,-111.969308,33.748322,X,POINT (-111.96930800000001 33.748321999999995),,,,,,,boundary
,517,517.0,,,-111.968684,33.733773,X,POINT (-111.96868400000001 33.733773),,,,,,,inside
,518,518.0,,,-111.965005,33.718698,X,POINT (-111.965005 33.718697999999996),,,,,,,inside
,519,519.0,,,-112.194655,33.727556,X,POINT (-112.19465500000001 33.727556),,,,,,,inside
,520,520.0,,,-112.190564,33.70528,X,POINT (-112.190564 33.70528),,,,,,,inside
,521,521.0,,,-112.155325,33.719769,X,POINT (-112.155325 33.719769),,,,,,,inside
,522,522.0,,,-112.155534,33.691963,X,POINT (-112.155534 33.691963),,,,,,,inside
,523,523.0,,,-112.143609,33.705508,X,POINT (-112.14360900000001 33.705508),,,,,,,inside
,525,525.0,,,-112.142495,33.676505,X,POINT (-112.142495 33.676505),,,,,,,inside
,526,526.0,,,-112.122829,33.706064,X,POINT (-112.12282900000001 33.706064000000005),,,,,,,inside
,527,527.0,,,-112.122915,33.692396,X,POINT (-112.12291499999999 33.692396),,,,,,,inside
,528,528.0,,,-112.124974,33.679917,X,POINT (-112.124974 33.679916999999996),,,,,,,inside
,529,529.0,,,-112.160036,33.661818,X,POINT (-112.160036 33.661818),,,,,,,inside
,530,530.0,,,-112.159807,33.646724,X,POINT (-112.159807 33.646724),,,,,,,inside
,531,531.0,,,-112.159339,33.632165,X,POINT (-112.15933899999999 33.632165),,,,,,,inside
,532,532.0,,,-112.142542,33.662068,X,POINT (-112.14254199999999 33.662068),,,,,,,inside
,533,533.0,,,-112.143044,33.650693,X,POINT (-112.14304399999999 33.650693),,,,,,,inside
,534,534.0,,,-112.141982,33.632316,X,POINT (-112.14198200000001 33.632315999999996),,,,,,,inside
,535,535.0,,,-112.130036,33.66171,X,POINT (-112.130036 33.66171),,,,,,,inside
,536,536.0,,,-112.124634,33.651101,X,POINT (-112.12463400000001 33.651101000000004),,,,,,,inside
,537,537.0,,,-112.12894,33.631697,X,POINT (-112.12893999999999 33.631696999999996),,,,,,,inside
,538,538.0,,,-112.111654,33.737173,X,POINT (-112.111654 33.737173),,,,,,,inside
,539,539.0,,,-112.111469,33.70564,X,POINT (-112.111469 33.70564),,,,,,,inside
,540,540.0,,,-112.10661,33.692151,X,POINT (-112.10661 33.692151),,,,,,,inside
,541,541.0,,,-112.105813,33.679917,X,POINT (-112.10581299999998 33.679916999999996),,,,,,,inside
,542,542.0,,,-112.091516,33.719719,X,POINT (-112.091516 33.719719),,,,,,,boundary
,543,543.0,,,-112.081817,33.705644,X,POINT (-112.08181699999999 33.705644),,,,,,,inside
,544,544.0,,,-112.081779,33.690955,X,POINT (-112.081779 33.690954999999995),,,,,,,inside
,545,545.0,,,-112.090641,33.676383,X,POINT (-112.09064099999999 33.676383),,,,,,,inside
,546,546.0,,,-112.073579,33.676403,X,POINT (-112.07357900000001 33.676403),,,,,,,inside
,547,547.0,,,-112.052742,33.691026,X,POINT (-112.052742 33.691026),,,,,,,inside
,548,548.0,,,-112.039279,33.679196,X,POINT (-112.03927900000001 33.679196000000005),,,,,,,inside
,549,549.0,,,-112.101908,33.66137,X,POINT (-112.10190800000001 33.66137),,,,,,,inside
,550,550.0,,,-112.103484,33.646837,X,POINT (-112.10348400000001 33.646837),,,,,,,inside
,551,551.0,,,-112.103848,33.632706,X,POINT (-112.103848 33.632706),,,,,,,inside
,552,552.0,,,-112.090633,33.661929,X,POINT (-112.09063300000001 33.661929),,,,,,,inside
,553,553.0,,,-112.095679,33.647405,X,POINT (-112.095679 33.647405),,,,,,,inside
,554,554.0,,,-112.078558,33.661785,X,POINT (-112.078558 33.661784999999995),,,,,,,inside
,555,555.0,,,-112.073655,33.647205,X,POINT (-112.073655 33.647205),,,,,,,inside
,556,556.0,,,-112.056397,33.662069,X,POINT (-112.056397 33.662069),,,,,,,inside
,557,557.0,,,-112.056504,33.651209,X,POINT (-112.056504 33.651209),,,,,,,inside
,558,558.0,,,-112.038607,33.662162,X,POINT (-112.03860700000001 33.662162),,,,,,,inside
,559,559.0,,,-112.038521,33.651044,X,POINT (-112.038521 33.651044),,,,,,,inside
,560,560.0,,,-112.037747,33.69584,X,POINT (-112.037747 33.695840000000004),,,,,,,inside
,562,562.0,,,-112.010063,33.704694,X,POINT (-112.01006299999999 33.704694),,,,,,,inside
,563,563.0,,,-112.017686,33.692148,X,POINT (-112.01768600000001 33.692147999999996),,,,,,,inside
,564,564.0,,,-112.016647,33.680043,X,POINT (-112.01664699999999 33.680043),,,,,,,inside
,565,565.0,,,-112.021598,33.664038,X,POINT (-112.021598 33.664038),,,,,,,inside
,566,566.0,,,-112.021512,33.647738,X,POINT (-112.02151200000002 33.647738000000004),,,,,,,inside
,567,567.0,,,-112.007091,33.659388,X,POINT (-112.00709099999999 33.659388),,,,,,,inside
,568,568.0,,,-112.006541,33.64784,X,POINT (-112.006541 33.64784),,,,,,,inside
,569,569.0,,,-111.98643,33.704718,X,POINT (-111.98643 33.704718),,,,,,,inside
