o_zone_id,d_zone_id,volume
1,5,1
1,16,1
1,31,1
1,41,1
1,45,1
1,82,1
1,101,1
1,125,1
1,129,1
1,145,1
1,147,1
1,168,1
1,183,2
1,203,1
1,266,1
1,278,1
1,326,1
1,329,2
1,336,1
1,348,1
1,349,1
1,350,1
1,353,1
1,364,1
1,368,2
1,372,1
1,377,1
1,379,1
1,380,3
1,387,1
1,390,2
1,392,1
1,395,1
1,398,3
1,399,1
1,400,3
1,404,1
1,440,1
1,443,1
1,447,1
1,452,1
1,454,1
1,470,1
1,473,1
1,474,1
1,476,1
1,489,1
1,494,1
1,509,1
1,514,1
1,522,1
1,547,1
1,551,1
1,573,1
1,579,1
1,580,1
1,582,1
1,585,2
1,596,1
1,601,1
1,609,1
1,643,1
1,664,1
1,675,2
1,679,1
1,700,1
1,712,1
1,733,1
1,754,1
1,762,1
1,772,1
1,777,1
1,784,1
1,793,1
1,794,1
1,801,1
1,816,1
1,818,1
1,824,1
1,825,1
1,829,1
1,834,1
1,835,1
1,891,1
1,900,3
1,920,1
1,929,2
1,938,4
1,940,2
1,978,1
1,1010,2
1,1012,1
1,1017,1
1,1039,1
1,1056,1
1,1065,1
1,1112,1
1,1113,1
1,1120,1
1,1124,1
1,1125,1
1,1137,2
1,1139,1
1,1143,1
1,1157,1
1,1174,1
1,1177,1
1,1181,1
1,1187,1
1,1188,1
1,1238,3
1,1247,1
1,1249,1
1,1252,2
1,1281,1
1,1295,1
1,1307,1
1,1324,1
1,1328,1
1,1332,1
1,1337,1
1,1338,1
1,1344,1
1,1346,1
1,1375,2
1,1376,1
1,1377,1
1,1381,1
1,1390,1
1,1394,2
1,1400,1
1,1409,1
1,1423,2
1,1441,1
1,1455,1
1,1456,1
1,1472,1
1,1475,1
1,1484,1
1,1493,1
1,1518,1
1,1523,1
1,1560,1
1,1566,1
1,1569,1
1,1570,1
1,1584,1
1,1588,1
1,1595,1
1,1602,1
1,1618,1
1,1622,3
1,1624,1
1,1640,1
1,1644,2
1,1653,1
1,1654,1
1,1660,1
1,1662,1
1,1663,1
1,1670,1
1,1672,1
1,1673,1
1,1680,1
1,1682,1
1,1684,2
1,1685,1
1,1686,2
1,1687,1
1,1689,3
1,1691,1
1,1693,2
1,1696,1
1,1697,3
1,1699,1
1,1700,1
1,1701,1
1,1721,1
1,1728,1
1,1732,1
1,1740,1
1,1745,1
1,1747,1
1,1748,1
1,1749,2
1,1754,1
1,1763,1
1,1765,2
1,1766,1
1,1783,1
1,1793,1
1,1802,1
1,1810,1
1,1831,1
1,1833,1
1,1842,1
1,1848,2
1,1882,3
1,1883,1
1,1898,1
1,1899,1
1,1900,3
1,1901,1
1,1903,1
1,1911,2
1,1912,1
1,1916,1
1,1917,1
1,1926,1
1,1927,1
1,1928,1
1,1929,1
1,1932,1
1,1939,1
