node_id,zone_id,x_coord,y_coord,geometry
1,1,-112.15384530487805,33.346300056910565,POINT (-112.15384530487805 33.346300056910565)
2,2,-112.12712971315784,33.374751616666664,POINT (-112.12712971315784 33.374751616666664)
3,3,-112.24574963636364,33.42751332,POINT (-112.24574963636364 33.42751332)
4,4,-112.2024021777778,33.371235393650785,POINT (-112.2024021777778 33.371235393650785)
5,5,-112.0405594592592,33.61861481111112,POINT (-112.0405594592592 33.61861481111112)
6,6,-111.95744253636362,33.45514558909091,POINT (-111.95744253636362 33.45514558909091)
7,7,-111.99196631103896,33.43494495649352,POINT (-111.99196631103896 33.43494495649352)
8,8,-112.2054371603961,33.38405373069308,POINT (-112.2054371603961 33.38405373069308)
9,9,-112.00369946707318,33.58988496585367,POINT (-112.00369946707318 33.58988496585367)
10,10,-111.9988361165137,33.5749625036697,POINT (-111.9988361165137 33.5749625036697)
11,11,-112.05874859764708,33.62601265647059,POINT (-112.05874859764708 33.62601265647059)
12,12,-112.05470454661018,33.559733966949146,POINT (-112.05470454661018 33.559733966949146)
13,13,-112.04609838,33.605846459999995,POINT (-112.04609838 33.605846459999995)
14,14,-112.0302085216868,33.57775284578314,POINT (-112.0302085216868 33.57775284578314)
15,15,-112.0336446981818,33.543851876363625,POINT (-112.0336446981818 33.543851876363625)
16,16,-111.96371538607598,33.64664066962025,POINT (-111.96371538607598 33.64664066962025)
17,17,-112.03949848405796,33.633046346376815,POINT (-112.03949848405796 33.633046346376815)
18,18,-111.97541216708862,33.51364212784811,POINT (-111.97541216708862 33.51364212784811)
19,19,-111.9869728457143,33.48735954285716,POINT (-111.9869728457143 33.48735954285716)
20,20,-111.98302391891892,33.50469897027026,POINT (-111.98302391891892 33.50469897027026)
21,21,-111.96542370434771,33.48688524891305,POINT (-111.96542370434771 33.48688524891305)
22,22,-111.98876054102564,33.500277184615385,POINT (-111.98876054102564 33.500277184615385)
23,23,-111.95323599318182,33.49563145681821,POINT (-111.95323599318182 33.49563145681821)
24,24,-112.1418206561798,33.77917238314606,POINT (-112.1418206561798 33.77917238314606)
25,25,-112.19901521604936,33.72896163580247,POINT (-112.19901521604936 33.72896163580247)
26,26,-112.17493623980587,33.70539087669903,POINT (-112.17493623980587 33.70539087669903)
27,27,-112.17204580701754,33.67588234561403,POINT (-112.17204580701754 33.67588234561403)
28,28,-112.16170018863636,33.65792611363636,POINT (-112.16170018863636 33.65792611363636)
29,29,-112.16174852112675,33.647525904225354,POINT (-112.16174852112675 33.647525904225354)
30,30,-112.15303480465116,33.71763995581395,POINT (-112.15303480465116 33.71763995581395)
31,31,-112.14409154659084,33.70546122954544,POINT (-112.14409154659084 33.70546122954544)
32,32,-112.1423017068493,33.67679088356163,POINT (-112.1423017068493 33.67679088356163)
33,33,-112.16086798095236,33.66560320238096,POINT (-112.16086798095236 33.66560320238096)
34,34,-112.14410894897956,33.66362052857142,POINT (-112.14410894897956 33.66362052857142)
35,35,-112.14214338157896,33.65083379736842,POINT (-112.14214338157896 33.65083379736842)
36,36,-112.14423354594594,33.64337710270269,POINT (-112.14423354594594 33.64337710270269)
37,37,-112.1257203043478,33.64368498695652,POINT (-112.1257203043478 33.64368498695652)
38,38,-112.12865668550722,33.73068378985508,POINT (-112.12865668550722 33.73068378985508)
39,39,-112.12326582987012,33.68867880779221,POINT (-112.12326582987012 33.68867880779221)
40,40,-112.12436806666666,33.67622795937502,POINT (-112.12436806666666 33.67622795937502)
41,41,-112.12278449914533,33.660912523931614,POINT (-112.12278449914533 33.660912523931614)
42,42,-112.10730284081632,33.66178690204082,POINT (-112.10730284081632 33.66178690204082)
43,43,-112.12585307407406,33.6509766537037,POINT (-112.12585307407406 33.6509766537037)
44,44,-112.10756651935482,33.64803211774194,POINT (-112.10756651935482 33.64803211774194)
45,45,-112.0288364852349,33.727156544966434,POINT (-112.0288364852349 33.727156544966434)
46,46,-112.00216495086202,33.685946401724145,POINT (-112.00216495086202 33.685946401724145)
47,47,-112.02128764086956,33.66448193652175,POINT (-112.02128764086956 33.66448193652175)
48,48,-112.0087181257143,33.66686541428571,POINT (-112.0087181257143 33.66686541428571)
49,49,-112.00709755999998,33.65892606333334,POINT (-112.00709755999998 33.65892606333334)
50,50,-111.99365466842102,33.65799691315791,POINT (-111.99365466842102 33.65799691315791)
51,51,-112.0053832439024,33.64656586829268,POINT (-112.0053832439024 33.64656586829268)
52,52,-111.98779022708332,33.64473236875001,POINT (-111.98779022708332 33.64473236875001)
53,53,-112.09102201279076,33.661506310465114,POINT (-112.09102201279076 33.661506310465114)
54,54,-112.0738315041096,33.66198763972603,POINT (-112.0738315041096 33.66198763972603)
55,55,-112.0908375755102,33.65120586734694,POINT (-112.0908375755102 33.65120586734694)
56,56,-112.07386233103443,33.64780246666668,POINT (-112.07386233103443 33.64780246666668)
57,57,-112.09088400416664,33.644716670833326,POINT (-112.09088400416664 33.644716670833326)
