link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,vdf_free_speed_in_mph,from_biway,is_link
1,,,1,25757,,"LINESTRING (-122.29308772158302 47.73012277341621, -122.2884386 47.7337512)",1,533.2635533,,0,90,1,99999,,,0,0.15,4,1,0.331425453,,55,0.355509036,,,,,connector,55.9235463,1,0
2,,,2,549,,"LINESTRING (-122.28331858089358 47.72564122125783, -122.2856758 47.7191483)",1,743.2611065,,0,90,1,99999,,,0,0.15,4,1,0.46193978,,55,0.495507404,,,,,connector,55.9235463,1,0
3,,,3,7953,,"LINESTRING (-122.31605730922072 47.72638072696768, -122.3126592 47.7266458)",1,256.6204667,,0,90,1,99999,,,0,0.15,4,1,0.159490657,,55,0.171080311,,,,,connector,55.9235463,1,0
4,,,4,13048,,"LINESTRING (-122.30263117563447 47.726971953106926, -122.3019742 47.7338331)",1,764.4473316,,0,90,1,99999,,,0,0.15,4,1,0.475107105,,55,0.509631554,,,,,connector,55.9235463,1,0
5,,,5,7019,,"LINESTRING (-122.33294167442324 47.73053346873494, -122.3342242 47.7286526)",1,230.1934779,,0,90,1,99999,,,0,0.15,4,1,0.143066176,,55,0.153462319,,,,,connector,55.9235463,1,0
6,,,6,22409,,"LINESTRING (-122.35238046778892 47.71686674289968, -122.3483549 47.7223143)",1,676.8159156,,0,90,1,99999,,,0,0.15,4,1,0.420643826,,55,0.45121061,,,,,connector,55.9235463,1,0
7,,,7,11259,,"LINESTRING (-122.3554307734927 47.7279132448403, -122.3555457 47.7287253)",1,90.69906163,,0,90,1,99999,,,0,0.15,4,1,0.056369833,,55,0.060466041,,,,,connector,55.9235463,1,0
8,,,8,4728,,"LINESTRING (-122.34950608960914 47.73015257159624, -122.3477456 47.7310462)",1,165.262824,,0,90,1,99999,,,0,0.15,4,1,0.102711513,,55,0.110175216,,,,,connector,55.9235463,1,0
9,,,9,24628,,"LINESTRING (-122.37071625511048 47.722541471195775, -122.366386 47.7196676)",1,455.6864477,,0,90,1,99999,,,0,0.15,4,1,0.283210968,,55,0.303790965,,,,,connector,55.9235463,1,0
10,,,10,23837,,"LINESTRING (-122.3232573464264 47.71671086197028, -122.3235719 47.7244488)",1,860.6653767,,0,90,1,99999,,,0,0.15,4,1,0.534907009,,55,0.573776918,,,,,connector,55.9235463,1,0
