o_zone_id,d_zone_id,volume
1,13,13
1,16,1
1,17,7
1,20,2
1,26,2
1,39,6
1,40,14
1,41,43
1,46,2
1,57,1
1,59,11
1,66,3
1,67,2
1,69,1
1,85,2
1,86,4
1,89,3
1,91,1
1,93,6
1,98,1
1,103,2
1,105,1
1,109,2
1,117,1
1,118,3
1,125,1
1,140,4
1,141,1
1,151,2
1,154,1
1,160,13
1,168,2
1,169,1
1,171,3
1,175,1
1,178,1
1,182,6
1,183,4
2,6,1
2,8,1
2,9,2
2,10,1
2,11,1
2,12,1
2,13,6
2,17,5
2,20,5
2,21,2
2,23,3
2,26,5
2,28,7
2,30,4
2,32,3
2,39,8
2,40,5
2,41,123
2,45,1
2,47,1
2,48,1
2,57,3
2,59,32
2,60,3
2,69,1
2,73,5
2,74,1
2,76,6
2,78,1
2,79,2
2,80,2
2,81,11
2,82,4
2,83,3
2,84,1
2,85,3
2,86,1
2,90,2
2,93,7
2,98,6
2,99,2
2,103,4
2,105,1
2,108,3
2,109,2
2,111,2
2,113,2
2,114,3
2,117,4
2,118,4
2,119,1
2,131,1
2,133,3
2,134,4
2,137,1
2,140,4
2,141,1
2,147,1
2,148,1
2,149,4
2,151,3
2,152,4
2,153,1
2,154,3
2,158,14
2,159,9
2,160,4
2,162,1
2,166,1
2,171,2
2,174,2
2,175,3
2,177,1
2,178,3
2,181,1
2,182,5
2,183,9
2,184,1
2,185,1
3,5,5
3,10,2
3,12,4
3,13,6
3,14,2
3,16,2
3,17,7
3,18,1
3,19,1
3,20,5
3,21,2
3,22,1
3,23,4
3,26,1
3,28,4
3,29,1
3,30,5
3,32,2
3,36,1
3,39,9
3,40,1
3,41,99
3,42,3
3,45,3
3,46,6
3,47,1
3,49,8
3,50,3
3,55,1
3,56,2
3,57,11
3,58,1
3,59,43
3,60,1
3,66,8
3,67,1
3,69,2
3,71,6
3,73,1
3,81,5
3,82,1
3,86,1
3,88,3
3,89,1
3,92,2
3,93,11
3,94,2
3,95,2
3,98,5
3,101,3
3,102,1
3,103,5
3,104,1
3,109,5
3,114,1
3,117,2
3,118,5
3,119,2
3,133,4
3,134,3
3,135,2
3,140,11
3,142,5
3,144,2
3,147,2
3,149,7
3,150,2
3,152,2
3,153,1
3,155,2
3,157,1
3,158,13
3,159,8
3,160,4
3,161,1
3,167,1
3,169,1
