o_zone_id,d_zone_id,volume
1,2,3
1,3,1
1,4,19
1,7,1
1,9,6
1,10,8
1,11,7
1,12,1
1,15,5
1,16,6
1,17,4
1,22,1
1,23,18
1,30,1
1,33,3
1,34,16
1,36,1
1,39,15
1,41,3
1,44,40
1,45,21
1,46,20
1,51,2
1,53,15
1,55,7
1,56,1
1,57,3
1,61,1
1,62,2
1,64,4
1,66,5
1,73,1
1,75,2
1,77,1
1,82,46
1,83,4
1,85,16
1,86,2
1,87,1
1,88,4
1,91,1
1,92,5
1,94,3
1,97,1
1,100,5
1,103,237
1,106,14
1,107,3
1,112,3
1,113,5
1,115,29
1,117,3
1,120,9
1,121,1
1,123,3
1,125,5
1,126,2
1,127,2
1,129,6
1,135,2
1,137,1
1,138,1
1,139,1
1,142,1
1,144,3
1,147,1
1,149,1
2,1,3
2,3,18
2,4,20
2,7,1
2,8,1
2,9,19
2,10,22
2,11,4
2,14,3
2,15,12
2,16,22
2,17,2
2,18,6
2,20,2
2,22,6
2,23,16
2,30,10
2,31,3
2,33,7
2,34,28
2,36,2
2,39,20
2,42,2
2,44,54
2,45,17
2,46,35
2,47,2
2,49,1
2,51,11
2,52,2
2,53,30
2,55,4
2,57,1
2,58,2
2,59,2
2,60,2
2,61,10
2,62,1
2,64,4
2,66,3
2,67,2
2,71,2
2,73,5
2,75,4
2,76,1
2,82,64
2,83,2
2,85,10
2,86,1
2,87,5
2,88,6
2,90,1
2,91,3
2,92,13
2,94,15
2,95,2
2,96,3
2,97,2
2,100,5
2,101,1
2,103,314
2,104,2
2,106,1
2,107,1
2,109,1
2,111,5
2,112,9
2,113,16
2,114,4
2,115,2
2,116,1
2,117,17
2,120,18
2,121,1
2,122,1
2,123,2
2,125,8
2,128,10
2,129,12
2,130,4
2,132,1
2,133,1
2,134,4
2,135,11
2,136,1
2,137,1
2,138,4
2,139,4
2,140,1
2,141,2
2,142,3
2,143,1
2,145,3
2,149,1
3,1,2
3,2,8
3,4,9
3,9,20
3,10,23
3,11,4
3,15,5
3,16,16
3,17,1
3,18,4
3,19,1
3,20,4
3,22,5
3,23,9
3,25,1
3,27,1
3,29,7
3,30,7
3,31,1
3,33,6
3,34,20
3,36,5
3,39,14
3,40,1
3,41,5
3,43,1
3,44,41
3,45,10
3,46,21
3,47,1
3,49,2
3,51,8
3,52,2
3,53,18
3,54,1
3,55,3
3,57,3
3,58,1
3,59,5
3,61,7
