node_id,zone_id,x_coord,y_coord,geometry
1,1,-80.02233638559323,40.43358738474576,POINT (-80.02233638559323 40.43358738474576)
2,2,-80.02335344239127,40.41510510217391,POINT (-80.02335344239127 40.41510510217391)
3,3,-80.02672699154928,40.40466133521127,POINT (-80.02672699154928 40.40466133521127)
4,4,-80.00924232537318,40.45642245820896,POINT (-80.00924232537318 40.45642245820896)
5,5,-80.01160090222221,40.45831415777779,POINT (-80.01160090222221 40.45831415777779)
6,6,-80.01151186562498,40.480046753125,POINT (-80.01151186562498 40.480046753125)
7,7,-80.01337812643675,40.4647014413793,POINT (-80.01337812643675 40.4647014413793)
8,8,-80.01545415609756,40.47125459878049,POINT (-80.01545415609756 40.47125459878049)
9,9,-80.01126775000002,40.451994425,POINT (-80.01126775000002 40.451994425)
10,10,-80.04101213333334,40.40832654313726,POINT (-80.04101213333334 40.40832654313726)
11,11,-80.02513600722891,40.45523073012048,POINT (-80.02513600722891 40.45523073012048)
12,12,-80.02166392499997,40.460092208333336,POINT (-80.02166392499997 40.460092208333336)
13,13,-80.01817671142857,40.49214248142857,POINT (-80.01817671142857 40.49214248142857)
14,14,-80.0101284152174,40.494081904347816,POINT (-80.0101284152174 40.494081904347816)
15,15,-80.03669012264146,40.4431084754717,POINT (-80.03669012264146 40.4431084754717)
16,16,-80.02734684905657,40.45258958490565,POINT (-80.02734684905657 40.45258958490565)
17,17,-80.05158414848484,40.4575721612121,POINT (-80.05158414848484 40.4575721612121)
18,18,-80.07557267777781,40.454419406172825,POINT (-80.07557267777781 40.454419406172825)
19,19,-80.03199889523806,40.48555742857142,POINT (-80.03199889523806 40.48555742857142)
20,20,-80.02959184123709,40.47268231340205,POINT (-80.02959184123709 40.47268231340205)
21,21,-80.02233197777778,40.48140781111111,POINT (-80.02233197777778 40.48140781111111)
22,22,-80.04830057126436,40.43285064252874,POINT (-80.04830057126436 40.43285064252874)
23,23,-80.00802551562498,40.43534208749999,POINT (-80.00802551562498 40.43534208749999)
24,24,-80.02892976521741,40.46532165217392,POINT (-80.02892976521741 40.46532165217392)
25,25,-80.04218094769232,40.483718095384624,POINT (-80.04218094769232 40.483718095384624)
