link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
8223,1,1708,1,1680.7761646895617,1.0443884851489194,20,12.42742384,5.042328494068685,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.684132 45.5998284)"
8351,1,2324,1,908.9320676129262,0.5647856062814112,20,12.42742384,2.7267962028387784,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7050214 45.6123398)"
817,1,2325,1,1061.1859857950767,0.6593920400879099,20,12.42742384,3.1835579573852297,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.704192 45.6136998)"
8353,1,2326,1,688.4127897999961,0.42776093914275176,20,12.42742384,2.065238369399988,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7078134 45.6099948)"
819,1,6239,1,1004.2479087651486,0.624012271344246,20,12.42742384,3.0127437262954455,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7028198 45.6130882)"
821,1,6935,1,2544.5149688589704,1.5810922296462964,20,12.42742384,7.63354490657691,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7275398 45.6206362)"
823,1,6936,1,2440.968799862288,1.5167514632472245,20,12.42742384,7.322906399586864,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7264371 45.6200854)"
825,1,6938,1,1044.6221197405252,0.6490997053080924,20,12.42742384,3.1338663592215754,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7037482 45.6135308)"
827,1,6939,1,2165.056697121988,1.3453072048926815,20,12.42742384,6.495170091365963,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7233332 45.6187112)"
8225,1,7091,1,1691.857514224749,1.0512741336353717,20,12.42742384,5.075572542674246,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.6835941 45.6008792)"
8227,1,7380,1,1752.7028790992904,1.0890817845199217,20,12.42742384,5.2581086372978705,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.6839508 45.5982421)"
8355,1,7688,1,598.9489130522495,0.37217052521670346,20,12.42742384,1.7968467391567484,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7107929 45.6075725)"
829,1,7689,1,2346.5118218844536,1.458058472345467,20,12.42742384,7.03953546565336,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7253906 45.6196077)"
831,1,7690,1,2197.1534678261355,1.3652512631427391,20,12.42742384,6.591460403478406,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.7236978 45.6188704)"
8229,1,8124,1,1674.2865798631856,1.040356034065633,20,12.42742384,5.022859739589556,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.6838251 45.6008804)"
8231,1,8173,1,1674.747393348595,1.040642371002147,20,12.42742384,5.024242180045785,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.70482785539352 45.60416671049565, -122.6853812 45.5977073)"
26957,2,232,1,1045.2504461534231,0.6494901302107841,20,12.42742384,3.135751338460269,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.56996543929962 45.57126288326852, -122.5717174 45.5805827)"
27598,2,233,1,837.2179511879264,0.5202244095019862,20,12.42742384,2.5116538535637787,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.56996543929962 45.57126288326852, -122.565022 45.5779499)"
28033,2,413,1,704.4893603874565,0.43775048180462584,20,12.42742384,2.1134680811623694,0,0,0.5,1.2,1,1,99999,0.0,0,"LINESTRING (-122.56996543929962 45.57126288326852, -122.577759 45.568042)"
