link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
4315,1,387,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.172007 33.3411573)"
4317,1,388,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1736739 33.3411618)"
4319,1,389,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1707337 33.3411539)"
4321,1,392,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.174603 33.3411644)"
4323,1,393,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1691824 33.3451897)"
4325,1,394,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1691786 33.3411197)"
4327,1,395,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.169187 33.3483601)"
4329,1,3847,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1691802 33.3383745)"
4331,1,3848,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1691795 33.337803)"
4333,1,3849,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1691782 33.3368865)"
4335,1,3850,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1691779 33.3357818)"
4337,1,5277,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1777774 33.3416757)"
4339,1,6619,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1817069 33.3387613)"
4341,1,7505,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1774116 33.334071)"
4343,1,7506,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1774312 33.3340511)"
4345,1,7507,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1774245 33.3337856)"
4347,1,7508,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1779972 33.3338673)"
4349,1,7509,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1754987 33.3341877)"
4351,1,7510,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1754838 33.3342177)"
4353,1,7511,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1773488 33.3337169)"
4355,1,7512,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1723327 33.3296405)"
4357,1,7513,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1756134 33.3345405)"
4359,1,7514,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.181514 33.3388862)"
4361,1,7515,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1740021 33.3341564)"
4363,1,7516,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1754883 33.3344504)"
4365,1,7523,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1717306 33.3293731)"
4367,1,7701,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1779035 33.3411096)"
4369,1,7702,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1778715 33.3410784)"
4371,1,7703,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1776615 33.341099)"
4373,1,7704,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1776525 33.3412308)"
4375,1,7705,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1771987 33.3411726)"
4377,1,7706,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1776775 33.3412582)"
4379,1,7707,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1778765 33.3412596)"
4381,1,7708,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1779065 33.3412273)"
4383,1,7709,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.177412 33.3392623)"
4385,1,7710,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1777878 33.3406542)"
4387,1,7711,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1765599 33.3381856)"
4389,1,7712,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1776905 33.3410742)"
4391,1,7713,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.176112 33.3411684)"
4393,1,7717,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1691859 33.3483901)"
4395,1,7941,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.15384530487805 33.346300056910565, -112.1762157 33.3378162)"
4255,2,396,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,169.25304233195206,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.132437 33.3630119)"
4257,2,397,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1348064 33.362996)"
4259,2,398,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1348179 33.3606847)"
4261,2,407,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.136588 33.3630003)"
4263,2,530,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,225.7035802343553,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1347909 33.3726282)"
4265,2,531,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,2439.9537643687227,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1347806 33.3703416)"
4267,2,532,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,39.17600904645368,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1347797 33.3734618)"
6405,2,533,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1288461 33.3776748)"
6430,2,534,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0001650882202766,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1277833 33.3776766)"
6407,2,535,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1294418 33.3776741)"
6409,2,4080,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1316048 33.3776717)"
6411,2,4081,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1319959 33.3777482)"
4269,2,4082,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1338446 33.3776068)"
4271,2,4083,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1337257 33.3776057)"
4273,2,4084,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1337993 33.3767086)"
4275,2,4089,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,1372.2303683638977,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1348221 33.3777426)"
4277,2,4090,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1358084 33.3777265)"
6432,2,4130,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,63.63110718909879,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1251361 33.3776909)"
6383,2,4131,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,785.7381507808478,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1218461 33.3776928)"
6385,2,4132,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,56.5986715107545,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1212182 33.3776943)"
4279,2,6768,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1358041 33.377602)"
4281,2,6778,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1348223 33.3776067)"
4283,2,7216,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1327354 33.3776094)"
6361,2,11329,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,983.1001875055722,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.117634 33.3630993)"
6387,2,14826,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1251075 33.3854304)"
6413,2,14828,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1245472 33.3805977)"
6415,2,14829,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1245507 33.3815968)"
6417,2,14830,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1251353 33.3787539)"
6419,2,14834,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1251346 33.3783657)"
6389,2,14835,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1303069 33.3848825)"
6391,2,14837,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1298123 33.3848608)"
6421,2,14839,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1245538 33.3820791)"
6393,2,14845,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1256715 33.3838757)"
6395,2,14847,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1270615 33.3835501)"
6397,2,14848,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.1276441 33.3835843)"
6399,2,14851,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.12712971315784 33.374751616666664, -112.125098 33.3848945)"
286,3,2124,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2405871 33.4227587)"
288,3,2125,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2417136 33.4226326)"
290,3,2126,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.238696 33.4229719)"
292,3,2127,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2442654 33.4223524)"
294,3,2128,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2454351 33.4222392)"
296,3,2129,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2430016 33.4224931)"
1453,3,3734,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2385409 33.4268963)"
1455,3,3735,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2385839 33.4254829)"
1457,3,3736,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2385042 33.4283575)"
298,3,6813,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2531718 33.4214966)"
300,3,6814,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.255646 33.421172)"
302,3,6815,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.249068 33.4218998)"
1459,3,6910,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2383328 33.435141)"
1461,3,6912,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2383774 33.4340745)"
304,3,8092,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2534587 33.4213576)"
306,3,8093,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2531547 33.4213885)"
1403,3,14246,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2552676 33.431251)"
1405,3,14247,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.255361 33.4285449)"
308,3,14248,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2555425 33.4230138)"
1407,3,14250,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2554383 33.4257262)"
310,3,14419,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.247099 33.4220612)"
1409,3,14420,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2470808 33.4235843)"
312,3,14421,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2469962 33.4206719)"
1463,3,14424,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2384653 33.4301374)"
1465,3,14425,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.238435 33.4314339)"
1467,3,14426,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.236676 33.4301408)"
1509,3,14427,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2399583 33.429989)"
1411,3,14428,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2469687 33.4293036)"
1413,3,14429,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2469183 33.4318666)"
1415,3,14430,1,0.0,0.0,20,12.42742384,0.0,0,0,0.15,1.2,1,1,99999,0.0,0,"LINESTRING (-112.24574963636364 33.42751332, -112.2469996 33.4279869)"
