link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
422,1,444,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3234675 47.5862084)"
424,1,1399,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3251988 47.5797982)"
426,1,1400,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3236597 47.5797942)"
428,1,1401,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3259773 47.5798002)"
4756,1,1402,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3252204 47.5777188)"
4758,1,1403,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3236678 47.5777238)"
4760,1,1404,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3259909 47.5777519)"
430,1,1499,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.329071 47.5861504)"
432,1,1500,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3290657 47.5840105)"
434,1,1501,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3275654 47.5861499)"
436,1,1502,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3290587 47.5882288)"
438,1,1503,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3299774 47.5861503)"
440,1,1504,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3290727 47.5818908)"
442,1,1505,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3290696 47.5798074)"
4844,1,1506,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3290798 47.5777183)"
444,1,1507,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.329995 47.5798106)"
446,1,1508,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3275568 47.5798043)"
4846,1,1509,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.329086 47.5755223)"
4762,1,1510,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3290654 47.5743713)"
4764,1,1511,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3290453 47.5737051)"
4766,1,1512,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3291485 47.571419)"
4768,1,1513,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3289532 47.5714193)"
4770,1,1514,1,0.0,0.0,5,3.10685596,0.0,0,0,0.6,3,1,1,99999,0.0,0,"LINESTRING (-122.32957034329608 47.57870824273741, -122.3290495 47.5711409)"
