name,link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,link_type,vdf_alpha,vdf_beta,ref_volume,obs_volume,vdf_fftt,vdf_toll,geometry
,1,1,2,1,4827.267173575637,2.9995322141844714,1,25900.20064,48.27267173575637,29.995238309118673,1,0.15,4,5083.214,5083.214,6,,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)"
,2,1,3,1,4444.036045918527,2.7614028396227814,1,23403.47319,66.6605406887779,41.420926828326614,1,0.15,4,8782.614,8782.614,4,,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)"
,3,2,1,1,4827.305513814144,2.999556037763397,1,25900.20064,48.273055138141444,29.995476544242088,1,0.15,4,5182.613,5182.613,6,,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)"
,4,2,6,1,2027.1123070136857,1.2595923217055973,1,4958.180928,24.325347684164228,15.11506561585681,1,0.15,4,5483.214,5483.214,5,,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)"
,5,3,1,1,4443.92514545594,2.761333929098848,1,23403.47319,66.6588771818391,41.41989317335655,1,0.15,4,8683.215,8683.215,4,,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)"
,6,3,4,1,2418.8118393815744,1.502983732077482,1,17110.52372,36.28217759072361,22.54469297172552,1,0.15,4,14796.577,14796.577,4,,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)"
,7,3,12,1,3261.0430477399486,2.0263232429069986,1,23403.47319,48.91564571609923,30.394763694258295,1,0.15,4,10373.788,10373.788,4,,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)"
,8,4,3,1,2418.722586500974,1.5029282727708093,1,17110.52372,36.28083879751461,22.54386108445045,1,0.15,4,14791.177,14791.177,4,,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)"
,9,4,5,1,1257.5695216102147,0.7814194151703275,1,17782.7941,37.72708564830644,23.442516936373824,1,0.15,4,18945.744,18945.744,2,,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)"
,10,4,11,1,2171.0225317835984,1.3490142119027668,1,4908.82673,21.710225317835985,13.490104415969064,1,0.15,4,5240.831,,6,,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)"
,11,5,4,1,1257.5584911985286,0.7814125611732318,1,17782.7941,37.72675473595586,23.442311317035628,1,0.15,4,18832.006,,2,,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)"
,12,5,6,1,3071.5170137516957,1.9085569325013334,1,4947.995469,46.07275520627543,28.62827397527857,1,0.15,4,8554.285,,4,,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)"
,13,5,9,1,1716.7219904664441,1.066724241283038,1,10000.0,20.600663885597328,12.800655119257497,1,0.15,4,15714.926,,5,,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)"
,14,6,2,1,2026.9998667413488,1.2595224543858656,1,4958.180928,24.323998400896187,15.114227210363264,1,0.15,4,5582.613,,5,,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)"
,15,6,5,1,3071.6070479053096,1.9086128772697566,1,4947.995469,46.074105718579645,28.629113144459552,1,0.15,4,8519.162,,4,,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)"
,16,6,8,1,2809.08949697691,1.745491628230772,1,4898.587646,84.2726849093073,52.36460249478119,1,0.15,4,12837.499,,2,,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)"
,17,7,8,1,1456.8419957317108,0.9052418977541793,1,7841.81131,29.136839914634216,18.104787354596176,1,0.15,4,12616.312,,3,,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)"
,18,7,18,1,1902.1706337961264,1.1819569722967966,1,23403.47319,57.06511901388379,35.45861006677598,1,0.15,4,15620.555,,2,,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)"
