link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,6706,1,904,0.561719384,1,2880,24,14.912904,19.2,2,,0.25,4,1,0,-1,2.26,"LINESTRING (151.197 -33.852, 151.204 -33.858)"
2,2,33087,1,27,0.016777017,1,2880,23.14285714,14.38030029,19.2,2,,0.25,4,1,0,-1,0.07,"LINESTRING (151.226 -33.855, 151.225 -33.855)"
3,3,30799,1,257,0.159692347,1,2880,24.09375,14.97115753,19.2,2,,0.25,4,1,0,-1,0.64,"LINESTRING (151.206 -33.855, 151.205 -33.858)"
4,4,30800,1,123,0.076428633,1,2880,23.80645161,14.79263865,19.2,2,,0.25,4,1,0,-1,0.31,"LINESTRING (151.202 -33.861, 151.203 -33.861)"
5,5,6692,1,68,0.042253228,1,2880,24,14.912904,19.2,2,,0.25,4,1,0,-1,0.17,"LINESTRING (151.202 -33.864, 151.203 -33.864)"
6,6,30791,1,103,0.064001213,1,2880,23.76923077,14.76951069,19.2,2,,0.25,4,1,0,-1,0.26,"LINESTRING (151.202 -33.856, 151.203 -33.856)"
7,7,30801,1,68,0.042253228,1,2880,24,14.912904,19.2,2,,0.25,4,1,0,-1,0.17,"LINESTRING (151.202 -33.857, 151.202 -33.858)"
8,8,30789,1,33,0.020505243,1,2880,24.75,15.37893225,19.2,2,,0.25,4,1,0,-1,0.08,"LINESTRING (151.203 -33.857, 151.204 -33.857)"
9,9,30802,1,29,0.018019759,1,2880,24.85714286,15.44550771,19.2,2,,0.25,4,1,0,-1,0.07,"LINESTRING (151.204 -33.857, 151.204 -33.858)"
10,10,28781,1,66,0.041010486,1,2880,23.29411765,14.47428918,19.2,2,,0.25,4,1,0,-1,0.17,"LINESTRING (151.207 -33.856, 151.207 -33.856)"
11,11,27554,1,44,0.027340324,1,2880,24,14.912904,19.2,2,,0.25,4,1,0,-1,0.11,"LINESTRING (151.209 -33.857, 151.209 -33.858)"
12,12,30741,1,23,0.014291533,1,2880,23,14.291533,19.2,2,,0.25,4,1,0,-1,0.06,"LINESTRING (151.21 -33.858, 151.21 -33.858)"
13,13,27553,1,107,0.066486697,1,2880,23.77777778,14.77482156,19.2,2,,0.25,4,1,0,-1,0.27,"LINESTRING (151.209 -33.856, 151.208 -33.856)"
14,14,6706,1,69,0.042874599,1,2880,24.35294118,15.13221141,19.2,2,,0.25,4,1,0,-1,0.17,"LINESTRING (151.203 -33.858, 151.204 -33.858)"
15,15,27548,1,68,0.042253228,1,2880,24,14.912904,19.2,2,,0.25,4,1,0,-1,0.17,"LINESTRING (151.205 -33.858, 151.205 -33.859)"
16,16,27550,1,47,0.029204437,1,2880,23.5,14.6022185,19.2,2,,0.25,4,1,0,-1,0.12,"LINESTRING (151.207 -33.858, 151.206 -33.858)"
17,17,27557,1,138,0.085749198,1,2880,23.65714286,14.69986251,19.2,2,,0.25,4,1,0,-1,0.35,"LINESTRING (151.208 -33.858, 151.208 -33.859)"
18,18,30803,1,34,0.021126614,1,2880,22.66666667,14.08440933,19.2,2,,0.25,4,1,0,-1,0.09,"LINESTRING (151.209 -33.857, 151.209 -33.857)"
19,19,27555,1,51,0.031689921,1,2880,23.53846154,14.62611738,19.2,2,,0.25,4,1,0,-1,0.13,"LINESTRING (151.209 -33.859, 151.209 -33.858)"
20,20,31095,1,34,0.021126614,1,2880,22.66666667,14.08440933,19.2,2,,0.25,4,1,0,-1,0.09,"LINESTRING (151.209 -33.858, 151.209 -33.858)"
21,21,30788,1,30,0.01864113,1,2880,22.5,13.9808475,19.2,2,,0.25,4,1,0,-1,0.08,"LINESTRING (151.202 -33.858, 151.203 -33.858)"
22,22,30792,1,41,0.025476211,1,2880,24.6,15.2857266,19.2,2,,0.25,4,1,0,-1,0.1,"LINESTRING (151.203 -33.859, 151.203 -33.858)"
23,23,30965,1,59,0.036660889,1,2880,23.6,14.6643556,19.2,2,,0.25,4,1,0,-1,0.15,"LINESTRING (151.203 -33.86, 151.204 -33.86)"
24,24,27546,1,218,0.135458878,1,2880,23.78181818,14.77733215,19.2,2,,0.25,4,1,0,-1,0.55,"LINESTRING (151.204 -33.86, 151.204 -33.858)"
