o_zone_id,d_zone_id,volume
1,3,1
1,7,2
1,15,1
1,17,2
1,25,2
1,32,13
1,33,4
1,40,1
1,43,1
1,51,1
1,52,3
1,56,6
1,58,2
1,65,5
1,67,3
1,68,7
1,69,16
1,70,33
1,71,68
1,72,7
1,76,39
1,77,3
1,79,2
1,82,15
1,83,1
1,84,4
1,85,4
1,86,1
1,88,3
1,94,5
1,96,2
1,97,3
1,99,1
1,101,2
1,105,1
1,122,1
1,143,1
1,151,2
1,154,1
1,155,1
1,156,2
1,158,1
1,161,1
1,162,1
1,167,1
1,168,4
1,169,8
1,170,2
1,171,11
1,172,1
1,173,2
1,174,5
1,175,1
1,177,3
1,179,20
2,1,8
2,3,60
2,5,1
2,6,2
2,7,4
2,9,2
2,13,5
2,14,1
2,15,3
2,16,4
2,17,17
2,18,2
2,20,1
2,22,1
2,23,4
2,26,1
2,27,5
2,30,1
2,32,12
2,33,4
2,34,1
2,36,1
2,37,6
2,39,5
2,42,3
2,43,1
2,44,3
2,49,1
2,52,2
2,53,3
2,56,4
2,57,1
2,58,3
2,60,7
2,61,4
2,62,3
2,65,56
2,66,4
2,67,13
2,68,9
2,69,47
2,70,52
2,71,72
2,72,27
2,73,2
2,74,1
2,75,6
2,76,104
2,77,42
2,81,2
2,82,53
2,83,4
2,84,3
2,85,7
2,86,8
2,87,1
2,93,3
2,94,12
2,95,2
2,96,1
2,98,1
2,99,3
2,101,9
2,102,1
2,103,4
2,104,2
2,106,1
2,107,2
2,109,2
2,110,4
2,111,2
2,113,1
2,114,2
2,117,1
2,124,10
2,127,4
2,131,1
2,133,1
2,135,2
2,136,1
2,139,2
2,143,3
2,144,3
2,151,5
2,152,1
2,153,1
2,154,15
2,155,4
2,156,2
2,159,1
2,161,8
2,162,1
2,163,2
2,166,2
2,167,2
2,168,4
2,169,1
2,170,4
2,171,7
2,174,2
2,175,1
2,179,4
3,1,24
3,2,2
3,4,11
3,5,2
3,6,4
3,7,43
3,8,1
3,9,2
3,11,2
3,12,4
3,13,21
3,14,7
3,15,9
3,16,1
3,17,18
3,18,5
3,20,8
3,21,2
3,22,2
3,24,2
3,25,4
3,26,1
3,27,4
3,32,75
3,33,4
3,34,4
3,35,1
3,37,10
3,38,4
3,39,10
3,42,3
3,43,1
3,45,1
3,46,1
3,51,2
3,52,6
3,53,5
3,56,11
3,57,2
3,58,20
3,59,9
3,60,9
3,61,2
3,62,1
3,63,1
3,65,107
3,66,11
3,67,10
3,68,21
3,69,213
3,70,317
3,71,464
3,72,121
3,73,8
3,74,3
3,75,2
3,76,470
3,77,144
3,79,5
3,81,4
3,82,100
3,83,18
3,84,17
3,85,13
3,86,17
3,88,5
3,90,4
3,94,59
3,95,8
3,96,20
3,97,14
3,98,6
3,99,23
3,100,4
3,101,35
3,102,5
3,103,123
3,104,1
3,105,2
3,107,1
3,108,2
3,109,7
3,110,2
3,112,2
3,113,4
3,114,2
3,115,1
3,116,1
3,117,4
3,118,4
3,120,1
3,123,2
3,124,4
3,127,2
3,130,3
3,131,1
3,132,4
3,133,2
3,134,2
3,135,2
3,136,2
3,137,1
3,139,2
3,143,6
3,144,3
3,146,1
3,150,7
3,152,2
3,153,5
3,154,56
3,155,3
3,156,3
3,158,1
3,160,1
3,161,5
3,162,15
3,163,1
3,164,6
3,166,1
3,167,5
3,168,13
3,169,11
3,170,30
3,171,34
3,172,4
3,173,3
3,175,2
3,176,1
3,177,19
3,178,3
3,179,26
4,1,2
4,2,1
4,3,4
4,13,1
4,15,1
4,23,1
4,29,1
4,32,8
4,33,1
4,34,1
4,38,4
4,39,1
4,46,5
4,51,1
4,54,1
4,65,2
4,67,1
4,69,2
4,70,8
4,71,14
4,72,1
4,76,15
4,77,5
4,82,7
4,86,1
4,87,1
4,91,1
4,93,1
4,99,7
4,101,6
4,103,6
4,111,1
4,134,1
4,154,2
4,163,1
4,169,2
4,170,1
4,177,1
4,178,2
4,179,2
5,1,10
5,3,38
5,4,1
5,7,4
5,9,3
5,10,2
5,13,4
5,15,9
5,17,20
5,18,3
5,20,8
5,23,4
5,24,7
5,25,1
5,26,1
5,27,2
5,29,3
5,32,25
5,33,1
5,34,3
5,36,2
5,37,9
5,38,3
5,39,3
5,42,10
5,48,2
5,49,2
5,52,13
5,53,4
5,56,3
5,57,9
5,58,15
5,59,4
5,60,1
5,61,1
5,63,1
5,65,91
5,66,1
5,67,4
