node_id,zone_id,x_coord,y_coord,geometry
1,1,-77.06566526481483,38.92366849629629,POINT (-77.06566526481483 38.92366849629629)
2,2,-77.01156306363636,38.870137827272735,POINT (-77.01156306363636 38.870137827272735)
3,3,-76.99954512340426,38.87690502234042,POINT (-76.99954512340426 38.87690502234042)
4,4,-77.01742780547947,38.83799339589039,POINT (-77.01742780547947 38.83799339589039)
5,5,-76.98693562592592,38.84225622592593,POINT (-76.98693562592592 38.84225622592593)
6,6,-77.0175361357143,38.87059949285714,POINT (-77.0175361357143 38.87059949285714)
7,7,-76.99000754444444,38.88760241666666,POINT (-76.99000754444444 38.88760241666666)
8,8,-76.98613498148146,38.89611271111112,POINT (-76.98613498148146 38.89611271111112)
9,9,-76.98404856052632,38.89168416315791,POINT (-76.98404856052632 38.89168416315791)
10,10,-76.99108318571427,38.89820706666667,POINT (-76.99108318571427 38.89820706666667)
11,11,-76.99122271428571,38.90179848571428,POINT (-76.99122271428571 38.90179848571428)
12,12,-76.98596810666666,38.903786453333325,POINT (-76.98596810666666 38.903786453333325)
13,13,-76.99055845161291,38.911343583870966,POINT (-76.99055845161291 38.911343583870966)
14,14,-76.98287520800001,38.908017204,POINT (-76.98287520800001 38.908017204)
15,15,-76.986622288,38.920562234,POINT (-76.986622288 38.920562234)
16,16,-76.97485646373627,38.93648647472524,POINT (-76.97485646373627 38.93648647472524)
17,17,-76.9687834271318,38.921187421705405,POINT (-76.9687834271318 38.921187421705405)
18,18,-76.98031937692306,38.89637466923077,POINT (-76.98031937692306 38.89637466923077)
19,19,-76.97807473913045,38.904286991304346,POINT (-76.97807473913045 38.904286991304346)
20,20,-76.98754497333331,38.88356333,POINT (-76.98754497333331 38.88356333)
21,21,-76.98004951764707,38.88746957058824,POINT (-76.98004951764707 38.88746957058824)
22,22,-76.97589150588236,38.90085852941176,POINT (-76.97589150588236 38.90085852941176)
23,23,-76.9864336766234,38.93052842337664,POINT (-76.9864336766234 38.93052842337664)
24,24,-76.98491322307692,38.94326582115384,POINT (-76.98491322307692 38.94326582115384)
25,25,-76.99258433333333,38.893042322222215,POINT (-76.99258433333333 38.893042322222215)
26,26,-76.99056686666668,38.925187672222215,POINT (-76.99056686666668 38.925187672222215)
27,27,-77.00493520892857,38.96163473571428,POINT (-77.00493520892857 38.96163473571428)
28,28,-76.99759967272726,38.958182581818185,POINT (-76.99759967272726 38.958182581818185)
29,29,-76.99762285999999,38.95417231333332,POINT (-76.99762285999999 38.95417231333332)
30,30,-77.01608747599998,38.949699512,POINT (-77.01608747599998 38.949699512)
