link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,free_speed,vdf_free_speed_mph,vdf_fftt,vdf_toll,link_type,vdf_alpha,vdf_beta,vdf_plf,lanes,capacity,ref_volume,obs_volume,geometry
110,1,362,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.070884 38.922545)"
4581,1,364,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.0694935 38.9235725)"
4583,1,368,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.069847 38.926181)"
4585,1,370,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.068641 38.927525)"
4549,1,583,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.059528 38.918645)"
4623,1,584,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.063111 38.9213643)"
4625,1,1488,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.0631664 38.9214627)"
4587,1,1489,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.067579 38.924574)"
4589,1,1490,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.0672267 38.9244369)"
4591,1,1491,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.06788 38.924752)"
4593,1,1492,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.068694 38.925341)"
4595,1,1663,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.065259 38.9275306)"
4597,1,1665,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.0663868 38.9275309)"
4599,1,2346,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.067504 38.9275313)"
4601,1,5644,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.066353 38.924323)"
4603,1,5797,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.06566526481483 38.92366849629629, -77.0663818 38.926183)"
7149,2,1970,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.01156306363636 38.870137827272735, -77.009898 38.872033)"
7151,2,1971,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.01156306363636 38.870137827272735, -77.01065 38.872034)"
7153,2,1972,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.01156306363636 38.870137827272735, -77.0091295 38.8720346)"
7155,2,1973,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.01156306363636 38.870137827272735, -77.012168 38.8720269)"
7157,2,1974,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.01156306363636 38.870137827272735, -77.013672 38.872036)"
7159,2,2161,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.01156306363636 38.870137827272735, -77.005892 38.873761)"
7161,2,2163,1,0.0,0.0,5,3.10685596,0.0,0,0,0.5,1.5,1,1,99999,0.0,0,"LINESTRING (-77.01156306363636 38.870137827272735, -77.0058895 38.8729818)"
