link_id,from_node_id,to_node_id,geometry,vdf_length_mi,length,link_type,vdf_code,free_speed,vdf_free_speed_mph,vdf_fftt,capacity,dir_flag,lanes,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,vdf_tollsov,vdf_tollhov2,vdf_tollhov3,vdf_tollapv,vdf_tolltrk,vdf_tollcom
1,1,20266,"LINESTRING (-109.98145058369828 32.21379163282773, -109.97979864348085 32.213488752852705)",0.1,160.934,100,100,17,17,0.35,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20269,"LINESTRING (-109.98145058369828 32.21379163282773, -109.98299748036801 32.21355972370269)",0.09,144.8406,100,100,17,17,0.32,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
3,1,21599,"LINESTRING (-109.98145058369828 32.21379163282773, -109.98189655702875 32.21211928069566)",0.12,193.12079999999997,100,100,17,17,0.42,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
4,2,20280,"LINESTRING (-109.98069158854086 32.209336088901594, -109.9848452876108 32.21071605952806)",0.26,418.4284,100,100,17,17,0.92,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
5,2,20289,"LINESTRING (-109.98069158854086 32.209336088901594, -109.98252099551466 32.210108874371535)",0.12,193.12079999999997,100,100,17,17,0.42,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
6,2,20302,"LINESTRING (-109.98069158854086 32.209336088901594, -109.97329490023077 32.208760865762414)",0.44,708.1096,100,100,17,17,1.55,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
7,3,20333,"LINESTRING (-109.98377217926522 32.20398841803515, -109.97975948215583 32.20374835535226)",0.24,386.24159999999995,200,200,17,17,0.85,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
8,4,21401,"LINESTRING (-109.98733787971476 32.20014036894298, -109.9818666659923 32.19704465622433)",0.39,627.6426,300,300,23,23,1.02,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
9,5,20330,"LINESTRING (-109.96703665629575 32.20058739799483, -109.96742324464334 32.20110178519666)",0.04,64.3736,100,100,17,17,0.14,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
10,6,20329,"LINESTRING (-109.97241008506019 32.20325076625249, -109.9679857851802 32.20155017786455)",0.28,450.6152,200,200,17,17,0.99,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
11,6,20332,"LINESTRING (-109.97241008506019 32.20325076625249, -109.9737670719028 32.199781356635164)",0.25,402.335,200,200,17,17,0.88,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
12,7,21739,"LINESTRING (-109.9781050575123 32.21103608330839, -109.9816870189548 32.21117617119878)",0.21,337.96139999999997,100,100,17,17,0.74,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
13,7,21740,"LINESTRING (-109.9781050575123 32.21103608330839, -109.97321663036557 32.21183219962974)",0.29,466.70859999999993,100,100,17,17,1.02,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
14,8,20195,"LINESTRING (-109.97055151732575 32.213569300639094, -109.9709643531528 32.21513116194229)",0.11,177.0274,100,100,17,17,0.39,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
15,8,20246,"LINESTRING (-109.97055151732575 32.213569300639094, -109.97054785890333 32.21192029928009)",0.11,177.0274,100,100,17,17,0.39,3150,1,7,sov;hov2;hov3;trk;apv;com,0.133920652,4.549824952,0.727995535,0.0,0.0,0.0,0.0,0.0,0.0
