link_id,from_node_id,to_node_id,geometry,vdf_length_mi,length,link_type,vdf_code,free_speed,vdf_free_speed_mph,vdf_fftt,capacity,dir_flag,vdf_alpha,vdf_beta,lanes,vdf_tollsov,vdf_tollhov2,vdf_tollhov3,vdf_tollapv,vdf_tolltrk,vdf_tollcom,allowed_uses,vdf_plf
1,2400,38489,"LINESTRING (-77.593115 38.916173, -77.607979 38.937693)",1.69,2719.7846,500,500,35,35,2.9,3150,1,0.1,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
2,2401,38112,"LINESTRING (-77.634111 38.951535, -77.622328 38.955522)",0.69,1110.4445999999998,600,600,40,40,1.03,3150,1,0.1,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
3,2402,38491,"LINESTRING (-77.600503 38.950677, -77.584346 38.947135)",0.90045,1449.130203,500,500,35,35,1.54,3150,1,0.1,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
4,2402,55001,"LINESTRING (-77.600503 38.950677, -77.611957 38.944155)",0.78081,1256.5887653999998,500,500,35,35,1.34,3150,1,0.1,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
5,3723,38488,"LINESTRING (-77.625038 38.931782, -77.624237 38.936613)",0.34,547.1756,603,603,52,52,0.39,900,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
6,3724,38491,"LINESTRING (-77.580048 38.953013, -77.584346 38.947135)",0.51,820.7633999999999,504,504,40,40,0.76,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
7,3725,38112,"LINESTRING (-77.622657 38.969132, -77.622328 38.955522)",0.94,1512.7795999999998,603,603,52,52,1.08,900,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
8,3726,38490,"LINESTRING (-77.590441 38.930341, -77.606145 38.937861)",1.0,1609.34,504,504,40,40,1.5,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
9,38112,2401,"LINESTRING (-77.622328 38.955522, -77.634111 38.951535)",0.69,1110.4445999999998,600,600,40,40,1.03,3150,1,0.1,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
10,38112,3725,"LINESTRING (-77.622328 38.955522, -77.622657 38.969132)",0.94,1512.7795999999998,603,603,52,52,1.08,900,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
