link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,from_biway,vdf_free_speed_in_mph,is_link
1,,,1,7348,,"LINESTRING (-112.26379718467103 33.4940805657068, -112.263857 33.5085594)",1,1605.906523,,0,90,1,99999,,,0,0.15,4,1,0.998077391,,55,1.070604349,,,,,connector,1,55.9235463,0
2,,,1,7349,,"LINESTRING (-112.26379718467103 33.4940805657068, -112.263858 33.5012397)",1,794.0636473,,0,90,1,99999,,,0,0.15,4,1,0.493513765,,55,0.529375765,,,,,connector,1,55.9235463,0
3,,,2,4805,,"LINESTRING (-112.1777977522187 33.6614529727241, -112.170163 33.6678547)",1,1002.784948,,0,90,1,99999,,,0,0.15,4,1,0.623234896,,55,0.668523299,,,,,connector,1,55.9235463,0
4,,,2,6191,,"LINESTRING (-112.1777977522187 33.6614529727241, -112.1758891 33.6630131)",1,247.5520434,,0,90,1,99999,,,0,0.15,4,1,0.153854595,,55,0.165034696,,,,,connector,1,55.9235463,0
5,,,2,13447,,"LINESTRING (-112.1777977522187 33.6614529727241, -112.1711851 33.6545571)",1,980.4133003,,0,90,1,99999,,,0,0.15,4,1,0.609330827,,55,0.653608867,,,,,connector,1,55.9235463,0
6,,,3,4624,,"LINESTRING (-112.13304168571418 33.724001638248104, -112.1301714 33.7400941)",1,1804.648057,,0,90,1,99999,,,0,0.15,4,1,1.121596058,,55,1.203098705,,,,,connector,1,55.9235463,0
7,,,3,4658,,"LINESTRING (-112.13304168571418 33.724001638248104, -112.1212183 33.7255441)",1,1109.086317,,0,90,1,99999,,,0,0.15,4,1,0.689301626,,55,0.739390878,,,,,connector,1,55.9235463,0
8,,,3,8058,,"LINESTRING (-112.13304168571418 33.724001638248104, -112.1212414 33.725737)",1,1110.477872,,0,90,1,99999,,,0,0.15,4,1,0.690166484,,55,0.740318582,,,,,connector,1,55.9235463,0
9,,,3,17706,,"LINESTRING (-112.13304168571418 33.724001638248104, -112.1171522 33.7567087)",1,3915.205225,,0,90,1,99999,,,0,0.15,4,1,2.433315864,,55,2.610136817,,,,,connector,1,55.9235463,0
10,,,4,1278,,"LINESTRING (-111.9344537491082 33.60439497184748, -111.9346005 33.6003899)",1,444.4322043,,0,90,1,99999,,,0,0.15,4,1,0.27621641,,55,0.296288136,,,,,connector,1,55.9235463,0
11,,,4,18814,,"LINESTRING (-111.9344537491082 33.60439497184748, -111.925889 33.6039731)",1,796.2795908,,0,90,1,99999,,,0,0.15,4,1,0.494890982,,55,0.530853061,,,,,connector,1,55.9235463,0
12,,,5,18550,,"LINESTRING (-111.98743011433746 33.60534327109193, -111.9865047 33.6057596)",1,97.51396407,,0,90,1,99999,,,0,0.15,4,1,0.060605323,,55,0.065009309,,,,,connector,1,55.9235463,0
13,,,6,4553,,"LINESTRING (-112.12582783752175 33.37041542783105, -112.1175497 33.3739872)",1,866.2444719,,0,90,1,99999,,,0,0.15,4,1,0.538374439,,55,0.577496315,,,,,connector,1,55.9235463,0
14,,,6,4554,,"LINESTRING (-112.12582783752175 33.37041542783105, -112.1176544 33.3612974)",1,1265.432365,,0,90,1,99999,,,0,0.15,4,1,0.786471327,,55,0.843621576,,,,,connector,1,55.9235463,0
15,,,6,16564,,"LINESTRING (-112.12582783752175 33.37041542783105, -112.1337278 33.3770494)",1,1040.104621,,0,90,1,99999,,,0,0.15,4,1,0.646429224,,55,0.69340308,,,,,connector,1,55.9235463,0
16,,,6,18239,,"LINESTRING (-112.12582783752175 33.37041542783105, -112.1174705 33.3746965)",1,911.2094732,,0,90,1,99999,,,0,0.15,4,1,0.566320369,,55,0.607472982,,,,,connector,1,55.9235463,0
17,,,7,15401,,"LINESTRING (-112.14365109927176 33.70552646277679, -112.1349991 33.7054218)",1,802.14518,,0,90,1,99999,,,0,0.15,4,1,0.49853647,,55,0.534763453,,,,,connector,1,55.9235463,0
18,,,8,6785,,"LINESTRING (-112.03456630083778 33.50204868386002, -112.0345447 33.5057315)",1,408.4788025,,0,90,1,99999,,,0,0.15,4,1,0.253871226,,55,0.272319202,,,,,connector,1,55.9235463,0
19,,,9,1133,,"LINESTRING (-112.16712173718902 33.920228995811016, -112.1464621 33.8971902)",1,3190.793003,,0,90,1,99999,,,0,0.15,4,1,1.983090742,,55,2.127195335,,,,,connector,1,55.9235463,0
20,,,9,1187,,"LINESTRING (-112.16712173718902 33.920228995811016, -112.1466662 33.9018798)",1,2778.701998,,0,90,1,99999,,,0,0.15,4,1,1.726974517,,55,1.852467998,,,,,connector,1,55.9235463,0
21,,,9,1802,,"LINESTRING (-112.16712173718902 33.920228995811016, -112.1456024 33.9133933)",1,2129.549442,,0,90,1,99999,,,0,0.15,4,1,1.323523581,,55,1.419699628,,,,,connector,1,55.9235463,0
22,,,9,1803,,"LINESTRING (-112.16712173718902 33.920228995811016, -112.1462199 33.9062506)",1,2477.986816,,0,90,1,99999,,,0,0.15,4,1,1.540078817,,55,1.651991211,,,,,connector,1,55.9235463,0
23,,,9,3934,,"LINESTRING (-112.16712173718902 33.920228995811016, -112.1463142 33.901793)",1,2807.970393,,0,90,1,99999,,,0,0.15,4,1,1.745164943,,55,1.871980262,,,,,connector,1,55.9235463,0
24,,,9,17481,,"LINESTRING (-112.16712173718902 33.920228995811016, -112.1453552 33.9169437)",1,2045.534273,,0,90,1,99999,,,0,0.15,4,1,1.271307814,,55,1.363689515,,,,,connector,1,55.9235463,0
25,,,9,17682,,"LINESTRING (-112.16712173718902 33.920228995811016, -112.1649655 33.8842105)",1,4000.168424,,0,90,1,99999,,,0,0.15,4,1,2.486120835,,55,2.666778949,,,,,connector,1,55.9235463,0
