name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
100,1000001,1000001,-111.986084,33.640483,3,170,stop,,,,Valley Metro,POINT (-111.986084 33.640483),0,,
1002,1000002,1000002,-112.200947,33.563532,3,90,stop,,,,Valley Metro,POINT (-112.200947 33.563532),0,,
1003,1000003,1000003,-112.085804,33.400036,3,52,stop,,,,Valley Metro,POINT (-112.085804 33.400036),0,,
1004,1000004,1000004,-112.098529,33.377644,3,77,stop,,,,Valley Metro,POINT (-112.098529 33.377644),0,,
1005,1000005,1000005,-112.133145,33.377511,3,35,stop,,,,Valley Metro,POINT (-112.133145 33.377511),0,,
1006,1000006,1000006,-112.082137,33.377608,3,77,stop,,,,Valley Metro,POINT (-112.082137 33.377608),0,,
1007,1000007,1000007,-111.955421,33.378079,3,77,stop,,,,Valley Metro,POINT (-111.955421 33.378079),0,,
1008,1000008,1000008,-112.091452,33.377614,3,77,stop,,,,Valley Metro,POINT (-112.091452 33.377614),0,,
1009,1000009,1000009,-112.118008,33.377545,3,35,stop,,,,Valley Metro,POINT (-112.118008 33.377545),1,,
101,1000010,1000010,-111.979856,33.640439,3,170,stop,,,,Valley Metro,POINT (-111.979856 33.640439),0,,
1010,1000011,1000011,-112.121448,33.377575,3,35,stop,,,,Valley Metro,POINT (-112.121448 33.377575),0,,
1011,1000012,1000012,-112.078664,33.377642,3,8,stop,,,,Valley Metro,POINT (-112.078664 33.377642),0,,
1012,1000013,1000013,-111.977727,33.378033,3,48,stop,,,,Valley Metro,POINT (-111.977727 33.378033),0,,
1013,1000014,1000014,-111.958156,33.378097,3,77,stop,,,,Valley Metro,POINT (-111.958156 33.378097),0,,
10131,1000015,1000015,-111.833231,33.275377,3,112,stop,,,,Valley Metro,POINT (-111.833231 33.275377),1,,
10133,1000016,1000016,-112.171956,33.552582,3,GUS3,stop,,,,Valley Metro,POINT (-112.171956 33.552582),1,,
1014,1000017,1000017,-111.877068,33.378382,3,77,stop,,,,Valley Metro,POINT (-111.877068 33.378382),0,,
10142,1000018,1000018,-112.069363,33.567123,3,SMRT,stop,,,,Valley Metro,POINT (-112.069363 33.567123),0,,
1015,1000019,1000019,-112.065362,33.655258,3,7,stop,,,,Valley Metro,POINT (-112.065362 33.655258),0,,
1016,1000020,1000020,-111.945454,33.378007,3,77,stop,,,,Valley Metro,POINT (-111.945454 33.378007),0,,
1017,1000021,1000021,-111.868382,33.378498,3,77,stop,,,,Valley Metro,POINT (-111.868382 33.378498),0,,
1018,1000022,1000022,-111.872707,33.37847,3,77,stop,,,,Valley Metro,POINT (-111.872707 33.37847),0,,
1019,1000023,1000023,-112.065462,33.65909,3,7,stop,,,,Valley Metro,POINT (-112.065462 33.65909),0,,
102,1000024,1000024,-111.968269,33.640369,3,170,stop,,,,Valley Metro,POINT (-111.968269 33.640369),0,,
