node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,resolution_type
300000,,-156.689727,20.93653,,,0,0.1,0.1,POINT (-156.689727 20.936530),Macro
300001,,-156.689724,20.939155,,,0,0.1,0.1,POINT (-156.689724 20.939155),Macro
300002,,-156.679321,20.880145,,,0,0.1,0.1,POINT (-156.679321 20.880145),Macro
300003,,-156.678633,20.88102,,,0,0.1,0.1,POINT (-156.678633 20.881020),Macro
300004,,-150.123363,62.391744,,,0,0.1,0.1,POINT (-150.123363 62.391744),Macro
300005,,-150.122169,62.441817,,,0,0.1,0.1,POINT (-150.122169 62.441817),Macro
300006,,-150.121532,62.404837,,,0,0.1,0.1,POINT (-150.121532 62.404837),Macro
300007,,-150.115537,62.459963,,,0,0.1,0.1,POINT (-150.115537 62.459963),Macro
300008,,-150.114946,62.325599,,,0,0.1,0.1,POINT (-150.114946 62.325599),Macro
300009,,-150.114079,62.325189,,,0,0.1,0.1,POINT (-150.114079 62.325189),Macro
300010,,-150.106895,62.321686,,,0,0.1,0.1,POINT (-150.106895 62.321686),Macro
300011,,-150.102979,62.315283,,,0,0.1,0.1,POINT (-150.102979 62.315283),Macro
300012,,-150.080574,62.15004,,,0,0.1,0.1,POINT (-150.080574 62.150040),Macro
300013,,-150.076449,62.068845,,,0,0.1,0.1,POINT (-150.076449 62.068845),Macro
300014,,-150.076253,62.166408,,,0,0.1,0.1,POINT (-150.076253 62.166408),Macro
300015,,-150.075836,62.081358,,,0,0.1,0.1,POINT (-150.075836 62.081358),Macro
300016,,-150.073386,61.856137,,,0,0.1,0.1,POINT (-150.073386 61.856137),Macro
300017,,-150.071885,61.860821,,,0,0.1,0.1,POINT (-150.071885 61.860821),Macro
300018,,-150.048176,61.756813,,,0,0.1,0.1,POINT (-150.048176 61.756813),Macro
300019,,-150.045937,61.744586,,,0,0.1,0.1,POINT (-150.045937 61.744586),Macro
300020,,-150.043792,61.745341,,,0,0.1,0.1,POINT (-150.043792 61.745341),Macro
300021,,-150.043643,61.747439,,,0,0.1,0.1,POINT (-150.043643 61.747439),Macro
300022,,-150.043025,61.74629,,,0,0.1,0.1,POINT (-150.043025 61.746290),Macro
300023,,-150.042859,61.985503,,,0,0.1,0.1,POINT (-150.042859 61.985503),Macro
300024,,-150.042098,61.980744,,,0,0.1,0.1,POINT (-150.042098 61.980744),Macro
300025,,-150.041725,61.745269,,,0,0.1,0.1,POINT (-150.041725 61.745269),Macro
300026,,-150.037378,61.742323,,,0,0.1,0.1,POINT (-150.037378 61.742323),Macro
300027,,-150.033755,61.738189,,,0,0.1,0.1,POINT (-150.033755 61.738189),Macro
300028,,-150.018455,62.606507,,,0,0.1,0.1,POINT (-150.018455 62.606507),Macro
300029,,-150.016483,62.61,,,0,0.1,0.1,POINT (-150.016483 62.610000),Macro
300030,,-150.015981,62.611642,,,0,0.1,0.1,POINT (-150.015981 62.611642),Macro
300031,,-150.013981,62.610707,,,0,0.1,0.1,POINT (-150.013981 62.610707),Macro
300032,,-150.013222,62.615451,,,0,0.1,0.1,POINT (-150.013222 62.615451),Macro
300033,,-150.012909,62.61076,,,0,0.1,0.1,POINT (-150.012909 62.610760),Macro
300034,,-149.980557,61.174371,,,0,0.1,0.1,POINT (-149.980557 61.174371),Macro
300035,,-149.942077,61.27976,,,0,0.1,0.1,POINT (-149.942077 61.279760),Macro
300036,,-149.917743,61.174872,,,0,0.1,0.1,POINT (-149.917743 61.174872),Macro
300037,,-149.916567,61.180553,,,0,0.1,0.1,POINT (-149.916567 61.180553),Macro
300038,,-149.91541,61.178869,,,0,0.1,0.1,POINT (-149.915410 61.178869),Macro
300039,,-149.912231,61.174876,,,0,0.1,0.1,POINT (-149.912231 61.174876),Macro
300040,,-149.91191,61.17461,,,0,0.1,0.1,POINT (-149.911910 61.174610),Macro
300041,,-149.903758,61.168617,,,0,0.1,0.1,POINT (-149.903758 61.168617),Macro
300042,,-149.90298,61.22069,,,0,0.1,0.1,POINT (-149.902980 61.220690),Macro
300043,,-149.891255,61.234698,,,0,0.1,0.1,POINT (-149.891255 61.234698),Macro
300044,,-149.891168,61.234839,,,0,0.1,0.1,POINT (-149.891168 61.234839),Macro
300045,,-149.891095,61.228916,,,0,0.1,0.1,POINT (-149.891095 61.228916),Macro
300046,,-149.890887,61.232085,,,0,0.1,0.1,POINT (-149.890887 61.232085),Macro
300047,,-149.890863,61.230942,,,0,0.1,0.1,POINT (-149.890863 61.230942),Macro
300048,,-149.890542,61.223977,,,0,0.1,0.1,POINT (-149.890542 61.223977),Macro
300049,,-149.890433,61.226685,,,0,0.1,0.1,POINT (-149.890433 61.226685),Macro
300050,,-149.890245,61.226904,,,0,0.1,0.1,POINT (-149.890245 61.226904),Macro
300051,,-149.88995,61.2241,,,0,0.1,0.1,POINT (-149.889950 61.224100),Macro
300052,,-149.889721,61.22591,,,0,0.1,0.1,POINT (-149.889721 61.225910),Macro
300053,,-149.888484,61.221849,,,0,0.1,0.1,POINT (-149.888484 61.221849),Macro
300054,,-149.887444,61.235199,,,0,0.1,0.1,POINT (-149.887444 61.235199),Macro
300055,,-149.887334,61.23581,,,0,0.1,0.1,POINT (-149.887334 61.235810),Macro
300057,,-149.885685,61.159578,,,0,0.1,0.1,POINT (-149.885685 61.159578),Macro
300058,,-149.885534,61.243792,,,0,0.1,0.1,POINT (-149.885534 61.243792),Macro
300061,,-149.88458,61.235919,,,0,0.1,0.1,POINT (-149.884580 61.235919),Macro
300064,,-149.883429,61.240951,,,0,0.1,0.1,POINT (-149.883429 61.240951),Macro
300068,,-149.87862,61.155987,,,0,0.1,0.1,POINT (-149.878620 61.155987),Macro
300069,,-149.878027,61.14091,,,0,0.1,0.1,POINT (-149.878027 61.140910),Macro
300071,,-149.874357,61.150963,,,0,0.1,0.1,POINT (-149.874357 61.150963),Macro
300072,,-149.874244,61.150678,,,0,0.1,0.1,POINT (-149.874244 61.150678),Macro
300074,,-149.872175,61.133645,,,0,0.1,0.1,POINT (-149.872175 61.133645),Macro
300075,,-149.872057,61.137894,,,0,0.1,0.1,POINT (-149.872057 61.137894),Macro
300076,,-149.872013,61.13801,,,0,0.1,0.1,POINT (-149.872013 61.138010),Macro
300077,,-149.871629,61.135422,,,0,0.1,0.1,POINT (-149.871629 61.135422),Macro
300078,,-149.871552,61.134949,,,0,0.1,0.1,POINT (-149.871552 61.134949),Macro
300079,,-149.871261,61.129598,,,0,0.1,0.1,POINT (-149.871261 61.129598),Macro
300080,,-149.871219,61.129859,,,0,0.1,0.1,POINT (-149.871219 61.129859),Macro
300081,,-149.871212,61.222366,,,0,0.1,0.1,POINT (-149.871212 61.222366),Macro
300082,,-149.871129,61.129405,,,0,0.1,0.1,POINT (-149.871129 61.129405),Macro
300084,,-149.870905,61.130951,,,0,0.1,0.1,POINT (-149.870905 61.130951),Macro
300085,,-149.870431,61.128851,,,0,0.1,0.1,POINT (-149.870431 61.128851),Macro
300086,,-149.870026,61.129801,,,0,0.1,0.1,POINT (-149.870026 61.129801),Macro
300087,,-149.869942,61.124633,,,0,0.1,0.1,POINT (-149.869942 61.124633),Macro
300089,,-149.869728,61.12093,,,0,0.1,0.1,POINT (-149.869728 61.120930),Macro
300090,,-149.869478,61.119586,,,0,0.1,0.1,POINT (-149.869478 61.119586),Macro
300092,,-149.868385,61.115368,,,0,0.1,0.1,POINT (-149.868385 61.115368),Macro
300093,,-149.864711,61.108338,,,0,0.1,0.1,POINT (-149.864711 61.108338),Macro
300094,,-149.861129,61.224709,,,0,0.1,0.1,POINT (-149.861129 61.224709),Macro
300097,,-149.854879,61.637243,,,0,0.1,0.1,POINT (-149.854879 61.637243),Macro
300099,,-149.84706,61.2271,,,0,0.1,0.1,POINT (-149.847060 61.227100),Macro
300100,,-149.84469,61.2277,,,0,0.1,0.1,POINT (-149.844690 61.227700),Macro
300101,,-149.839997,61.63223,,,0,0.1,0.1,POINT (-149.839997 61.632230),Macro
300102,,-149.839152,61.223417,,,0,0.1,0.1,POINT (-149.839152 61.223417),Macro
300106,,-149.82574,61.23315,,,0,0.1,0.1,POINT (-149.825740 61.233150),Macro
300107,,-149.82119,62.70317,,,0,0.1,0.1,POINT (-149.821190 62.703170),Macro
300108,,-149.8198,61.62442,,,0,0.1,0.1,POINT (-149.819800 61.624420),Macro
300109,,-149.817373,61.618552,,,0,0.1,0.1,POINT (-149.817373 61.618552),Macro
300110,,-149.80165,61.61855,,,0,0.1,0.1,POINT (-149.801650 61.618550),Macro
300111,,-149.799248,61.053818,,,0,0.1,0.1,POINT (-149.799248 61.053818),Macro
300112,,-149.798451,61.239193,,,0,0.1,0.1,POINT (-149.798451 61.239193),Macro
300113,,-149.795711,61.050321,,,0,0.1,0.1,POINT (-149.795711 61.050321),Macro
300114,,-149.763161,61.254014,,,0,0.1,0.1,POINT (-149.763161 61.254014),Macro
300115,,-149.762491,61.252003,,,0,0.1,0.1,POINT (-149.762491 61.252003),Macro
300116,,-149.743598,61.268686,,,0,0.1,0.1,POINT (-149.743598 61.268686),Macro
300117,,-149.733961,61.261962,,,0,0.1,0.1,POINT (-149.733961 61.261962),Macro
300118,,-149.731501,61.262772,,,0,0.1,0.1,POINT (-149.731501 61.262772),Macro
300127,,-149.721896,61.26097,,,0,0.1,0.1,POINT (-149.721896 61.260970),Macro
300128,,-149.717546,61.262055,,,0,0.1,0.1,POINT (-149.717546 61.262055),Macro
300129,,-149.716644,61.262378,,,0,0.1,0.1,POINT (-149.716644 61.262378),Macro
300130,,-149.715775,61.262723,,,0,0.1,0.1,POINT (-149.715775 61.262723),Macro
300131,,-149.715658,61.264509,,,0,0.1,0.1,POINT (-149.715658 61.264509),Macro
300132,,-149.715289,61.272628,,,0,0.1,0.1,POINT (-149.715289 61.272628),Macro
300133,,-149.71396,61.263411,,,0,0.1,0.1,POINT (-149.713960 61.263411),Macro
300134,,-149.713925,61.269984,,,0,0.1,0.1,POINT (-149.713925 61.269984),Macro
300135,,-149.713441,62.742215,,,0,0.1,0.1,POINT (-149.713441 62.742215),Macro
300136,,-149.713083,61.271213,,,0,0.1,0.1,POINT (-149.713083 61.271213),Macro
300137,,-149.712783,61.263716,,,0,0.1,0.1,POINT (-149.712783 61.263716),Macro
300138,,-149.712612,61.271791,,,0,0.1,0.1,POINT (-149.712612 61.271791),Macro
300139,,-149.712091,61.272025,,,0,0.1,0.1,POINT (-149.712091 61.272025),Macro
300140,,-149.711201,61.25637,,,0,0.1,0.1,POINT (-149.711201 61.256370),Macro
300141,,-149.710934,61.272692,,,0,0.1,0.1,POINT (-149.710934 61.272692),Macro
300142,,-149.710799,61.258685,,,0,0.1,0.1,POINT (-149.710799 61.258685),Macro
300143,,-149.710792,61.250102,,,0,0.1,0.1,POINT (-149.710792 61.250102),Macro
300144,,-149.71077,61.252856,,,0,0.1,0.1,POINT (-149.710770 61.252856),Macro
300145,,-149.710769,61.253384,,,0,0.1,0.1,POINT (-149.710769 61.253384),Macro
300146,,-149.710765,61.256509,,,0,0.1,0.1,POINT (-149.710765 61.256509),Macro
300147,,-149.710708,61.250531,,,0,0.1,0.1,POINT (-149.710708 61.250531),Macro
300148,,-149.710513,61.264101,,,0,0.1,0.1,POINT (-149.710513 61.264101),Macro
300149,,-149.710329,61.272951,,,0,0.1,0.1,POINT (-149.710329 61.272951),Macro
300150,,-149.709987,61.264146,,,0,0.1,0.1,POINT (-149.709987 61.264146),Macro
300151,,-149.7097,61.273177,,,0,0.1,0.1,POINT (-149.709700 61.273177),Macro
300152,,-149.709501,61.264184,,,0,0.1,0.1,POINT (-149.709501 61.264184),Macro
300153,,-149.709459,61.271111,,,0,0.1,0.1,POINT (-149.709459 61.271111),Macro
300154,,-149.709231,61.245579,,,0,0.1,0.1,POINT (-149.709231 61.245579),Macro
300155,,-149.709173,61.245594,,,0,0.1,0.1,POINT (-149.709173 61.245594),Macro
