link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry,Unnamed: 15,yard_id
,,421545,421544,,1,1,0.0206,1,60.0,2000.0,,,,"LINESTRING (-86.789224 33.565971, -86.789245 33.565673)",,1
,,421538,421533,,1,1,0.02066,1,60.0,2000.0,,,,"LINESTRING (-86.789316 33.565402, -86.789361 33.565105)",,1
,,421549,421537,,1,1,0.17323,0,60.0,2000.0,,,,"LINESTRING (-86.789185 33.565715, -86.789328 33.563204)",,1
,,421549,421541,,1,1,0.17366,0,60.0,2000.0,,,,"LINESTRING (-86.789185 33.565715, -86.789286 33.563198)",,1
,,421533,421524,,1,1,0.19813,1,60.0,2000.0,,,,"LINESTRING (-86.789361 33.565105, -86.789555 33.562236)",,1
,,421529,421524,,1,1,0.17779,0,60.0,2000.0,,,,"LINESTRING (-86.789414 33.564813, -86.789555 33.562236)",,1
,,421532,421515,,1,1,0.2165,0,60.0,2000.0,,,,"LINESTRING (-86.789382 33.565209, -86.789643 33.562080)",,1
,,421529,421519,,1,1,0.19289,0,60.0,2000.0,,,,"LINESTRING (-86.789414 33.564813, -86.789595 33.562021)",,1
,,421544,421531,,1,1,0.18734,1,60.0,2000.0,,,,"LINESTRING (-86.789245 33.565673, -86.789390 33.562957)",,1
,,421524,421519,,1,1,0.01498,1,60.0,2000.0,,,,"LINESTRING (-86.789555 33.562236, -86.789595 33.562021)",,1
,,421533,421529,,1,1,0.02032,0,60.0,2000.0,,,,"LINESTRING (-86.789361 33.565105, -86.789414 33.564813)",,1
,,421532,421515,,1,1,0.21723,1,60.0,2000.0,,,,"LINESTRING (-86.789382 33.565209, -86.789643 33.562080)",,1
,,421544,421538,,1,1,0.0191,1,60.0,2000.0,,,,"LINESTRING (-86.789245 33.565673, -86.789316 33.565402)",,1
,,421538,421532,,1,1,0.01385,1,60.0,2000.0,,,,"LINESTRING (-86.789316 33.565402, -86.789382 33.565209)",,1
,,437202,437181,,1,1,0.89121,1,60.0,2000.0,,,,"LINESTRING (-83.680887 42.062699, -83.685437 42.075158)",,2
,,437202,437181,,1,1,0.89184,0,60.0,2000.0,,,,"LINESTRING (-83.680887 42.062699, -83.685437 42.075158)",,2
