link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry,Unnamed: 15,yard_id,direction
,,421552,421545,,1,1,0.093,1,60.0,2000.0,,,,"LINESTRING (-86.789150 33.567319, -86.789224 33.565971)",,1,in
,,421551,421549,,1,1,0.03643,0,60.0,2000.0,,,,"LINESTRING (-86.789160 33.566243, -86.789185 33.565715)",,1,in
,,421572,421558,,1,1,0.95632,2,60.0,2000.0,,,,"LINESTRING (-86.788418 33.578197, -86.788997 33.564333)",,1,in
,,421527,421558,,1,1,0.6325,2,60.0,2000.0,,,,"LINESTRING (-86.789488 33.555164, -86.788997 33.564333)",,1,in
,,421531,421505,,1,1,0.17943,1,60.0,2000.0,,,,"LINESTRING (-86.789390 33.562957, -86.789860 33.560409)",,1,out
,,421545,421551,,1,1,0.01909,1,60.0,2000.0,,,,"LINESTRING (-86.789224 33.565971, -86.789160 33.566243)",,1,out
,,421519,421514,,1,1,0.01678,1,60.0,2000.0,,,,"LINESTRING (-86.789595 33.562021, -86.789647 33.561782)",,1,out
,,421531,421534,,1,1,0.16441,0,60.0,2000.0,,,,"LINESTRING (-86.789390 33.562957, -86.789349 33.560575)",,1,out
,,421515,421514,,1,1,0.02053,1,60.0,2000.0,,,,"LINESTRING (-86.789643 33.562080, -86.789647 33.561782)",,1,out
,,437179,437181,,1,1,0.11664,1,60.0,2000.0,,,,"LINESTRING (-83.686026 42.076790, -83.685437 42.075158)",,2,in
,,437344,437202,,1,1,4.59182,1,60.0,2000.0,,,,"LINESTRING (-83.657753 41.998442, -83.680887 42.062699)",,2,in
,,437181,437182,,1,1,0.17894,1,60.0,2000.0,,,,"LINESTRING (-83.685437 42.075158, -83.684644 42.077534)",,2,out
,,438348,438278,,1,1,0.6831,2,60.0,2000.0,,,,"LINESTRING (-83.510529 41.694802, -83.517691 41.702898)",,3,in
,,438349,438362,,1,1,0.30128,1,60.0,2000.0,,,,"LINESTRING (-83.510074 41.691670, -83.507499 41.687756)",,3,out
,,438275,438258,,1,1,0.29702,2,60.0,2000.0,,,,"LINESTRING (-83.518050 41.703412, -83.520668 41.707243)",,3,out
,,438349,438348,,1,1,0.22131,1,60.0,2000.0,,,,"LINESTRING (-83.510074 41.691670, -83.510529 41.694802)",,3,out
,,438426,438362,,1,1,0.55889,1,60.0,2000.0,,,,"LINESTRING (-83.502560 41.680554, -83.507499 41.687756)",,4,in
,,438423,438416,,1,1,0.04365,0,60.0,2000.0,,,,"LINESTRING (-83.502816 41.680836, -83.503290 41.681359)",,4,in
