node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
300000,,-156.689727,20.936530,,,0,0.100000,0.100000,"POINT (-156.689727 20.936530)"
300001,,-156.689724,20.939155,,,0,0.100000,0.100000,"POINT (-156.689724 20.939155)"
300002,,-156.679321,20.880145,,,0,0.100000,0.100000,"POINT (-156.679321 20.880145)"
300003,,-156.678633,20.881020,,,0,0.100000,0.100000,"POINT (-156.678633 20.881020)"
300004,,-150.123363,62.391744,,,0,0.100000,0.100000,"POINT (-150.123363 62.391744)"
300005,,-150.122169,62.441817,,,0,0.100000,0.100000,"POINT (-150.122169 62.441817)"
300006,,-150.121532,62.404837,,,0,0.100000,0.100000,"POINT (-150.121532 62.404837)"
300007,,-150.115537,62.459963,,,0,0.100000,0.100000,"POINT (-150.115537 62.459963)"
300008,,-150.114946,62.325599,,,0,0.100000,0.100000,"POINT (-150.114946 62.325599)"
300009,,-150.114079,62.325189,,,0,0.100000,0.100000,"POINT (-150.114079 62.325189)"
300010,,-150.106895,62.321686,,,0,0.100000,0.100000,"POINT (-150.106895 62.321686)"
300011,,-150.102979,62.315283,,,0,0.100000,0.100000,"POINT (-150.102979 62.315283)"
300012,,-150.080574,62.150040,,,0,0.100000,0.100000,"POINT (-150.080574 62.150040)"
300013,,-150.076449,62.068845,,,0,0.100000,0.100000,"POINT (-150.076449 62.068845)"
300014,,-150.076253,62.166408,,,0,0.100000,0.100000,"POINT (-150.076253 62.166408)"
300015,,-150.075836,62.081358,,,0,0.100000,0.100000,"POINT (-150.075836 62.081358)"
300016,,-150.073386,61.856137,,,0,0.100000,0.100000,"POINT (-150.073386 61.856137)"
300017,,-150.071885,61.860821,,,0,0.100000,0.100000,"POINT (-150.071885 61.860821)"
300018,,-150.048176,61.756813,,,0,0.100000,0.100000,"POINT (-150.048176 61.756813)"
300019,,-150.045937,61.744586,,,0,0.100000,0.100000,"POINT (-150.045937 61.744586)"
300020,,-150.043792,61.745341,,,0,0.100000,0.100000,"POINT (-150.043792 61.745341)"
300021,,-150.043643,61.747439,,,0,0.100000,0.100000,"POINT (-150.043643 61.747439)"
300022,,-150.043025,61.746290,,,0,0.100000,0.100000,"POINT (-150.043025 61.746290)"
300023,,-150.042859,61.985503,,,0,0.100000,0.100000,"POINT (-150.042859 61.985503)"
300024,,-150.042098,61.980744,,,0,0.100000,0.100000,"POINT (-150.042098 61.980744)"
300025,,-150.041725,61.745269,,,0,0.100000,0.100000,"POINT (-150.041725 61.745269)"
300026,,-150.037378,61.742323,,,0,0.100000,0.100000,"POINT (-150.037378 61.742323)"
300027,,-150.033755,61.738189,,,0,0.100000,0.100000,"POINT (-150.033755 61.738189)"
300028,,-150.018455,62.606507,,,0,0.100000,0.100000,"POINT (-150.018455 62.606507)"
300029,,-150.016483,62.610000,,,0,0.100000,0.100000,"POINT (-150.016483 62.610000)"
300030,,-150.015981,62.611642,,,0,0.100000,0.100000,"POINT (-150.015981 62.611642)"
300031,,-150.013981,62.610707,,,0,0.100000,0.100000,"POINT (-150.013981 62.610707)"
300032,,-150.013222,62.615451,,,0,0.100000,0.100000,"POINT (-150.013222 62.615451)"
300033,,-150.012909,62.610760,,,0,0.100000,0.100000,"POINT (-150.012909 62.610760)"
300034,,-149.980557,61.174371,,,0,0.100000,0.100000,"POINT (-149.980557 61.174371)"
300035,,-149.942077,61.279760,,,0,0.100000,0.100000,"POINT (-149.942077 61.279760)"
300036,,-149.917743,61.174872,,,0,0.100000,0.100000,"POINT (-149.917743 61.174872)"
300037,,-149.916567,61.180553,,,0,0.100000,0.100000,"POINT (-149.916567 61.180553)"
300038,,-149.915410,61.178869,,,0,0.100000,0.100000,"POINT (-149.915410 61.178869)"
300039,,-149.912231,61.174876,,,0,0.100000,0.100000,"POINT (-149.912231 61.174876)"
300040,,-149.911910,61.174610,,,0,0.100000,0.100000,"POINT (-149.911910 61.174610)"
300041,,-149.903758,61.168617,,,0,0.100000,0.100000,"POINT (-149.903758 61.168617)"
300042,,-149.902980,61.220690,,,0,0.100000,0.100000,"POINT (-149.902980 61.220690)"
300043,,-149.891255,61.234698,,,0,0.100000,0.100000,"POINT (-149.891255 61.234698)"
300044,,-149.891168,61.234839,,,0,0.100000,0.100000,"POINT (-149.891168 61.234839)"
300045,,-149.891095,61.228916,,,0,0.100000,0.100000,"POINT (-149.891095 61.228916)"
300046,,-149.890887,61.232085,,,0,0.100000,0.100000,"POINT (-149.890887 61.232085)"
300047,,-149.890863,61.230942,,,0,0.100000,0.100000,"POINT (-149.890863 61.230942)"
300048,,-149.890542,61.223977,,,0,0.100000,0.100000,"POINT (-149.890542 61.223977)"
300049,,-149.890433,61.226685,,,0,0.100000,0.100000,"POINT (-149.890433 61.226685)"
300050,,-149.890245,61.226904,,,0,0.100000,0.100000,"POINT (-149.890245 61.226904)"
300051,,-149.889950,61.224100,,,0,0.100000,0.100000,"POINT (-149.889950 61.224100)"
300052,,-149.889721,61.225910,,,0,0.100000,0.100000,"POINT (-149.889721 61.225910)"
300053,,-149.888484,61.221849,,,0,0.100000,0.100000,"POINT (-149.888484 61.221849)"
300054,,-149.887444,61.235199,,,0,0.100000,0.100000,"POINT (-149.887444 61.235199)"
300055,,-149.887334,61.235810,,,0,0.100000,0.100000,"POINT (-149.887334 61.235810)"
300056,,-149.886730,61.224490,,,0,0.100000,0.100000,"POINT (-149.886730 61.224490)"
300057,,-149.885685,61.159578,,,0,0.100000,0.100000,"POINT (-149.885685 61.159578)"
300058,,-149.885534,61.243792,,,0,0.100000,0.100000,"POINT (-149.885534 61.243792)"
300059,,-149.885462,61.225239,,,0,0.100000,0.100000,"POINT (-149.885462 61.225239)"
300060,,-149.884810,61.225370,,,0,0.100000,0.100000,"POINT (-149.884810 61.225370)"
300061,,-149.884580,61.235919,,,0,0.100000,0.100000,"POINT (-149.884580 61.235919)"
300062,,-149.884409,61.224621,,,0,0.100000,0.100000,"POINT (-149.884409 61.224621)"
300063,,-149.884100,61.225540,,,0,0.100000,0.100000,"POINT (-149.884100 61.225540)"
300064,,-149.883429,61.240951,,,0,0.100000,0.100000,"POINT (-149.883429 61.240951)"
300065,,-149.880833,61.224727,,,0,0.100000,0.100000,"POINT (-149.880833 61.224727)"
300066,,-149.880270,61.225210,,,0,0.100000,0.100000,"POINT (-149.880270 61.225210)"
300067,,-149.879293,61.224881,,,0,0.100000,0.100000,"POINT (-149.879293 61.224881)"
300068,,-149.878620,61.155987,,,0,0.100000,0.100000,"POINT (-149.878620 61.155987)"
300069,,-149.878027,61.140910,,,0,0.100000,0.100000,"POINT (-149.878027 61.140910)"
300070,,-149.877941,61.225323,,,0,0.100000,0.100000,"POINT (-149.877941 61.225323)"
300071,,-149.874357,61.150963,,,0,0.100000,0.100000,"POINT (-149.874357 61.150963)"
300072,,-149.874244,61.150678,,,0,0.100000,0.100000,"POINT (-149.874244 61.150678)"
300073,,-149.872430,61.226550,,,0,0.100000,0.100000,"POINT (-149.872430 61.226550)"
300074,,-149.872175,61.133645,,,0,0.100000,0.100000,"POINT (-149.872175 61.133645)"
300075,,-149.872057,61.137894,,,0,0.100000,0.100000,"POINT (-149.872057 61.137894)"
300076,,-149.872013,61.138010,,,0,0.100000,0.100000,"POINT (-149.872013 61.138010)"
300077,,-149.871629,61.135422,,,0,0.100000,0.100000,"POINT (-149.871629 61.135422)"
300078,,-149.871552,61.134949,,,0,0.100000,0.100000,"POINT (-149.871552 61.134949)"
300079,,-149.871261,61.129598,,,0,0.100000,0.100000,"POINT (-149.871261 61.129598)"
300080,,-149.871219,61.129859,,,0,0.100000,0.100000,"POINT (-149.871219 61.129859)"
300081,,-149.871212,61.222366,,,0,0.100000,0.100000,"POINT (-149.871212 61.222366)"
300082,,-149.871129,61.129405,,,0,0.100000,0.100000,"POINT (-149.871129 61.129405)"
300083,,-149.871030,61.226420,,,0,0.100000,0.100000,"POINT (-149.871030 61.226420)"
300084,,-149.870905,61.130951,,,0,0.100000,0.100000,"POINT (-149.870905 61.130951)"
300085,,-149.870431,61.128851,,,0,0.100000,0.100000,"POINT (-149.870431 61.128851)"
300086,,-149.870026,61.129801,,,0,0.100000,0.100000,"POINT (-149.870026 61.129801)"
300087,,-149.869942,61.124633,,,0,0.100000,0.100000,"POINT (-149.869942 61.124633)"
300088,,-149.869940,61.226450,,,0,0.100000,0.100000,"POINT (-149.869940 61.226450)"
300089,,-149.869728,61.120930,,,0,0.100000,0.100000,"POINT (-149.869728 61.120930)"
300090,,-149.869478,61.119586,,,0,0.100000,0.100000,"POINT (-149.869478 61.119586)"
300091,,-149.868600,61.225910,,,0,0.100000,0.100000,"POINT (-149.868600 61.225910)"
300092,,-149.868385,61.115368,,,0,0.100000,0.100000,"POINT (-149.868385 61.115368)"
300093,,-149.864711,61.108338,,,0,0.100000,0.100000,"POINT (-149.864711 61.108338)"
300094,,-149.861129,61.224709,,,0,0.100000,0.100000,"POINT (-149.861129 61.224709)"
300095,,-149.859800,61.226200,,,0,0.100000,0.100000,"POINT (-149.859800 61.226200)"
300096,,-149.856280,61.225467,,,0,0.100000,0.100000,"POINT (-149.856280 61.225467)"
300097,,-149.854879,61.637243,,,0,0.100000,0.100000,"POINT (-149.854879 61.637243)"
300098,,-149.854604,61.225759,,,0,0.100000,0.100000,"POINT (-149.854604 61.225759)"
300099,,-149.847060,61.227100,,,0,0.100000,0.100000,"POINT (-149.847060 61.227100)"
300100,,-149.844690,61.227700,,,0,0.100000,0.100000,"POINT (-149.844690 61.227700)"
300101,,-149.839997,61.632230,,,0,0.100000,0.100000,"POINT (-149.839997 61.632230)"
300102,,-149.839152,61.223417,,,0,0.100000,0.100000,"POINT (-149.839152 61.223417)"
300103,,-149.835181,61.230696,,,0,0.100000,0.100000,"POINT (-149.835181 61.230696)"
300104,,-149.830052,61.231845,,,0,0.100000,0.100000,"POINT (-149.830052 61.231845)"
300105,,-149.828040,61.232400,,,0,0.100000,0.100000,"POINT (-149.828040 61.232400)"
300106,,-149.825740,61.233150,,,0,0.100000,0.100000,"POINT (-149.825740 61.233150)"
300107,,-149.821190,62.703170,,,0,0.100000,0.100000,"POINT (-149.821190 62.703170)"
300108,,-149.819800,61.624420,,,0,0.100000,0.100000,"POINT (-149.819800 61.624420)"
300109,,-149.817373,61.618552,,,0,0.100000,0.100000,"POINT (-149.817373 61.618552)"
300110,,-149.801650,61.618550,,,0,0.100000,0.100000,"POINT (-149.801650 61.618550)"
300111,,-149.799248,61.053818,,,0,0.100000,0.100000,"POINT (-149.799248 61.053818)"
300112,,-149.798451,61.239193,,,0,0.100000,0.100000,"POINT (-149.798451 61.239193)"
300113,,-149.795711,61.050321,,,0,0.100000,0.100000,"POINT (-149.795711 61.050321)"
300114,,-149.763161,61.254014,,,0,0.100000,0.100000,"POINT (-149.763161 61.254014)"
300115,,-149.762491,61.252003,,,0,0.100000,0.100000,"POINT (-149.762491 61.252003)"
300116,,-149.743598,61.268686,,,0,0.100000,0.100000,"POINT (-149.743598 61.268686)"
300117,,-149.733961,61.261962,,,0,0.100000,0.100000,"POINT (-149.733961 61.261962)"
300118,,-149.731501,61.262772,,,0,0.100000,0.100000,"POINT (-149.731501 61.262772)"
300119,,-149.731238,61.263027,,,0,0.100000,0.100000,"POINT (-149.731238 61.263027)"
300120,,-149.730086,61.263856,,,0,0.100000,0.100000,"POINT (-149.730086 61.263856)"
300121,,-149.726365,61.267400,,,0,0.100000,0.100000,"POINT (-149.726365 61.267400)"
300122,,-149.726097,61.267734,,,0,0.100000,0.100000,"POINT (-149.726097 61.267734)"
300123,,-149.723781,61.269343,,,0,0.100000,0.100000,"POINT (-149.723781 61.269343)"
300124,,-149.723211,61.270021,,,0,0.100000,0.100000,"POINT (-149.723211 61.270021)"
300125,,-149.722377,61.270959,,,0,0.100000,0.100000,"POINT (-149.722377 61.270959)"
300126,,-149.722142,61.271202,,,0,0.100000,0.100000,"POINT (-149.722142 61.271202)"
300127,,-149.721896,61.260970,,,0,0.100000,0.100000,"POINT (-149.721896 61.260970)"
300128,,-149.717546,61.262055,,,0,0.100000,0.100000,"POINT (-149.717546 61.262055)"
300129,,-149.716644,61.262378,,,0,0.100000,0.100000,"POINT (-149.716644 61.262378)"
300130,,-149.715775,61.262723,,,0,0.100000,0.100000,"POINT (-149.715775 61.262723)"
300131,,-149.715658,61.264509,,,0,0.100000,0.100000,"POINT (-149.715658 61.264509)"
300132,,-149.715289,61.272628,,,0,0.100000,0.100000,"POINT (-149.715289 61.272628)"
300133,,-149.713960,61.263411,,,0,0.100000,0.100000,"POINT (-149.713960 61.263411)"
300134,,-149.713925,61.269984,,,0,0.100000,0.100000,"POINT (-149.713925 61.269984)"
300135,,-149.713441,62.742215,,,0,0.100000,0.100000,"POINT (-149.713441 62.742215)"
300136,,-149.713083,61.271213,,,0,0.100000,0.100000,"POINT (-149.713083 61.271213)"
300137,,-149.712783,61.263716,,,0,0.100000,0.100000,"POINT (-149.712783 61.263716)"
