gate_node_id,belong_yard,x_coord,y_coord,direction,yard_node_id,closest_in,closest_out,resolution_type
421552,1,-86.78915,33.567319,in,,,,Gate
421551,1,-86.78916,33.566243,in,,,1,Gate
421572,1,-86.788418,33.578197,in,,1,1,Gate
421527,1,-86.789488,33.555164,in,,,,Gate
421505,1,-86.78986,33.560409,out,,1,,Gate
421551,1,-86.78916,33.566243,out,,,,Gate
421514,1,-86.789647,33.561782,out,,1,1,Gate
421534,1,-86.789349,33.560575,out,,,,Gate
421514,1,-86.789647,33.561782,out,,,,Gate
437179,2,-83.686026,42.07679,in,,1,1,Gate
437344,2,-83.657753,41.998442,in,,,,Gate
437182,2,-83.684644,42.077534,out,,,,Gate
438348,3,-83.510529,41.694802,in,,1,,Gate
438362,3,-83.507499,41.687756,out,,,1,Gate
438258,3,-83.520668,41.707243,out,,,1,Gate
438348,3,-83.510529,41.694802,out,,,,Gate
438426,4,-83.50256,41.680554,in,,1,,Gate
438423,4,-83.502816,41.680836,in,,,,Gate
415438,5,-87.57545,33.208812,in,,,1,Gate
415477,5,-87.568553,33.199058,in,,1,,Gate
415477,5,-87.568553,33.199058,out,,,,Gate
415477,5,-87.568553,33.199058,out,,,,Gate
415477,5,-87.568553,33.199058,out,,,,Gate
421513,6,-86.789713,33.561534,out,,,,Gate
466320,7,-79.334036,35.532384,in,,,,Gate
466499,7,-79.270696,35.558629,out,,1,,Gate
466468,7,-79.286931,35.562781,out,,,1,Gate
436463,8,-83.843817,41.821705,in,,,1,Gate
436529,8,-83.830071,41.814753,in,,1,,Gate
436446,8,-83.849303,41.827028,in,,,,Gate
436529,8,-83.830071,41.814753,out,,,,Gate
301662,9,-123.107813,44.623138,in,,1,,Gate
301723,9,-123.099297,44.632276,in,,,,Gate
301674,9,-123.106146,44.626035,in,,,,Gate
301670,9,-123.106904,44.624717,in,,,,Gate
301669,9,-123.106945,44.624731,in,,,,Gate
301672,9,-123.106445,44.625527,in,,,,Gate
301674,9,-123.106146,44.626035,in,,,,Gate
301636,9,-123.108422,44.619814,in,,1,,Gate
301767,9,-123.095037,44.634073,out,,,,Gate
301670,9,-123.106904,44.624717,out,,,,Gate
301763,9,-123.095818,44.633762,out,,,,Gate
301713,9,-123.100606,44.631387,out,,,,Gate
301713,9,-123.100606,44.631387,out,,,,Gate
301750,9,-123.096901,44.631001,out,,,,Gate
