ID,YardName,Polygon_WKT,Main_Direction
1,BIRMINGHAM (ABWR),"POLYGON ((-86.78916094463423 33.56190740469446, -86.79009210535034 33.56206193077062, -86.78918956484829 33.56616383595728, -86.78871238734403 33.56547005913428, -86.78916094463423 33.56190740469446))","((-86.78916094463423, 33.56190740469446), (-86.78918956484829, 33.56616383595728))"
2,MILAN (AA),"POLYGON ((-83.68044939923604 42.0628005384705, -83.68130873778529 42.06254453672108, -83.68560047934888 42.07557661613053, -83.6846043278134 42.07454167337566, -83.68044939923604 42.0628005384705))","((-83.68044939923604, 42.0628005384705), (-83.68560047934888, 42.07557661613053))"
3,OTTAWA,"POLYGON ((-83.50962925848394 41.69173506619498, -83.51031716094545 41.69129299364143, -83.52478214151952 41.70116878248382, -83.51781010804311 41.7037912718441, -83.50962925848394 41.69173506619498))","((-83.50962925848394, 41.69173506619498), (-83.52478214151952, 41.70116878248382))"
4,OTTAWA SOUTH,"POLYGON ((-83.50200084949611 41.68043336221614, -83.50449986943059 41.68202123218574, -83.50778441427958 41.68810309746082, -83.50712844411723 41.68801037958495, -83.50200084949611 41.68043336221614))","((-83.50200084949611, 41.68043336221614), (-83.50778441427958, 41.68810309746082))"
5,TUSCALOOSA,"POLYGON ((-87.56813131227233 33.19921190992631, -87.57361853974899 33.2013420967555, -87.5753153596493 33.20417474075578, -87.56926263171894 33.20107923580928, -87.56813131227233 33.19921190992631))","((-87.56813131227233, 33.19921190992631), (-87.5753153596493, 33.204174740755775))"
6,BIRMINGHAM (ABWR),"POLYGON ((-86.7889005223017 33.56054404535879, -86.78978747713124 33.56047892384466, -86.78947742906874 33.56339784567539, -86.78894803080419 33.56303448629812, -86.7889005223017 33.56054404535879))","((-86.78978747713124, 33.56047892384466), (-86.78947742906874, 33.56339784567539))"
7,GULF,"POLYGON ((-79.2705946917564 35.55906691935647, -79.28044566518534 35.55928489123974, -79.28568094219271 35.56208739009584, -79.285140008021 35.56243312676657, -79.2705946917564 35.55906691935647))","((-79.2705946917564, 35.55906691935647), (-79.28568094219271, 35.56208739009584))"
8,GLOBAL ETHANOL,"POLYGON ((-83.82984156069696 41.81513931901489, -83.83339017120359 41.81571378414322, -83.84178166960264 41.82083814282386, -83.83919722044787 41.82069966125575, -83.82984156069696 41.81513931901489))","((-83.82984156069696, 41.81513931901489), (-83.84178166960264, 41.82083814282386))"
9,ALBANY YARD,"POLYGON ((-123.1075666966181 44.62244965976102, -123.1046504721793 44.62899105558973, -123.096377681338 44.63389084835157, -123.0963929139221 44.63326072244772, -123.1075666966181 44.62244965976102))","((-123.10756669661806, 44.622449659761024), (-123.096377681338, 44.63389084835157))"
10,WELDWOOD YARD,"POLYGON ((-122.8962550554891 44.51875692267141, -122.8969864895331 44.51824825954944, -122.9012840394743 44.52475563300661, -122.8999541721609 44.52402079440509, -122.8962550554891 44.51875692267141))","((-122.8962550554891, 44.51875692267141), (-122.90128403947433, 44.52475563300661))"
11,MAGNOLIA,"POLYGON ((-87.67705796271707 32.1060719599658, -87.6779542448929 32.10601161737386, -87.67842440256149 32.11968149163621, -87.6779460902108 32.11926352185125, -87.67705796271707 32.1060719599658))","((-87.6779542448929, 32.10601161737386), (-87.67842440256149, 32.11968149163621))"
12,MOBILE (AGR),"POLYGON ((-88.05075245549634 30.71085459241617, -88.05755510325409 30.71973380066572, -88.05817881546653 30.7225057143431, -88.05755176686651 30.72237024475891, -88.05075245549634 30.71085459241617))","((-88.05075245549634, 30.710854592416172), (-88.05817881546653, 30.7225057143431))"
13,PENSACOLA,"POLYGON ((-87.2420818121622 30.40813425835206, -87.24276889500878 30.4075610566849, -87.24789779767127 30.41356205718, -87.24502603669998 30.41159381949968, -87.2420818121622 30.40813425835206))","((-87.2420818121622, 30.408134258352057), (-87.24789779767127, 30.41356205718))"
14,HELENA,"POLYGON ((-90.58753309320547 34.51693930795435, -90.58845813624647 34.52020401931057, -90.58590957227848 34.52150663968526, -90.58562750780813 34.52092755116963, -90.58753309320547 34.51693930795435))","((-90.58753309320547, 34.516939307954345), (-90.58590957227848, 34.52150663968526))"
15,MALVERN,"POLYGON ((-92.82263488878438 34.36014082875486, -92.82306720106693 34.36114866994486, -92.81833340012442 34.36736502931753, -92.81796168446832 34.36517137138572, -92.82263488878438 34.36014082875486))","((-92.82263488878438, 34.36014082875486), (-92.81833340012442, 34.36736502931753))"
16,MCGEHEE (AKMD),"POLYGON ((-91.388520709535 33.61913078678552, -91.39349591622958 33.63171490717022, -91.39204341009378 33.63550514249708, -91.3915119898366 33.63514753385702, -91.388520709535 33.61913078678552))","((-91.388520709535, 33.61913078678552), (-91.39204341009378, 33.63550514249708))"
17,FLOMATON,"POLYGON ((-87.25376601860985 30.99938148539682, -87.25421852999148 31.00002932882976, -87.22292693490411 31.06132063073656, -87.23706888234609 31.00908910668054, -87.25376601860985 30.99938148539682))","((-87.25376601860985, 30.999381485396825), (-87.22292693490411, 31.061320630736564))"
18,MOBILE (CN),"POLYGON ((-88.04926271214863 30.70809789828096, -88.05102846130663 30.70817078891665, -88.06570865216615 30.72101556426593, -88.06441117591191 30.72063413364294, -88.04926271214863 30.70809789828096))","((-88.04926271214863, 30.708097898280965), (-88.06570865216615, 30.721015564265933))"
19,CROSSETT,"POLYGON ((-91.95833443635597 33.13935723047904, -91.95889613604969 33.13866094052213, -91.96209603069209 33.14167564401563, -91.96147235192581 33.14180471485823, -91.95833443635597 33.13935723047904))","((-91.95833443635597, 33.13935723047904), (-91.9620960306921, 33.141675644015635))"
20,MONROE STATION,"POLYGON ((-92.10699553142722 32.50462660324568, -92.10808153561744 32.50402379969768, -92.110519816627 32.50589344159489, -92.10993609095422 32.50614510941212, -92.10699553142722 32.50462660324568))","((-92.10699553142722, 32.504626603245676), (-92.110519816627, 32.50589344159489))"
21,ALTON & SOUTHERN,"POLYGON ((-90.12182951412656 38.59286804186442, -90.12687665394377 38.59383293548026, -90.13610747009803 38.60224716772831, -90.12659102150175 38.59917652018628, -90.12182951412656 38.59286804186442))","((-90.12182951412656, 38.59286804186442), (-90.13610747009803, 38.602247167728315))"
22,EAST ST LOUIS AUTORAMP,"POLYGON ((-90.12439079362252 38.57348200101002, -90.13345027091255 38.58047546275881, -90.13351096657625 38.58110539753964, -90.12995067911912 38.57915019950553, -90.12439079362252 38.57348200101002))","((-90.12439079362252, 38.57348200101002), (-90.13351096657625, 38.581105397539645))"
23,GATEWAY,"POLYGON ((-90.13567589455469 38.58247440783537, -90.15235072574653 38.59581949191288, -90.15332925705457 38.59920517283914, -90.13286369742524 38.58716131013159, -90.13567589455469 38.58247440783537))","((-90.1356758945547, 38.58247440783537), (-90.15332925705457, 38.59920517283914))"
24,MITCHELL,"POLYGON ((-90.08959163969267 38.74992205187782, -90.09063414211718 38.75638937504561, -90.08974936995713 38.76213915439872, -90.08930092018261 38.76168175270839, -90.08959163969267 38.74992205187782))","((-90.08959163969267, 38.74992205187782), (-90.08974936995713, 38.762139154398724))"
25,FT SMITH (AM),"POLYGON ((-94.42714328274231 35.39250005623324, -94.42227777300727 35.39860015995755, -94.41454262759822 35.40176580508876, -94.41905539014122 35.39716694918768, -94.42714328274231 35.39250005623324))","((-94.4271432827423, 35.39250005623324), (-94.41454262759822, 35.401765805088765))"
26,14TH ST,"POLYGON ((-87.63660806410792 41.85680068868012, -87.63747542081457 41.85693947758713, -87.63774117270738 41.87062194030442, -87.63493494708415 41.86572523185136, -87.63660806410792 41.85680068868012))","((-87.63660806410792, 41.856800688680124), (-87.63774117270738, 41.87062194030442))"
27,ALBANY AMTRAK SHOPS,"POLYGON ((-73.74080380326846 42.64324012358693, -73.74201504662268 42.64887239320353, -73.73933028339795 42.65346241007991, -73.73847119562234 42.6519458064849, -73.74080380326846 42.64324012358693))","((-73.74080380326846, 42.643240123586935), (-73.73933028339795, 42.65346241007991))"
28,BAYVIEW (NS),"POLYGON ((-76.52963957693041 39.29870678105593, -76.52983368339081 39.29958211188196, -76.50787563106678 39.30541751445546, -76.51896385441302 39.30143972406064, -76.52963957693041 39.29870678105593))","((-76.5296395769304, 39.29870678105593), (-76.50787563106678, 39.30541751445546))"
29,BAYVIEW (NS),"POLYGON ((-76.54792408347942 39.29701234575172, -76.54799897584499 39.2979074939664, -76.5292616306138 39.29918399295104, -76.53409595148554 39.2980674817515, -76.54792408347942 39.29701234575172))","((-76.54792408347942, 39.29701234575172), (-76.5292616306138, 39.29918399295104))"
30,BEAR SHOPS,"POLYGON ((-75.69348526164396 39.6016198766231, -75.705381920021 39.60827851326156, -75.70554195491353 39.60889090411662, -75.69012083742362 39.6027103753062, -75.69348526164396 39.6016198766231))","((-75.70554195491353, 39.60889090411662), (-75.69012083742362, 39.6027103753062))"
31,BOTSFORD,"POLYGON ((-85.5558055815093 42.29063775638183, -85.55619071026678 42.28982642450043, -85.56804016684751 42.29563223708692, -85.56497298590632 42.2951468040274, -85.5558055815093 42.29063775638183))","((-85.5558055815093, 42.29063775638183), (-85.56804016684751, 42.29563223708692))"
32,HARRISON,"POLYGON ((-74.15115781766914 40.74087621468816, -74.15131033363946 40.74177732779818, -74.13173071446424 40.74302266922705, -74.13928949426089 40.74157579875149, -74.15115781766914 40.74087621468816))","((-74.15131033363946, 40.74177732779818), (-74.13173071446424, 40.743022669227045))"
33,HARTFORD,"POLYGON ((-72.67331002739444 41.77561290571323, -72.66830226911217 41.78891656537035, -72.66129278008283 41.79637607683735, -72.66114006624491 41.79576129674303, -72.67331002739444 41.77561290571323))","((-72.67331002739444, 41.77561290571323), (-72.66129278008283, 41.79637607683735))"
34,HINMAN,"POLYGON ((-85.13672873990741 42.31115459133373, -85.13714969682401 42.31049831700084, -85.15985128658826 42.31210144223747, -85.14689269440119 42.31671574024742, -85.13672873990741 42.31115459133373))","((-85.13672873990741, 42.311154591333725), (-85.15985128658826, 42.31210144223747))"
35,JACKSON,"POLYGON ((-84.34932727755215 42.23355764531463, -84.36151581130713 42.23418996129357, -84.40055854329047 42.24797785755421, -84.39360533776731 42.24654719742179, -84.34932727755215 42.23355764531463))","((-84.34932727755215, 42.23355764531463), (-84.40055854329047, 42.24797785755421))"
36,LINDEN,"POLYGON ((-74.26588240021515 40.61537367123251, -74.26646192852074 40.61605760303797, -74.25547885656067 40.6260346810145, -74.25678437168538 40.6235479512196, -74.26588240021515 40.61537367123251))","((-74.26588240021515, 40.61537367123251), (-74.25547885656067, 40.626034681014495))"
37,MOTT HAVEN,"POLYGON ((-73.91648896379506 40.79803137391519, -73.9185086218164 40.79904929771175, -73.91306702526909 40.80012393113932, -73.91472374357623 40.79855750387383, -73.91648896379506 40.79803137391519))","((-73.9185086218164, 40.799049297711754), (-73.91306702526909, 40.80012393113932))"
38,NEW BRUNSWICK M/W,"POLYGON ((-74.50598467676544 40.42471562164566, -74.5067119979548 40.42524204320114, -74.4865006652966 40.45435994248125, -74.49570584681956 40.43813476428937, -74.50598467676544 40.42471562164566))","((-74.50598467676544, 40.42471562164566), (-74.4865006652966, 40.45435994248125))"
39,OAK POINT,"POLYGON ((-73.91168853338611 40.8006119611849, -73.91231031580345 40.8012601438413, -73.90435613657003 40.80808796806745, -73.90435226195531 40.807426224583, -73.91168853338611 40.8006119611849))","((-73.91231031580345, 40.801260143841304), (-73.90435613657003, 40.80808796806745))"
40,PROVIDENCE,"POLYGON ((-71.41328577354578 41.84624448171446, -71.40499463006809 41.8638184960344, -71.39882866668616 41.87312231421503, -71.40669571349773 41.85720871845987, -71.41328577354578 41.84624448171446))","((-71.41328577354578, 41.84624448171446), (-71.39882866668616, 41.87312231421503))"
41,SULLIVAN MAINTENANCE,"POLYGON ((-76.72051504413875 39.07252812735904, -76.72097361219825 39.07329473537928, -76.71053128528341 39.08063122056481, -76.71353671978137 39.07637693148442, -76.72051504413875 39.07252812735904))","((-76.72051504413875, 39.072528127359035), (-76.71053128528341, 39.08063122056481))"
42,WARWICK,"POLYGON ((-71.42344256968184 41.77749909906548, -71.42430490228332 41.77774967454719, -71.42192599059921 41.7837907852068, -71.42160327224629 41.78327256387161, -71.42344256968184 41.77749909906548))","((-71.42430490228332, 41.77774967454719), (-71.4219259905992, 41.7837907852068))"
43,WEST ALBANY,"POLYGON ((-73.74637245142246 42.66021427069357, -73.74703857027164 42.65989557532857, -73.79443321285791 42.68746246757694, -73.75488691795049 42.67096254187721, -73.74637245142246 42.66021427069357))","((-73.74637245142246, 42.660214270693565), (-73.79443321285791, 42.68746246757694))"
44,WILLOW RUN,"POLYGON ((-83.57465330948968 42.24593972705912, -83.57480590857341 42.24682497146011, -83.54376926200081 42.25158308553463, -83.54413687597902 42.25106606658981, -83.57465330948968 42.24593972705912))","((-83.57480590857341, 42.24682497146011), (-83.54376926200081, 42.25158308553463))"
