link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,is_link,link_type_name,vdf_free_speed_in_mph,from_biway
1,,,1,4301,,"LINESTRING (-77.03433592261736 38.9228678149352, -77.0352931 38.9230852)",1,86.44360338,,0,90,1,99999,,,0,0.15,4,1,0.053725049,,55,0.057629069,,,,,0,connector,55.9235463,1
2,,,2,195,,"LINESTRING (-77.05408278072566 38.97350417590416, -77.059486 38.984703)",1,1328.477348,,0,90,1,99999,,,0,0.15,4,1,0.825654038,,55,0.885651565,,,,,0,connector,55.9235463,1
3,,,2,199,,"LINESTRING (-77.05408278072566 38.97350417590416, -77.0605523 38.9824461)",1,1140.047281,,0,90,1,99999,,,0,0.15,4,1,0.708543991,,55,0.760031521,,,,,0,connector,55.9235463,1
4,,,3,201,,"LINESTRING (-77.03784011803756 38.984546401005765, -77.0278599 38.9872718)",1,916.1260208,,0,90,1,99999,,,0,0.15,4,1,0.569376023,,55,0.610750681,,,,,0,connector,55.9235463,1
5,,,3,3031,,"LINESTRING (-77.03784011803756 38.984546401005765, -77.0361373 38.9921222)",1,853.8713648,,0,90,1,99999,,,0,0.15,4,1,0.530684503,,55,0.569247577,,,,,0,connector,55.9235463,1
6,,,3,6433,,"LINESTRING (-77.03784011803756 38.984546401005765, -77.0310895 38.990118)",1,851.2778548,,0,90,1,99999,,,0,0.15,4,1,0.529072626,,55,0.56751857,,,,,0,connector,55.9235463,1
7,,,3,7132,,"LINESTRING (-77.03784011803756 38.984546401005765, -77.0487329 38.991977)",1,1253.457708,,0,90,1,99999,,,0,0.15,4,1,0.779029029,,55,0.835638472,,,,,0,connector,55.9235463,1
8,,,3,7139,,"LINESTRING (-77.03784011803756 38.984546401005765, -77.0295385 38.9892621)",1,889.6175317,,0,90,1,99999,,,0,0.15,4,1,0.55290089,,55,0.593078354,,,,,0,connector,55.9235463,1
9,,,3,7636,,"LINESTRING (-77.03784011803756 38.984546401005765, -77.0361562 38.9920868)",1,849.718116,,0,90,1,99999,,,0,0.15,4,1,0.528103242,,55,0.566478744,,,,,0,connector,55.9235463,1
10,,,3,7637,,"LINESTRING (-77.03784011803756 38.984546401005765, -77.0361675 38.9924658)",1,891.037559,,0,90,1,99999,,,0,0.15,4,1,0.553783442,,55,0.594025039,,,,,0,connector,55.9235463,1
11,,,3,7964,,"LINESTRING (-77.03784011803756 38.984546401005765, -77.0363885 38.9928237)",1,927.4734196,,0,90,1,99999,,,0,0.15,4,1,0.576428477,,55,0.618315613,,,,,0,connector,55.9235463,1
12,,,4,7792,,"LINESTRING (-77.07485444619454 38.909333940762224, -77.0742027 38.9056521)",1,412.6257518,,0,90,1,99999,,,0,0.15,4,1,0.256448572,,55,0.275083835,,,,,0,connector,55.9235463,1
13,,,5,193,,"LINESTRING (-77.10750911313873 38.92798173257248, -77.1166872 38.9368603)",1,1266.818891,,0,90,1,99999,,,0,0.15,4,1,0.787333059,,55,0.844545928,,,,,0,connector,55.9235463,1
14,,,5,7672,,"LINESTRING (-77.10750911313873 38.92798173257248, -77.1166696 38.9295277)",1,812.6643348,,0,90,1,99999,,,0,0.15,4,1,0.505074167,,55,0.541776223,,,,,0,connector,55.9235463,1
15,,,6,7666,,"LINESTRING (-77.04303821882453 38.91341227687934, -77.043432 38.9126047)",1,95.93739135,,0,90,1,99999,,,0,0.15,4,1,0.059625476,,55,0.063958261,,,,,0,connector,55.9235463,1
16,,,7,5288,,"LINESTRING (-76.97068772294907 38.85258058647187, -76.9628688 38.8511965)",1,695.9093932,,0,90,1,99999,,,0,0.15,4,1,0.432510499,,55,0.463939595,,,,,0,connector,55.9235463,1
