link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,2,1,1794.821,1.11524972,1,99999,40.34186073,25.0673324,0,1,,0.83,5.5,1,0,-1,4.296,"LINESTRING (0, 0)"
2,2,1,1,1794.821,1.11524972,1,99999,40.34186073,25.0673324,0,1,,0.83,5.5,1,0,-1,4.296,"LINESTRING (0, 0)"
3,2,43,1,1209.335,0.751445698,1,1201,56.29593573,34.98075964,0,1,,0.83,5.5,1,0,-1,2.074286,"LINESTRING (0, 0)"
4,3,4,1,723.172,0.449358109,1,99999,40.41075092,25.11013889,0,1,,0.83,5.5,1,0,-1,1.728,"LINESTRING (0, 0)"
5,3,6572,1,1589.523,0.987683496,1,99999,40.22142995,24.9925,0,1,,0.83,5.5,1,0,-1,3.816,"LINESTRING (0, 0)"
6,4,3,1,723.172,0.449358109,1,99999,40.41075092,25.11013889,0,1,,0.83,5.5,1,0,-1,1.728,"LINESTRING (0, 0)"
7,4,4520,1,2904.919,1.805032424,1,5000,56.42243721,35.05936422,0,1,,0.83,5.5,1,0,-1,4.971429,"LINESTRING (0, 0)"
8,4,6572,1,2350.697,1.460654946,1,1201,56.34361231,35.01038458,0,1,,0.83,5.5,1,0,-1,4.028571,"LINESTRING (0, 0)"
9,5,6,1,772.194,0.479818958,1,4250,72.62662725,45.12820613,0,1,,0.83,5.5,1,0,-1,1.026667,"LINESTRING (0, 0)"
10,5,1974,1,223.346,0.138780727,1,4250,73.52183047,45.68446101,0,1,,0.83,5.5,1,0,-1,0.293333,"LINESTRING (0, 0)"
11,5,1976,1,35.727,0.022199722,1,1201,57.49689018,35.727,0,1,,0.83,5.5,1,0,-1,0.06,"LINESTRING (0, 0)"
12,6,5,1,772.194,0.479818958,1,4250,72.62662725,45.12820613,0,1,,0.83,5.5,1,0,-1,1.026667,"LINESTRING (0, 0)"
13,6,4533,1,254.581,0.158189251,1,4250,65.55318185,40.73296,0,1,,0.83,5.5,1,0,-1,0.375,"LINESTRING (0, 0)"
14,6,4555,1,1038.391,0.645226054,1,99999,40.17125413,24.96132212,0,1,,0.83,5.5,1,0,-1,2.496,"LINESTRING (0, 0)"
15,7,8,1,193.364,0.120150782,1,1201,65.51335153,40.70821053,0,1,,0.83,5.5,1,0,-1,0.285,"LINESTRING (0, 0)"
16,7,3657,1,557.528,0.346431731,1,1201,64.08943654,39.82342857,0,1,,0.83,5.5,1,0,-1,0.84,"LINESTRING (0, 0)"
17,7,3658,1,185.119,0.115027578,1,99999,47.03990707,29.22931579,0,1,,0.83,5.5,1,0,-1,0.38,"LINESTRING (0, 0)"
18,8,7,1,193.364,0.120150782,1,1201,65.51335153,40.70821053,0,1,,0.83,5.5,1,0,-1,0.285,"LINESTRING (0, 0)"
19,8,9,1,357.846,0.222355127,1,1201,63.98843129,39.76066667,0,1,,0.83,5.5,1,0,-1,0.54,"LINESTRING (0, 0)"
20,8,52,1,309.764,0.192478366,1,1201,56.28397349,34.97332663,0,1,,0.83,5.5,1,0,-1,0.531429,"LINESTRING (0, 0)"
