link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,290,1,1083.333333,0.673151917,1,1,60,37.28226,0,9,,0,0,1,1151.995,1.014357735,1.083333333,"LINESTRING (0, 0)"
2,1,307,1,1083.333333,0.673151917,1,1,60,37.28226,0,9,,0,0,1,1094.114,1.014357735,1.083333333,"LINESTRING (0, 0)"
3,1,316,1,1083.333333,0.673151917,1,1,60,37.28226,0,9,,0,0,1,0,1.014357735,1.083333333,"LINESTRING (0, 0)"
4,2,302,1,1666.666667,1.035618333,1,1,60,37.28226,0,9,,0,0,1,0,1.014357735,1.666666667,"LINESTRING (0, 0)"
5,2,304,1,1666.666667,1.035618333,1,1,60,37.28226,0,9,,0,0,1,0,1.014357735,1.666666667,"LINESTRING (0, 0)"
6,3,301,1,1083.333333,0.673151917,1,1,60,37.28226,0,9,,0,0,1,0,1.014357735,1.083333333,"LINESTRING (0, 0)"
7,3,306,1,1083.333333,0.673151917,1,1,60,37.28226,0,9,,0,0,1,5.038,1.014357735,1.083333333,"LINESTRING (0, 0)"
8,4,301,1,1083.333333,0.673151917,1,1,60,37.28226,0,9,,0,0,1,0,1.014357735,1.083333333,"LINESTRING (0, 0)"
9,4,306,1,1083.333333,0.673151917,1,1,60,37.28226,0,9,,0,0,1,0,1.014357735,1.083333333,"LINESTRING (0, 0)"
10,5,298,1,500,0.3106855,1,1,60,37.28226,0,9,,0,0,1,593.426,1.014357735,0.5,"LINESTRING (0, 0)"
11,5,299,1,500,0.3106855,1,1,60,37.28226,0,9,,0,0,1,24.119,1.014357735,0.5,"LINESTRING (0, 0)"
12,5,310,1,1083.333333,0.673151917,1,1,60,37.28226,0,9,,0,0,1,100.938,1.014357735,1.083333333,"LINESTRING (0, 0)"
13,6,424,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,1970.362,1.014357735,0.833333333,"LINESTRING (0, 0)"
14,6,425,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,567.338,1.014357735,0.833333333,"LINESTRING (0, 0)"
15,6,456,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,150.21,1.014357735,0.833333333,"LINESTRING (0, 0)"
16,7,274,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,755.476,1.014357735,0.666666667,"LINESTRING (0, 0)"
17,7,281,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,876.195,1.014357735,0.666666667,"LINESTRING (0, 0)"
18,7,283,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,0,1.014357735,0.666666667,"LINESTRING (0, 0)"
19,8,272,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,148.056,1.014357735,0.666666667,"LINESTRING (0, 0)"
20,8,456,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,16.62,1.014357735,0.666666667,"LINESTRING (0, 0)"
21,8,474,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,486.447,1.014357735,0.666666667,"LINESTRING (0, 0)"
22,8,480,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,732.672,1.014357735,0.666666667,"LINESTRING (0, 0)"
23,9,277,1,500,0.3106855,1,1,60,37.28226,0,9,,0,0,1,615.62,1.014357735,0.5,"LINESTRING (0, 0)"
24,10,205,1,416.6666667,0.258904583,1,1,60,37.28226,0,9,,0,0,1,8.271,1.014357735,0.416666667,"LINESTRING (0, 0)"
25,10,206,1,416.6666667,0.258904583,1,1,60,37.28226,0,9,,0,0,1,37.427,1.014357735,0.416666667,"LINESTRING (0, 0)"
26,10,214,1,416.6666667,0.258904583,1,1,60,37.28226,0,9,,0,0,1,217.122,1.014357735,0.416666667,"LINESTRING (0, 0)"
27,11,206,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,519.624,1.014357735,0.666666667,"LINESTRING (0, 0)"
28,11,207,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,91.128,1.014357735,0.666666667,"LINESTRING (0, 0)"
29,12,210,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,389.591,1.014357735,0.833333333,"LINESTRING (0, 0)"
30,12,217,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,0,1.014357735,0.833333333,"LINESTRING (0, 0)"
31,12,222,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,234.252,1.014357735,0.833333333,"LINESTRING (0, 0)"
32,13,208,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,201.304,1.014357735,0.666666667,"LINESTRING (0, 0)"
33,13,211,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,136.981,1.014357735,0.666666667,"LINESTRING (0, 0)"
34,13,224,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,129.119,1.014357735,0.666666667,"LINESTRING (0, 0)"
35,14,244,1,583.3333333,0.362466417,1,1,60,37.28226,0,9,,0,0,1,694.885,1.014357735,0.583333333,"LINESTRING (0, 0)"
36,15,228,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,131.907,1.014357735,0.833333333,"LINESTRING (0, 0)"
37,15,533,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,1526.203,1.014357735,0.833333333,"LINESTRING (0, 0)"
38,15,538,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,616.457,1.014357735,0.833333333,"LINESTRING (0, 0)"
39,16,601,1,1000,0.621371,1,1,60,37.28226,0,9,,0,0,1,464.283,1.014357735,1,"LINESTRING (0, 0)"
40,16,602,1,1000,0.621371,1,1,60,37.28226,0,9,,0,0,1,182.317,1.014357735,1,"LINESTRING (0, 0)"
41,17,597,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,19.848,1.014357735,0.666666667,"LINESTRING (0, 0)"
42,17,608,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,114.416,1.014357735,0.666666667,"LINESTRING (0, 0)"
43,17,621,1,666.6666667,0.414247333,1,1,60,37.28226,0,9,,0,0,1,10.752,1.014357735,0.666666667,"LINESTRING (0, 0)"
44,18,914,1,916.6666667,0.569590083,1,1,60,37.28226,0,9,,0,0,1,110.38,1.014357735,0.916666667,"LINESTRING (0, 0)"
45,18,937,1,916.6666667,0.569590083,1,1,60,37.28226,0,9,,0,0,1,177.169,1.014357735,0.916666667,"LINESTRING (0, 0)"
46,18,938,1,916.6666667,0.569590083,1,1,60,37.28226,0,9,,0,0,1,491.183,1.014357735,0.916666667,"LINESTRING (0, 0)"
47,18,946,1,916.6666667,0.569590083,1,1,60,37.28226,0,9,,0,0,1,375.708,1.014357735,0.916666667,"LINESTRING (0, 0)"
48,19,617,1,833.3333333,0.517809167,1,1,60,37.28226,0,9,,0,0,1,806.376,1.014357735,0.833333333,"LINESTRING (0, 0)"
