link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,3,1,16106.817,10.00830899,1,4938.061313,4044.144624,2512.914189,0,0,,0.15,4,1,0,-1,0.238965,"LINESTRING (0, 0)"
2,3,1,1,16057.131,9.977435547,1,5254.12851,4009.321215,2491.275933,0,0,,0.15,4,1,0,-1,0.240297,"LINESTRING (0, 0)"
3,1,7,1,16058.74,9.978435333,1,7309.824721,4324.36348,2687.03406,0,0,,0.15,4,1,0,-1,0.222813,"LINESTRING (0, 0)"
4,7,1,1,15865.263,9.858214336,1,7388.626964,4348.593343,2702.089794,0,0,,0.15,4,1,0,-1,0.218902,"LINESTRING (0, 0)"
5,1,9,1,17455.401,10.84627997,1,1164.37484,2604.985648,1618.662537,0,0,,0.15,4,1,0,-1,0.402046,"LINESTRING (0, 0)"
6,9,1,1,17450.099,10.84298547,1,1076.221509,2596.618562,1613.463472,0,0,,0.15,4,1,0,-1,0.403219,"LINESTRING (0, 0)"
7,2,3,1,3874.725,2.407641748,1,885.069883,2172.905451,1350.180433,0,0,,0.15,4,1,0,-1,0.106992,"LINESTRING (0, 0)"
8,3,2,1,3975.121,2.470024911,1,879.33766,2207.746408,1371.829593,0,0,,0.15,4,1,0,-1,0.108032,"LINESTRING (0, 0)"
9,3,6,1,7587.822,4.714852544,1,5963.515309,4157.748655,2583.50444,0,0,,0.15,4,1,0,-1,0.109499,"LINESTRING (0, 0)"
10,6,3,1,7447.45,4.627629454,1,6000,4150.345981,2578.904633,0,0,,0.15,4,1,0,-1,0.107665,"LINESTRING (0, 0)"
11,3,7,1,11592.971,7.203535983,1,870.143949,1992.729747,1238.224476,0,0,,0.15,4,1,0,-1,0.349058,"LINESTRING (0, 0)"
12,7,3,1,11736.039,7.292434289,1,987.279904,2029.54948,1261.10319,0,0,,0.15,4,1,0,-1,0.346955,"LINESTRING (0, 0)"
13,4,6,1,3509.127,2.180469753,1,1397.463467,1373.327724,853.3460212,0,0,,0.15,4,1,0,-1,0.153312,"LINESTRING (0, 0)"
14,6,4,1,3509.127,2.180469753,1,1032.23265,1388.442724,862.7380439,0,0,,0.15,4,1,0,-1,0.151643,"LINESTRING (0, 0)"
15,4,8,1,6269.461,3.895661251,1,6680.104456,4207.974361,2614.713237,0,0,,0.15,4,1,0,-1,0.089394,"LINESTRING (0, 0)"
16,8,4,1,6412.615,3.984612995,1,6223.710971,4229.352665,2627.997095,0,0,,0.15,4,1,0,-1,0.090973,"LINESTRING (0, 0)"
17,5,10,1,10449.604,6.493080887,1,3970.233407,4151.610648,2579.69046,0,0,,0.15,4,1,0,-1,0.15102,"LINESTRING (0, 0)"
18,10,5,1,10554.494,6.558256491,1,3954.624913,4258.735028,2646.254443,0,0,,0.15,4,1,0,-1,0.148699,"LINESTRING (0, 0)"
19,5,11,1,11677.805,7.256249371,1,934.463935,1831.956232,1138.324476,0,0,,0.15,4,1,0,-1,0.38247,"LINESTRING (0, 0)"
20,11,5,1,11588.228,7.200588821,1,882.819848,1855.378137,1152.878168,0,0,,0.15,4,1,0,-1,0.374745,"LINESTRING (0, 0)"
21,6,8,1,2959.879,1.839182974,1,6000,4128.911467,2565.585847,0,0,,0.15,4,1,0,-1,0.043012,"LINESTRING (0, 0)"
22,8,6,1,2647.408,1.645022556,1,6000,4108.33023,2552.797263,0,0,,0.15,4,1,0,-1,0.038664,"LINESTRING (0, 0)"
23,6,13,1,11650.116,7.239044229,1,2232.228547,2468.279778,1533.717474,0,0,,0.15,4,1,0,-1,0.283196,"LINESTRING (0, 0)"
24,13,6,1,11522.613,7.159817562,1,1834.137753,2474.380579,1537.508335,0,0,,0.15,4,1,0,-1,0.279406,"LINESTRING (0, 0)"
25,6,17,1,12288.557,7.635752952,1,1370.884143,2020.662342,1255.58098,0,0,,0.15,4,1,0,-1,0.364887,"LINESTRING (0, 0)"
26,17,6,1,12326.099,7.659080462,1,1245.94996,2046.555866,1271.670465,0,0,,0.15,4,1,0,-1,0.361371,"LINESTRING (0, 0)"
27,7,9,1,4074.788,2.531955094,1,827.932876,2315.988064,1439.087819,0,0,,0.15,4,1,0,-1,0.105565,"LINESTRING (0, 0)"
28,9,7,1,4074.788,2.531955094,1,825,2337.287458,1452.322645,0,0,,0.15,4,1,0,-1,0.104603,"LINESTRING (0, 0)"
29,7,13,1,6485.868,4.030130285,1,5919.941039,4394.269131,2730.471404,0,0,,0.15,4,1,0,-1,0.088559,"LINESTRING (0, 0)"
30,13,7,1,6868.068,4.267618281,1,8000,4443.002943,2760.753182,0,0,,0.15,4,1,0,-1,0.092749,"LINESTRING (0, 0)"
31,8,11,1,5919.129,3.677975106,1,6000,4174.623441,2593.989942,0,0,,0.15,4,1,0,-1,0.085073,"LINESTRING (0, 0)"
32,11,8,1,5949.186,3.696651654,1,6000,4190.403719,2603.795349,0,0,,0.15,4,1,0,-1,0.085183,"LINESTRING (0, 0)"
33,8,16,1,12635.124,7.851099635,1,6441.70193,4265.788721,2650.637403,0,0,,0.15,4,1,0,-1,0.177718,"LINESTRING (0, 0)"
34,16,8,1,12545.21,7.795229683,1,4445.01501,4257.520532,2645.49979,0,0,,0.15,4,1,0,-1,0.176796,"LINESTRING (0, 0)"
35,9,12,1,5229.189,3.249266398,1,973.89264,2187.335053,1359.146569,0,0,,0.15,4,1,0,-1,0.14344,"LINESTRING (0, 0)"
36,12,9,1,5395.143,3.352385401,1,970.976785,2269.282289,1410.066205,0,0,,0.15,4,1,0,-1,0.142648,"LINESTRING (0, 0)"
37,9,13,1,2987.829,1.856550294,1,875,2798.553498,1738.939986,0,0,,0.15,4,1,0,-1,0.064058,"LINESTRING (0, 0)"
38,13,9,1,3036.319,1.886680573,1,875,2798.880627,1739.143254,0,0,,0.15,4,1,0,-1,0.06509,"LINESTRING (0, 0)"
39,10,11,1,1839.467,1.142991449,1,8000,4200.015983,2609.768131,0,0,,0.15,4,1,0,-1,0.026278,"LINESTRING (0, 0)"
40,11,10,1,1804.264,1.121117326,1,8000,4139.960993,2572.451702,0,0,,0.15,4,1,0,-1,0.026149,"LINESTRING (0, 0)"
41,10,18,1,10528.474,6.542088418,1,3900,4181.173652,2598.060053,0,0,,0.15,4,1,0,-1,0.151084,"LINESTRING (0, 0)"
42,18,10,1,10484.211,6.514584673,1,2913.625342,4200.57334,2610.114457,0,0,,0.15,4,1,0,-1,0.149754,"LINESTRING (0, 0)"
43,10,20,1,11754.735,7.304051442,1,5719.303943,4225.839135,2625.813889,0,0,,0.15,4,1,0,-1,0.166898,"LINESTRING (0, 0)"
44,20,10,1,11782.103,7.321057123,1,6009.002354,4170.483697,2591.417625,0,0,,0.15,4,1,0,-1,0.169507,"LINESTRING (0, 0)"
45,11,19,1,12511.216,7.774106797,1,1124.407633,1998.580842,1241.860176,0,0,,0.15,4,1,0,-1,0.375603,"LINESTRING (0, 0)"
46,19,11,1,12212.523,7.588507629,1,1617.706447,1965.550635,1221.336164,0,0,,0.15,4,1,0,-1,0.372797,"LINESTRING (0, 0)"
47,13,14,1,8285.083,5.148110309,1,4394.231889,3664.290516,2276.883862,0,0,,0.15,4,1,0,-1,0.135662,"LINESTRING (0, 0)"
48,14,13,1,7525.413,4.676073401,1,4320.225018,3610.292006,2243.330754,0,0,,0.15,4,1,0,-1,0.125066,"LINESTRING (0, 0)"
49,13,15,1,8419.362,5.231547385,1,1910.935331,1767.072042,1098.007322,0,0,,0.15,4,1,0,-1,0.285875,"LINESTRING (0, 0)"
50,15,13,1,8467.007,5.261152607,1,2863.541072,1713.206062,1064.536564,0,0,,0.15,4,1,0,-1,0.296532,"LINESTRING (0, 0)"
51,14,17,1,6761.203,4.201215469,1,5946.288757,4007.272063,2490.002649,0,0,,0.15,4,1,0,-1,0.101234,"LINESTRING (0, 0)"
52,17,14,1,6898.849,4.286744702,1,4904.241929,3927.462095,2440.411049,0,0,,0.15,4,1,0,-1,0.105394,"LINESTRING (0, 0)"
53,14,22,1,8568.056,5.323941525,1,2840.485893,3367.681786,2092.579799,0,0,,0.15,4,1,0,-1,0.152652,"LINESTRING (0, 0)"
54,22,14,1,8369.572,5.200609323,1,2895.84662,3429.473123,2130.975144,0,0,,0.15,4,1,0,-1,0.146429,"LINESTRING (0, 0)"
55,16,17,1,1349.797,0.838724712,1,6321.013829,3810.653555,2367.82961,0,0,,0.15,4,1,0,-1,0.021253,"LINESTRING (0, 0)"
56,17,16,1,1357.842,0.843723641,1,4209.45379,3688.785656,2292.104432,0,0,,0.15,4,1,0,-1,0.022086,"LINESTRING (0, 0)"
57,16,19,1,4582.719,2.847568688,1,6703.328686,3987.573635,2477.762617,0,0,,0.15,4,1,0,-1,0.068955,"LINESTRING (0, 0)"
58,19,16,1,4452.518,2.766665562,1,7034.073767,3858.000173,2397.249425,0,0,,0.15,4,1,0,-1,0.069246,"LINESTRING (0, 0)"
59,16,22,1,3367.288,2.092335112,1,4469.882549,4156.97461,2583.02347,0,0,,0.15,4,1,0,-1,0.048602,"LINESTRING (0, 0)"
60,22,16,1,3429.105,2.130746403,1,7627.741159,4226.418931,2626.174158,0,0,,0.15,4,1,0,-1,0.048681,"LINESTRING (0, 0)"
61,17,22,1,5321.009,3.306320683,1,1886.210086,1834.915054,1140.163002,0,0,,0.15,4,1,0,-1,0.173992,"LINESTRING (0, 0)"
62,22,17,1,5315.025,3.302602399,1,1884.190009,1905.140689,1183.799175,0,0,,0.15,4,1,0,-1,0.16739,"LINESTRING (0, 0)"
63,18,19,1,2349.796,1.46009509,1,6192.450268,4002.377789,2486.961489,0,0,,0.15,4,1,0,-1,0.035226,"LINESTRING (0, 0)"
