link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,4416,1,1080,0.67108068,1,133333,86.4,53.6864544,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
2,2,4417,1,1310,0.81399601,1,133333,104.8,65.1196808,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
3,3,4418,1,1790,1.11225409,1,133333,143.2,88.9803272,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
4,4,4419,1,1080,0.67108068,1,133333,86.4,53.6864544,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
5,5,4420,1,400,0.2485484,1,133333,32,19.883872,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
6,6,4421,1,780,0.48466938,1,133333,62.4,38.7735504,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
7,7,4422,1,640,0.39767744,1,133333,51.2,31.8141952,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
8,8,4423,1,2140,1.32973394,1,133333,171.2,106.3787152,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
9,9,4424,1,1590,0.98797989,1,133333,127.2,79.0383912,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
10,10,4425,1,710,0.44117341,1,133333,56.8,35.2938728,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
11,11,4426,1,3070,1.90760897,1,133333,245.6,152.6087176,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
12,12,4427,1,2700,1.6777017,1,133333,216,134.216136,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
13,13,4428,1,1760,1.09361296,1,133333,140.8,87.4890368,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
14,14,4429,1,300,0.1864113,1,133333,24,14.912904,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
15,15,4430,1,640,0.39767744,1,133333,51.2,31.8141952,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
16,16,4431,1,240,0.14912904,1,133333,19.2,11.9303232,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
17,17,4432,1,3610,2.24314931,1,133333,288.8,179.4519448,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
18,18,4433,1,720,0.44738712,1,133333,57.6,35.7909696,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
19,19,4434,1,490,0.30447179,1,133333,39.2,24.3577432,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
20,20,4435,1,2770,1.72119767,1,133333,221.6,137.6958136,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
21,21,4436,1,1550,0.96312505,1,133333,124,77.050004,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
22,22,4437,1,380,0.23612098,1,133333,30.4,18.8896784,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
23,23,4438,1,630,0.39146373,1,133333,50.4,31.3170984,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
24,24,4439,1,2340,1.45400814,1,133333,187.2,116.3206512,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
25,25,4440,1,520,0.32311292,1,133333,41.6,25.8490336,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
26,26,4441,1,1250,0.77671375,1,133333,100,62.1371,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
27,27,4442,1,2590,1.60935089,1,133333,207.2,128.7480712,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
28,28,4443,1,810,0.50331051,1,133333,64.8,40.2648408,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
29,29,4444,1,330,0.20505243,1,133333,26.4,16.4041944,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
30,30,4445,1,1130,0.70214923,1,133333,90.4,56.1719384,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
31,31,4446,1,330,0.20505243,1,133333,26.4,16.4041944,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
32,32,4447,1,1800,1.1184678,1,133333,144,89.477424,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
33,33,4448,1,1080,0.67108068,1,133333,86.4,53.6864544,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
34,34,4449,1,260,0.16155646,1,133333,20.8,12.9245168,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
35,35,4450,1,270,0.16777017,1,133333,21.6,13.4216136,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
36,36,4451,1,4610,2.86452031,1,133333,368.8,229.1616248,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
37,37,4452,1,3690,2.29285899,1,133333,295.2,183.4287192,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
38,38,4453,1,1610,1.00040731,1,133333,128.8,80.0325848,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
39,39,4454,1,1040,0.64622584,1,133333,83.2,51.6980672,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
40,40,4455,1,1030,0.64001213,1,133333,82.4,51.2009704,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
41,41,4456,1,770,0.47845567,1,133333,61.6,38.2764536,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
42,42,4457,1,3930,2.44198803,1,133333,314.4,195.3590424,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
43,43,4458,1,490,0.30447179,1,133333,39.2,24.3577432,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
44,44,4459,1,230,0.14291533,1,133333,18.4,11.4332264,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
45,45,4460,1,770,0.47845567,1,133333,61.6,38.2764536,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
46,46,4461,1,800,0.4970968,1,133333,64,39.767744,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
47,47,4462,1,2740,1.70255654,1,133333,219.2,136.2045232,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
48,48,4463,1,810,0.50331051,1,133333,64.8,40.2648408,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
49,49,4464,1,620,0.38525002,1,133333,49.6,30.8200016,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
50,50,4465,1,1320,0.82020972,1,133333,105.6,65.6167776,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
51,51,4466,1,500,0.3106855,1,133333,40,24.85484,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
52,52,4467,1,2520,1.56585492,1,133333,201.6,125.2683936,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
53,53,4468,1,210,0.13048791,1,133333,16.8,10.4390328,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
54,54,4469,1,550,0.34175405,1,133333,44,27.340324,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
55,55,4470,1,3090,1.92003639,1,133333,247.2,153.6029112,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
56,56,4471,1,420,0.26097582,1,133333,33.6,20.8780656,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
57,57,4472,1,680,0.42253228,1,133333,54.4,33.8025824,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
58,58,4473,1,420,0.26097582,1,133333,33.6,20.8780656,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
59,59,4474,1,1740,1.08118554,1,133333,139.2,86.4948432,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
60,60,4475,1,490,0.30447179,1,133333,39.2,24.3577432,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
61,61,4476,1,1720,1.06875812,1,133333,137.6,85.5006496,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
