link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,304,1,330,0.20505243,1,1499990,26.4,16.4041944,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
2,1,425,1,320,0.19883872,1,1499990,25.6,15.9070976,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
3,1,513,1,110,0.06835081,1,1499990,8.8,5.4680648,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
4,1,536,1,390,0.24233469,1,1499990,31.2,19.3867752,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
5,1,566,1,200,0.1242742,1,1499990,16,9.941936,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
6,2,732,1,250,0.15534275,1,1499990,20,12.42742,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
7,2,759,1,190,0.11806049,1,1499990,15.2,9.4448392,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
8,3,831,1,160,0.09941936,1,1499990,12.8,7.9535488,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
9,3,906,1,240,0.14912904,1,1499990,19.2,11.9303232,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
10,3,950,1,340,0.21126614,1,1499990,27.2,16.9012912,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
11,4,486,1,360,0.22369356,1,1499990,28.8,17.8954848,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
12,4,622,1,100,0.0621371,1,1499990,8,4.970968,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
13,4,636,1,120,0.07456452,1,1499990,9.6,5.9651616,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
14,4,704,1,360,0.22369356,1,1499990,28.8,17.8954848,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
15,5,600,1,140,0.08699194,1,1499990,11.2,6.9593552,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
16,5,644,1,190,0.11806049,1,1499990,15.2,9.4448392,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
17,6,682,1,200,0.1242742,1,1499990,16,9.941936,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
18,6,769,1,100,0.0621371,1,1499990,8,4.970968,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
19,7,995,1,100,0.0621371,1,1499990,8,4.970968,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
20,7,1055,1,180,0.11184678,1,1499990,14.4,8.9477424,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
21,7,1065,1,370,0.22990727,1,1499990,29.6,18.3925816,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
22,7,1099,1,250,0.15534275,1,1499990,20,12.42742,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
23,8,986,1,240,0.14912904,1,1499990,19.2,11.9303232,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
24,8,1054,1,90,0.05592339,1,1499990,7.2,4.4738712,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
25,8,1100,1,240,0.14912904,1,1499990,19.2,11.9303232,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
26,8,1133,1,230,0.14291533,1,1499990,18.4,11.4332264,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
27,9,1240,1,110,0.06835081,1,1499990,8.8,5.4680648,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
28,9,1241,1,70,0.04349597,1,1499990,5.6,3.4796776,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
29,9,1310,1,230,0.14291533,1,1499990,18.4,11.4332264,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
30,10,1156,1,300,0.1864113,1,1499990,24,14.912904,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
31,10,1184,1,340,0.21126614,1,1499990,27.2,16.9012912,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
32,10,1197,1,180,0.11184678,1,1499990,14.4,8.9477424,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
