link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,854,1,1255.285231,0.780000019,1,1,96.5604,60,0,1,,0,0,1,0,0.01,0.780000019,"LINESTRING (0, 0)"
2,1,870,1,2220.889231,1.380000019,1,1,96.5604,60,0,1,,0,0,1,0,0.01,1.380000019,"LINESTRING (0, 0)"
3,2,893,1,675.922846,0.420000029,1,1,96.5604,60,0,1,,0,0,1,0,0.01,0.420000029,"LINESTRING (0, 0)"
4,2,934,1,2124.328923,1.320000076,1,1,96.5604,60,0,1,,0,0,1,0,0.01,1.320000076,"LINESTRING (0, 0)"
5,2,938,1,675.922846,0.420000029,1,1,96.5604,60,0,1,,0,0,1,14,0.01,0.420000029,"LINESTRING (0, 0)"
6,3,909,1,965.604,0.6,1,1,96.5604,60,0,1,,0,0,1,1667,0.01,0.6,"LINESTRING (0, 0)"
7,3,911,1,3283.053846,2.040000153,1,1,96.5604,60,0,1,,0,0,1,0,0.01,2.040000153,"LINESTRING (0, 0)"
8,3,923,1,2124.328923,1.320000076,1,1,96.5604,60,0,1,,0,0,1,0,0.01,1.320000076,"LINESTRING (0, 0)"
9,3,929,1,2414.010153,1.500000095,1,1,96.5604,60,0,1,,0,0,1,0,0.01,1.500000095,"LINESTRING (0, 0)"
10,4,902,1,2703.691384,1.680000114,1,1,96.5604,60,0,1,,0,0,1,0,0.01,1.680000114,"LINESTRING (0, 0)"
11,4,917,1,869.0436153,0.54000001,1,1,96.5604,60,0,1,,0,0,1,415.8849084,0.01,0.54000001,"LINESTRING (0, 0)"
12,4,919,1,1448.406,0.9,1,1,96.5604,60,0,1,,0,0,1,0,0.01,0.9,"LINESTRING (0, 0)"
13,4,920,1,965.604,0.6,1,1,96.5604,60,0,1,,0,0,1,194.1150916,0.01,0.6,"LINESTRING (0, 0)"
14,4,932,1,1738.087231,1.080000019,1,1,96.5604,60,0,1,,0,0,1,0,0.01,1.080000019,"LINESTRING (0, 0)"
15,5,1009,1,965.604,0.6,1,1,96.5604,60,0,1,,0,0,1,603,0.01,0.6,"LINESTRING (0, 0)"
16,5,1010,1,3669.295384,2.280000114,1,1,96.5604,60,0,1,,0,0,1,0,0.01,2.280000114,"LINESTRING (0, 0)"
17,5,1029,1,1351.845692,0.840000057,1,1,96.5604,60,0,1,,0,0,1,67,0.01,0.840000057,"LINESTRING (0, 0)"
18,6,992,1,675.922846,0.420000029,1,1,96.5604,60,0,1,,0,0,1,0,0.01,0.420000029,"LINESTRING (0, 0)"
19,6,1008,1,2607.130923,1.620000076,1,1,96.5604,60,0,1,,0,0,1,0,0.01,1.620000076,"LINESTRING (0, 0)"
20,6,1018,1,1062.164461,0.660000038,1,1,96.5604,60,0,1,,0,0,1,150,0.01,0.660000038,"LINESTRING (0, 0)"
21,7,970,1,1544.966461,0.960000038,1,1,96.5604,60,0,1,,0,0,1,309.1543002,0.01,0.960000038,"LINESTRING (0, 0)"
22,7,971,1,1255.285231,0.780000019,1,1,96.5604,60,0,1,,0,0,1,81.84569978,0.01,0.780000019,"LINESTRING (0, 0)"
23,7,972,1,1158.724846,0.720000029,1,1,96.5604,60,0,1,,0,0,1,0,0.01,0.720000029,"LINESTRING (0, 0)"
24,7,973,1,1448.406,0.9,1,1,96.5604,60,0,1,,0,0,1,194,0.01,0.9,"LINESTRING (0, 0)"
25,7,974,1,1738.087231,1.080000019,1,1,96.5604,60,0,1,,0,0,1,137,0.01,1.080000019,"LINESTRING (0, 0)"
26,8,996,1,869.0436153,0.54000001,1,1,96.5604,60,0,1,,0,0,1,142,0.01,0.54000001,"LINESTRING (0, 0)"
27,8,1012,1,1255.285231,0.780000019,1,1,96.5604,60,0,1,,0,0,1,222,0.01,0.780000019,"LINESTRING (0, 0)"
