link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
1,1,1036,1,386.2416,0.24,1,800,30.899328,19.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
2,1,1050,1,498.8954,0.31,1,2000,39.911632,24.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
3,2,975,1,370.1482,0.23,1,1000,29.611856,18.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
4,2,990,1,370.1482,0.23,1,800,29.611856,18.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
5,2,993,1,547.1756,0.34,1,2000,43.774048,27.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
6,3,966,1,370.1482,0.23,1,1000,29.611856,18.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
7,3,1000,1,370.1482,0.23,1,800,29.611856,18.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
8,3,1020,1,370.1482,0.23,1,2000,29.611856,18.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
9,3,1022,1,305.7746,0.19,1,1000,24.461968,15.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
10,4,969,1,289.6812,0.18,1,800,23.174496,14.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
11,4,997,1,289.6812,0.18,1,2000,23.174496,14.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
12,4,1007,1,289.6812,0.18,1,1000,23.174496,14.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
13,4,1009,1,289.6812,0.18,1,800,23.174496,14.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
14,4,1017,1,337.9614,0.21,1,2000,27.036912,16.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
15,5,882,1,418.4284,0.26,1,1000,33.474272,20.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
16,5,912,1,498.8954,0.31,1,800,39.911632,24.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
17,5,913,1,370.1482,0.23,1,2000,29.611856,18.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
18,6,890,1,289.6812,0.18,1,1000,23.174496,14.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
19,6,916,1,386.2416,0.24,1,800,30.899328,19.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
20,6,919,1,177.0274,0.11,1,2000,14.162192,8.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
21,7,941,1,563.269,0.35,1,1000,45.06152,28,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
22,7,942,1,514.9888,0.32,1,800,41.199104,25.6,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
23,7,944,1,466.7086,0.29,1,2000,37.336688,23.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
24,7,946,1,514.9888,0.32,1,1000,41.199104,25.6,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
25,7,948,1,563.269,0.35,1,800,45.06152,28,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
26,8,895,1,337.9614,0.21,1,2000,27.036912,16.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
27,8,922,1,370.1482,0.23,1,1000,29.611856,18.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
28,9,1048,1,160.934,0.1,1,800,12.87472,8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
29,10,773,1,643.736,0.4,1,2000,51.49888,32,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
30,10,1047,1,981.6974,0.61,1,1000,78.535792,48.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
31,11,161,1,643.736,0.4,1,800,51.49888,32,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
32,11,189,1,643.736,0.4,1,2000,51.49888,32,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
33,12,162,1,643.736,0.4,1,1000,51.49888,32,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
34,12,188,1,724.203,0.45,1,800,57.93624,36,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
35,13,165,1,547.1756,0.34,1,2000,43.774048,27.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
36,14,164,1,772.4832,0.48,1,1000,61.798656,38.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
37,14,186,1,724.203,0.45,1,800,57.93624,36,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
38,14,204,1,1480.5928,0.92,1,2000,118.447424,73.6,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
39,15,166,1,466.7086,0.29,1,1000,37.336688,23.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
40,15,183,1,305.7746,0.19,1,800,24.461968,15.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
41,16,207,1,1223.0984,0.76,1,2000,97.847872,60.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
42,16,221,1,852.9502,0.53,1,1000,68.236016,42.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
43,17,168,1,643.736,0.4,1,800,51.49888,32,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
44,17,201,1,1577.1532,0.98,1,2000,126.172256,78.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
45,18,171,1,1094.3512,0.68,1,1000,87.548096,54.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
46,18,181,1,1110.4446,0.69,1,800,88.835568,55.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
47,18,198,1,1110.4446,0.69,1,2000,88.835568,55.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
48,19,203,1,1223.0984,0.76,1,1000,97.847872,60.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
49,19,219,1,804.67,0.5,1,800,64.3736,40,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
50,19,222,1,643.736,0.4,1,2000,51.49888,32,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
51,20,172,1,1029.9776,0.64,1,1000,82.398208,51.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
52,20,197,1,1029.9776,0.64,1,800,82.398208,51.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
53,21,175,1,498.8954,0.31,1,2000,39.911632,24.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
54,21,214,1,2430.1034,1.51,1,1000,194.408272,120.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
55,22,288,1,514.9888,0.32,1,800,41.199104,25.6,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
56,23,304,1,418.4284,0.26,1,2000,33.474272,20.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
57,24,291,1,692.0162,0.43,1,1000,55.361296,34.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
58,24,303,1,692.0162,0.43,1,800,55.361296,34.4,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
59,25,233,1,514.9888,0.32,1,2000,41.199104,25.6,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
60,25,234,1,386.2416,0.24,1,1000,30.899328,19.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
61,26,285,1,337.9614,0.21,1,800,27.036912,16.8,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
62,27,311,1,305.7746,0.19,1,2000,24.461968,15.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
63,28,230,1,724.203,0.45,1,1000,57.93624,36,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
64,28,249,1,675.9228,0.42,1,800,54.073824,33.6,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
65,29,243,1,386.2416,0.24,1,2000,30.899328,19.2,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
66,30,265,1,563.269,0.35,1,1000,45.06152,28,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
67,30,272,1,563.269,0.35,1,800,45.06152,28,0,1,,0.1,1.5,1,0,-1,0.75,"LINESTRING (0, 0)"
